ID,Longitude,Latitude,Province
CT00001,172.632377,-43.526945,Canterbury
CT00002,176.417,-40.6,Wellington
CT00003,173.0221142,-42.50480809,Canterbury
CT00004,171.73011,-43.89834,Canterbury
CT00005,172.5914,-43.3034,Canterbury
CT00006,174.633,-38.65,Auckland
CT00007,173.6366844,-41.88419888,Marlborough
CT00008,174.166667,-35.2,Auckland
CT00009,169.966667,-46.116667,Otago
CT00010,171.793,-41.813,Westland
CT00011,176.21667,-40.9,Wellington
CT00012,173.2736762,-42.81212,Canterbury
CT00013,174.233056,-38.995833,Taranaki
CT00014,169.75,-46.233333,Otago
CT00015,172.682778,-40.677222,Nelson
CT00016,178.0176,-38.6623,Hawkes.Bay
CT00017,175.4981278,-36.761287,Auckland
CT00018,176.100311,-40.205303,Wellington
CT00019,176.08333,-38.68333,Auckland
CT00020,174.76204,-36.88158,Auckland
CT00021,173.854185,-39.453736,Taranaki
CT00022,175.7041691,-40.6461889,Wellington
CT00023,172.416667,-43.8,Canterbury
CT00024,174.299167,-39.429722,Taranaki
CT00025,172.5967,-43.3049,Canterbury
CT00026,175.3257958,-41.11687066,Wellington
CT00027,167.2,-45.4,Southland
CT00028,174.90514,-37.201744,Auckland
CT00029,171.24458,-44.09061,Canterbury
CT00030,171.606,-42.546,Westland
CT00031,172.567,-43.583,Canterbury
CT00032,174.492897,-37.279927,Auckland
CT00033,174.28333,-39.59167,Taranaki
CT00034,176.917,-39.483,Hawkes.Bay
CT00035,172.716638,-43.583,Canterbury
CT00036,173.8726,-35.9396,Auckland
CT00037,173.3786,-35.5258,Auckland
CT00038,175.38071,-40.57733,Wellington
CT00039,174.908051,-41.209164,Wellington
CT00040,171.9298009,-41.85724663,Westland
CT00041,174.1999992,-39.1499994,Taranaki
CT00042,173.68333,-42.41667,Canterbury
CT00043,175.5318268,-40.34807006,Wellington
CT00044,175.2629136,-39.10051591,Taranaki
CT00045,174.8200746,-38.06504443,Auckland
CT00046,175.71552,-40.10857,Wellington
CT00047,172.6956,-43.2097,Canterbury
CT00048,168.50304,-44.83281,Southland
CT00049,171.2225,-44.29873,Canterbury
CT00050,170.8289,-44.1,Canterbury
CT00051,174.7136094,-41.2512123,Wellington
CT00052,172.11462,-43.4884,Canterbury
CT00053,175.4375574,-39.7273356,Wellington
CT00054,170.0292969,-45.12086448,Otago
CT00055,174.87986,-36.99282,Auckland
CT00056,173.96,-41.514,Marlborough
CT00057,175.6499974,-40.9666628,Wellington
CT00058,178.2815937,-37.55696585,Hawkes.Bay
CT00059,175.76237,-37.8106,Auckland
CT00060,175.7017963,-40.7749023,Wellington
CT00061,173.5289181,-34.9940621,Auckland
CT00062,172.74196,-43.68959,Canterbury
CT00063,172.3336836,-41.800178,Nelson
CT00064,175.669424,-37.379448,Auckland
CT00065,174.9816397,-38.8439123,Auckland
CT00066,177.28706,-38.00915,Hawkes.Bay
CT00067,175.583333,-40.166667,Wellington
CT00068,174.23944,-36.09833,Auckland
CT00069,172.1886163,-43.29609879,Canterbury
CT00070,175.8349216,-40.4596526,Wellington
CT00071,172.458173,-43.529,Canterbury
CT00072,176.717,-39.917,Hawkes.Bay
CT00073,174.4728191,-39.7547982,Taranaki
CT00074,170.65,-45.8583,Otago
CT00075,175.67254,-37.68545,Auckland
CT00076,175.7999968,-40.16666,Wellington
CT00077,174.8783946,-37.79931138,Auckland
CT00078,172.58356,-43.30437,Canterbury
CT00079,175.75,-39.66667,Wellington
CT00080,174.528,-36.539,Auckland
CT00081,176.33333,-38.16667,Auckland
CT00082,172.2322075,-43.64884427,Canterbury
CT00083,174.0894,-41.1417,Marlborough
CT00084,168.3475,-46.413056,Southland
CT00085,172.417,-43.633,Canterbury
CT00086,174.2838238,-39.3370781,Taranaki
CT00087,170.2335,-45.887,Otago
CT00088,172.8070275,-40.85085138,Nelson
CT00089,174.133333,-39.3,Taranaki
CT00090,176.16667,-37.68611,Auckland
CT00091,171.9269209,-43.3371994,Canterbury
CT00092,175.5358312,-37.13633279,Auckland
CT00093,169.688,-45.913,Otago
CT00094,178.296917,-38.371667,Hawkes.Bay
CT00095,169.46,-45.52,Otago
CT00096,178.305278,-38.055833,Hawkes.Bay
CT00097,170.633,-45.383,Otago
CT00098,175.023346,-37.6190862,Auckland
CT00099,177.866667,-38.466667,Hawkes.Bay
CT00100,170.4716171,-45.60014881,Otago
CT00101,172.719,-43.482,Canterbury
CT00102,175.3,-39.4,Taranaki
CT00103,171.0471354,-44.7328091,Canterbury
CT00104,174.1281,-39.5513,Taranaki
CT00105,173.183333,-41.33333,Nelson
CT00106,175.421,-37.986,Auckland
CT00107,172.749997,-43.0666664,Canterbury
CT00108,176.5908838,-39.93989024,Hawkes.Bay
CT00109,176.5539761,-39.99629318,Hawkes.Bay
CT00110,175.372,-41.356,Wellington
CT00111,172.7407,-43.805,Canterbury
CT00112,177.36667,-39.03333,Hawkes.Bay
CT00113,170.635,-44.926,Otago
CT00114,174.67,-36.75,Auckland
CT00115,175.1145451,-38.2615305,Auckland
CT00116,174.734444,-39.805833,Taranaki
CT00117,167.78,-45.85,Southland
CT00118,175.05,-39.9333,Wellington
CT00119,176.317,-40.4,Wellington
CT00120,175.75,-38.92,Auckland
CT00121,170.155,-43.431,Westland
CT00122,176.98545,-37.95855,Hawkes.Bay
CT00123,174.7387759,-39.14524461,Taranaki
CT00124,174.32391,-35.73167,Auckland
CT00125,173.7434618,-35.05205502,Auckland
CT00126,175.8669028,-40.33773576,Wellington
BR00001,172.966667,-43.80467,Canterbury
BR00002,169.37972,-45.24917,Otago
BR00003,168.83583,-44.9425,Otago
BR00004,171.74556,-43.90556,Canterbury
BR00005,174.76667,-36.86667,Auckland
BR00006,169.75,-46.233,Otago
BR00007,174.723051,-36.80749,Auckland
BR00008,173.96,-41.514,Marlborough
BR00009,168.333,-46.6,Southland
BR00010,171.32278,-42.4325,Westland
BR00011,175.4402,-37.87822,Auckland
BR00012,175.5275,-41.025,Wellington
BR00013,172.6667,-43.55,Canterbury
BR00014,169.19556,-45.045944,Otago
BR00015,176.09944,-40.20611,Wellington
BR00016,173.87167,-35.93833,Auckland
BR00017,174.796278,-36.831667,Auckland
BR00018,170.50361,-45.87416,Otago
BR00019,174.9,-41.3,Wellington
BR00020,175.704,-40.647,Wellington
BR00021,174.29917,-39.42972,Taranaki
BR00022,175.317,-41.117,Wellington
BR00023,175.566667,-40.216667,Wellington
BR00024,175.28583,-40.47167,Wellington
BR00025,171.24333,-44.09028,Canterbury
BR00026,178.017778,-38.6625,Hawkes.Bay
BR00027,168.94639,-46.09917,Southland
