Area,size_1,size_2,size_3,size_4,size_5,size_6,size_7,size_8,size_9,size_10,size_11plus,total
Auckland,1296,4250,5684,5490,4481,3041,1808,1112,567,305,227,28261
Wellington,854,3025,3893,3968,3096,2060,1252,747,346,214,192,19647
Christchurch,1031,3460,4254,4029,2989,1996,1169,636,309,186,166,20225
Dunedin,922,2462,2914,2823,2234,1599,918,506,288,147,116,14929
Gisborne,147,307,453,542,476,352,201,117,61,24,22,2702
Napier,170,482,611,655,468,320,192,117,64,30,22,3131
New Plymouth,158,340,378,388,383,255,131,95,47,16,19,2210
Wanganui,225,599,814,812,635,441,271,158,98,35,44,4132
Palmerston North,193,464,587,520,427,335,216,112,57,41,24,2976
Nelson,167,341,370,344,236,169,104,61,26,7,9,1834
Grey Valley Boroughs,96,188,204,191,164,135,91,50,24,13,16,1172
Timaru,172,431,589,520,468,327,194,103,60,29,35,2928
Invercargill,268,571,719,775,619,388,287,165,83,63,44,3982
"Totals, metropolitan and suburban areas",5699,16920,21470,21057,16676,11418,6834,3979,2030,1110,936,108129
Remainder of Dominion,16360,18615,20277,21081,18197,13394,9003,5723,3387,1971,1929,129937
Grand totals,22059,35535,41747,42138,34873,24812,15837,9702,5417,3081,2865,238066
