age_group,total_women,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,total_children
Under 20,1057,565,433,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,553
20–24,13692,4661,5309,2622,855,216,25,2,2,0,0,0,0,0,0,0,0,0,14133
25–29,29574,6676,8939,7199,3975,1802,699,219,51,10,3,1,0,0,0,0,0,0,47753
30–34,35406,5756,7470,8582,6085,3724,2068,1035,467,178,76,10,14,1,0,0,0,0,79978
35–39,34407,5034,5227,6936,6047,4335,2826,1792,1065,641,290,134,48,14,11,6,1,0,96933
40–44,26362,3868,3391,4353,4171,3454,2433,1742,1154,795,445,279,133,82,42,12,4,4,85561
45–49,21007,3047,2406,2993,3089,2632,2080,1551,1150,780,495,355,200,133,61,24,4,7,75286
50–54,15235,2222,1354,1741,1861,1940,1668,1299,1013,758,553,381,197,127,60,39,15,7,61610
55–59,10482,1351,764,993,1189,1217,1116,1036,880,668,474,362,223,110,52,30,10,7,47505
60–64,7434,991,491,578,673,771,788,748,693,606,431,300,186,106,46,21,5,0,36041
65 and over,9248,1938,496,547,783,826,925,998,809,701,509,330,210,100,42,20,7,7,41566
