CountyID,County,Latitude_South,Longitude_East
CT00001,Akaroa,-43.526945,172.632377
CT00002,Akitio,-40.6,176.417
CT00003,Amuri,-42.50480809,173.0221142
CT00004,Ashburton,-43.89834,171.73011
CT00005,Ashley,-43.3034,172.5914
CT00006,Awakino,-38.65,174.633
CT00007,Awatere,-41.88419888,173.6366844
CT00008,Bay of Islands,-35.2,174.166667
CT00009,Bruce,-46.116667,169.966667
CT00010,Buller,-41.813,171.793
CT00011,Castlepoint,-40.9,176.21667
CT00012,Cheviot,-42.81212,173.2736762
CT00013,Clifton,-38.995833,174.233056
CT00014,Clutha,-46.233333,169.75
CT00015,Collingwood,-40.677222,172.682778
CT00016,Cook,-38.6623,178.0176
CT00017,Coromandel,-36.761287,175.4981278
CT00018,Dannevirke,-40.205303,176.100311
CT00019,East Taupo,-38.68333,176.08333
CT00020,Eden,-36.88158,174.76204
CT00021,Egmont,-39.453736,173.854185
CT00022,Eketahuna,-40.6461889,175.7041691
CT00023,Ellesmere,-43.8,172.416667
CT00024,Eltham,-39.429722,174.299167
CT00025,Eyre,-43.3049,172.5967
CT00026,Featherston,-41.11687066,175.3257958
CT00027,Fiord,-45.4,167.2
CT00028,Franklin,-37.201744,174.90514
CT00029,Geraldine,-44.09061,171.24458
CT00030,Grey,-42.546,171.606
CT00031,Halswell,-43.583,172.567
CT00032,Hauraki Plains,-37.279927,174.492897
CT00033,Hawera,-39.59167,174.28333
CT00034,Hawke's Bay,-39.483,176.917
CT00035,Heathcote,-43.583,172.716638
CT00036,Hobson,-35.9396,173.8726
CT00037,Hokianga,-35.5258,173.3786
CT00038,Horowhenua,-40.57733,175.38071
CT00039,Hutt,-41.209164,174.908051
CT00040,Inangahua,-41.85724663,171.9298009
CT00041,Inglewood,-39.1499994,174.1999992
CT00042,Kaikoura,-42.41667,173.68333
CT00043,Kairanga,-40.34807006,175.5318268
CT00044,Kaitieke,-39.10051591,175.2629136
CT00045,Kawhia,-38.06504443,174.8200746
CT00046,Kiwitea,-40.10857,175.71552
CT00047,Kowai,-43.2097,172.6956
CT00048,Lake,-44.83281,168.50304
CT00049,Levels,-44.29873,171.2225
CT00050,Mackenzie,-44.1,170.8289
CT00051,Makara,-41.2512123,174.7136094
CT00052,Malvern,-43.4884,172.11462
CT00053,Manawatu,-39.7273356,175.4375574
CT00054,Maniototo,-45.12086448,170.0292969
CT00055,Manukau,-36.99282,174.87986
CT00056,Marlborough,-41.514,173.96
CT00057,Masterton,-40.9666628,175.6499974
CT00058,Matakaoa,-37.55696585,178.2815937
CT00059,Matamata,-37.8106,175.76237
CT00060,Mauriceville,-40.7749023,175.7017963
CT00061,Mongonui,-34.9940621,173.5289181
CT00062,Mount Herbert,-43.68959,172.74196
CT00063,Murchison,-41.800178,172.3336836
CT00064,Ohinemuri,-37.379448,175.669424
CT00065,Ohura,-38.8439123,174.9816397
CT00066,Opotiki,-38.00915,177.28706
CT00067,Oroua,-40.166667,175.583333
CT00068,Otamatea,-36.09833,174.23944
CT00069,Oxford,-43.29609879,172.1886163
CT00070,Pahiatua,-40.4596526,175.8349216
CT00071,Paparua,-43.529,172.458173
CT00072,Patangata,-39.917,176.717
CT00073,Patea,-39.7547982,174.4728191
CT00074,Peninsula,-45.8583,170.65
CT00075,Piako,-37.68545,175.67254
CT00076,Pohangina,-40.16666,175.7999968
CT00077,Raglan,-37.79931138,174.8783946
CT00078,Rangiora,-43.30437,172.58356
CT00079,Rangitikei,-39.66667,175.75
CT00080,Rodney,-36.539,174.528
CT00081,Rotorua,-38.16667,176.33333
CT00082,Selwyn,-43.64884427,172.2322075
CT00083,Sounds,-41.1417,174.0894
CT00084,Southland,-46.413056,168.3475
CT00085,Springs,-43.633,172.417
CT00086,Stratford,-39.3370781,174.2838238
CT00087,Taieri,-45.887,170.2335
CT00088,Takaka,-40.85085138,172.8070275
CT00089,Taranaki,-39.3,174.133333
CT00090,Tauranga,-37.68611,176.16667
CT00091,Tawera,-43.3371994,171.9269209
CT00092,Thames,-37.13633279,175.5358312
CT00093,Tuapeka,-45.913,169.688
CT00094,Uawa,-38.371667,178.296917
CT00095,Vincent,-45.52,169.46
CT00096,Waiapu,-38.055833,178.305278
CT00097,Waihemo,-45.383,170.633
CT00098,Waikato,-37.6190862,175.023346
CT00099,Waikohu,-38.466667,177.866667
CT00100,Waikouaiti,-45.60014881,170.4716171
CT00101,Waimairi,-43.482,172.719
CT00102,Waimarino,-39.4,175.3
CT00103,Waimate,-44.7328091,171.0471354
CT00104,Waimate West,-39.5513,174.1281
CT00105,Waimea,-41.33333,173.183333
CT00106,Waipa,-37.986,175.421
CT00107,Waipara,-43.0666664,172.749997
CT00108,Waipawa,-39.93989024,176.5908838
CT00109,Waipukurau,-39.99629318,176.5539761
CT00110,Wairarapa South,-41.356,175.372
CT00111,Wairewa,-43.805,172.7407
CT00112,Wairoa,-39.03333,177.36667
CT00113,Waitaki,-44.926,170.635
CT00114,Waitemata,-36.75,174.67
CT00115,Waitomo,-38.2615305,175.1145451
CT00116,Waitotara,-39.805833,174.734444
CT00117,Wallace,-45.85,167.78
CT00118,Wanganui,-39.9333,175.05
CT00119,Weber,-40.4,176.317
CT00120,West Taupo,-38.92,175.75
CT00121,Westland,-43.431,170.155
CT00122,Whakatane,-37.95855,176.98545
CT00123,Whangamomona,-39.14524461,174.7387759
CT00124,Whangarei,-35.73167,174.32391
CT00125,Whangaroa,-35.05205502,173.7434618
CT00126,Woodville,-40.33773576,175.8669028
