"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00001","Akaroa",316,"Christchurch","Canterbury",6,7,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00002","Alexandra",357,"Dunedin","Otago",7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00003","Arrowtown",158,"Dunedin","Otago",3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00004","Ashburton",2488,"Christchurch","Canterbury",49,53,49,51,50,51,50,50,50,50,49,48,51,44,44,44,44,41,40,40,40,40,39,38,38,39,39,40,40,40,40,40,42,43,43,43,43,39,39,39,39,39,32,33,33,33,33,26,26,26,26,26,20,20,20,20,20,16,16,16,16,16,13,13,14,14,14,9,9,10,10,10,7,7,7,7,7,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"BR00005","Auckland",41063,"Auckland","Auckland",775,800,763,821,836,833,797,769,766,797,783,818,800,764,765,766,766,741,692,686,689,689,662,653,651,654,654,666,675,678,677,677,697,705,708,707,707,646,654,656,654,654,538,541,542,542,542,443,447,449,449,449,324,325,325,324,324,262,264,266,266,266,207,209,210,210,210,145,147,148,149,149,103,104,105,107,107,67,66,64,62,62,22,19,17,15,15,15,13,12,10,10,10,9,9,8,8,1,0,0,0,0,0,0,0,0
"BR00006","Balclutha",771,"Dunedin","Otago",15,15,15,15,17,16,15,16,16,16,16,16,16,15,15,15,15,15,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00007","Birkenhead",1259,"Auckland","Auckland",24,25,23,25,26,26,24,24,23,24,24,25,25,23,23,24,24,23,21,21,21,21,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,20,20,20,20,20,17,17,17,17,17,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00008","Blenheim",2245,"Nelson","Marlborough",45,54,44,48,48,50,51,54,51,52,48,54,53,43,43,43,43,33,31,31,31,31,31,31,31,31,31,29,29,30,29,29,33,33,33,33,33,32,32,32,32,32,28,28,28,28,28,26,26,26,26,26,22,22,22,22,22,18,18,18,18,18,11,11,11,11,11,8,8,9,9,9,7,7,7,7,7,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00009","Bluff",814,"Invercargill","Southland",18,18,19,18,19,19,18,18,18,18,17,17,16,16,16,16,16,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00010","Brunner",250,"GreyValley","Westland",7,6,6,6,6,7,6,7,6,6,7,5,6,4,4,5,5,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
