"CountyID","County","Province","Population","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"CT00001","Akaroa","Canterbury",860,22,21,21,22,22,20,20,20,19,19,17,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00002","Akitio","Wellington",483,12,13,12,12,12,12,12,11,10,11,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,6,6,6,6,6,4,4,4,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00003","Amuri","Canterbury",750,20,19,19,19,19,18,17,18,17,17,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00004","Ashburton","Canterbury",5414,139,134,133,137,137,126,123,125,119,118,110,102,99,99,99,99,99,92,88,88,88,88,86,86,86,86,86,89,90,90,90,90,88,89,89,89,89,79,80,80,80,80,63,64,64,64,64,52,52,52,52,52,36,36,36,36,36,30,30,30,30,30,25,25,25,25,25,17,17,17,17,17,13,13,14,14,14,8,8,8,8,8,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00005","Ashley","Canterbury",312,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00006","Awakino","Auckland",239,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00007","Awatere","Marlborough",654,18,18,16,17,17,17,16,16,14,14,14,13,12,12,12,12,12,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00008","Bay of Islands","Auckland",1803,47,48,46,49,45,46,44,41,40,39,38,36,35,33,33,33,33,32,30,30,30,30,29,28,28,28,28,30,30,30,30,30,30,31,31,31,31,27,28,28,28,28,21,21,21,21,21,17,17,17,17,17,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00009","Bruce","Otago",2216,51,51,51,48,54,50,49,50,47,48,47,45,44,40,40,40,40,37,33,33,33,33,32,32,32,32,32,32,32,32,32,32,35,35,35,35,35,33,33,33,33,33,28,28,28,28,28,24,24,24,24,24,17,17,17,17,17,13,13,13,14,14,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00010","Buller","Westland",2386,50,56,50,52,62,52,52,48,62,48,49,49,40,36,36,36,36,39,38,38,38,38,30,30,30,31,31,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,33,33,33,33,33,24,24,24,24,24,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,11,12,12,12,12,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
"CT00011","Castlepoint","Wellington",191,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00012","Cheviot","Canterbury",535,14,13,13,13,13,12,12,12,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00013","Clifton","Taranaki",901,25,26,25,23,25,23,23,23,22,21,20,18,19,18,18,18,18,17,16,16,16,16,15,14,14,15,15,15,15,15,15,15,14,15,15,15,15,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00014","Clutha","Otago",3344,77,77,77,72,81,76,74,76,71,73,71,68,67,61,61,61,61,56,51,50,51,51,48,48,48,48,48,48,48,49,49,49,52,53,53,53,53,50,51,51,51,51,43,43,43,43,43,36,36,36,36,36,25,25,25,25,25,20,20,20,21,21,18,18,18,18,18,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00015","Collingwood","Nelson",430,10,11,11,11,11,12,10,11,10,10,9,9,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00016","Cook","Hawkes.Bay",2996,81,78,79,71,67,70,63,62,58,70,54,41,52,58,58,58,58,52,48,48,48,48,51,51,51,51,51,49,49,49,49,49,50,50,50,50,50,46,46,46,45,45,32,32,32,32,32,31,31,31,31,31,22,22,22,22,22,16,16,16,16,16,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00017","Coromandel","Auckland",945,25,25,24,26,24,24,23,22,21,21,20,19,18,17,17,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,14,14,15,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00018","Dannevirke","Wellington",2187,56,58,55,55,53,52,52,51,46,49,45,41,40,40,40,40,40,39,37,36,36,36,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,34,34,34,34,34,26,26,26,26,26,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00019","East Taupo","Auckland",259,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00020","Eden","Auckland",7005,185,186,177,189,176,179,170,161,154,153,148,139,136,127,127,128,128,126,116,115,116,116,112,110,109,110,110,115,117,117,117,117,118,120,120,120,120,105,107,107,107,107,82,83,83,83,83,65,66,66,66,66,46,46,46,46,46,35,35,35,36,36,25,26,26,26,26,16,17,17,17,17,12,12,13,13,13,8,8,8,7,7,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00021","Egmont","Taranaki",1446,40,42,39,38,39,37,37,36,35,34,32,30,30,29,29,29,29,27,26,25,25,25,23,23,23,23,23,24,25,25,25,25,23,23,24,24,24,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,6,7,7,7,7,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
