"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00001","Akaroa",273,"Christchurch","Canterbury",6,6,5,6,5,6,5,5,5,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00002","Alexandra",308,"Dunedin","Otago",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00003","Arrowtown",142,"Dunedin","Otago",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00004","Ashburton",2141,"Christchurch","Canterbury",43,46,42,44,42,43,43,42,42,42,41,41,43,37,38,38,38,35,34,34,34,34,33,33,33,33,33,34,34,34,35,35,37,37,37,37,37,34,34,34,34,34,28,28,28,28,28,22,23,23,23,23,17,17,17,17,17,14,14,14,14,14,12,12,12,12,12,8,8,8,9,9,6,6,6,6,6,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00005","Auckland",36139,"Auckland","Auckland",695,708,673,710,720,716,685,661,666,694,682,716,699,658,660,662,662,641,586,591,591,591,568,572,572,576,576,586,598,597,599,599,617,625,624,624,624,571,578,577,574,574,474,478,478,478,478,392,398,397,396,396,287,289,289,288,288,235,237,238,239,239,187,189,190,190,190,134,135,135,136,136,97,99,100,101,101,66,66,64,62,62,27,24,21,17,17,17,14,11,9,9,9,8,8,7,7,1,1,0,0,0,0,0,0,0
"BR00006","Balclutha",651,"Dunedin","Otago",13,13,12,13,14,13,13,13,13,13,13,14,13,13,13,13,13,13,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,9,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00007","Birkenhead",1108,"Auckland","Auckland",21,22,21,22,22,22,21,20,20,21,21,22,21,20,20,20,20,20,18,18,18,18,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00008","Blenheim",1935,"Nelson","Marlborough",39,46,37,41,40,42,43,45,44,44,41,46,45,36,37,37,37,28,26,26,26,26,26,26,26,26,26,25,25,25,25,25,28,28,28,28,28,28,28,28,28,28,24,24,24,24,24,23,23,23,23,23,19,19,19,19,19,15,16,16,16,16,10,10,10,10,10,7,8,8,8,8,6,7,7,7,7,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00009","Bluff",714,"Invercargill","Southland",16,16,17,16,17,17,16,16,16,16,15,15,14,14,14,14,14,14,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00010","Brunner",249,"GreyValley","Westland",7,6,6,6,6,7,6,7,6,6,6,5,6,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
