"CountyID","County","Province","Population","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"CT00001","Akaroa","Canterbury",818,21,20,20,21,20,19,18,19,18,18,17,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00002","Akitio","Wellington",644,17,17,16,16,15,15,15,15,14,14,13,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00003","Amuri","Canterbury",1233,32,31,30,31,31,28,28,28,27,27,25,23,23,22,22,22,22,21,20,20,20,20,19,19,19,20,20,20,20,20,21,21,20,20,20,20,20,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00004","Ashburton","Canterbury",5742,148,142,140,143,143,131,129,131,125,124,116,108,105,104,104,104,104,96,91,92,92,92,90,90,90,91,91,94,95,95,95,95,93,94,94,94,94,84,85,85,84,84,67,68,68,68,68,56,56,56,56,56,38,38,38,38,38,32,32,33,33,33,27,27,27,27,27,19,19,19,19,19,15,15,16,16,16,10,10,10,10,10,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00005","Ashley","Canterbury",420,11,10,10,11,10,10,9,10,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00006","Awakino","Auckland",490,13,13,12,13,12,12,12,11,11,11,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00007","Awatere","Marlborough",890,24,24,22,23,22,23,22,21,19,20,19,17,17,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,13,13,13,13,13,10,10,10,10,10,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00008","Bay of Islands","Auckland",2202,58,59,55,58,54,55,53,50,48,48,46,43,42,39,39,39,39,39,36,36,36,36,35,35,35,35,35,37,37,37,37,37,38,38,38,38,38,33,34,34,33,33,26,26,26,26,26,21,21,21,21,21,14,15,15,15,15,11,11,11,11,11,8,8,8,8,8,5,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00009","Bruce","Otago",2348,55,54,53,50,56,52,51,52,49,50,49,47,47,42,42,42,42,39,35,35,35,35,33,33,33,33,33,34,34,34,34,34,37,37,37,37,37,35,36,36,35,35,30,30,30,30,30,25,26,26,25,25,18,18,18,18,18,14,15,15,15,15,13,13,13,13,13,10,10,10,10,10,7,7,8,8,8,6,6,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00010","Buller","Westland",2833,59,66,58,61,73,61,61,56,72,57,57,58,47,43,43,43,43,46,45,45,45,45,35,35,36,36,36,44,44,44,44,44,43,44,44,44,44,47,47,47,47,47,39,39,39,39,39,29,29,29,29,29,20,20,20,20,20,14,14,14,14,14,15,15,15,15,15,10,10,10,10,10,14,14,14,14,14,12,11,11,11,11,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
