Age of Mother and Issue born (as at Date of 1916 Census)
Age.	Number of Married Women for whom specified.	Cases in which the Number of Issue living was—	Total Issue living.
0.	1.	2.	3.	4.	5.	6.	7.	8.	9.	10.	11.	12.	13.	14.	15.	16 and over.
Under 20	1,057	565	433	57	2	..	..	..	..	..	..	..	..	..	..	..	..	..	553
20–24	13,692	4,661	5,309	2,622	855	216	25	2	2	..	..	..	..	..	..	..	..	..	14,133
25–29	29,574	6,676	8,939	7,199	3,975	1,802	699	219	51	10	3	1	..	..	..	..	..	..	47,753
30–34	35,406	5,756	7,470	8,582	6,085	3,724	2,068	1,035	467	178	76	10	14	1	..	..	..	..	79,978
35–39	34,407	5,034	5,227	6,936	6,047	4,335	2,826	1,792	1,065	641	290	134	48	14	11	6	1	..	96,933
40–44	26,362	3,868	3,391	4,353	4,171	3,454	2,433	1,742	1,154	795	445	279	133	82	42	12	4	4	85,561
45–49	21,007	3,047	2,406	2,993	3,089	2,632	2,080	1,551	1,150	780	495	355	200	133	61	24	4	7	75,286
50–54	15,235	2,222	1,354	1,741	1,861	1,940	1,668	1,299	1,013	758	553	381	197	127	60	39	15	7	61,610
55–59	10,482	1,351	764	993	1,189	1,217	1,116	1,036	880	668	474	362	223	110	52	30	10	7	47,505
60–64	7,434	991	491	578	673	771	788	748	693	606	431	300	186	106	46	21	5	..	36,041
65 and over	9,248	1,938	496	547	783	826	925	998	809	701	509	330	210	100	42	20	7	7	41,566
Unspecified	267	74	44	40	24	25	20	16	6	2	5	8	2	1	..	..	..	..	709
                Totals	204,231	36,183	36,324	36,641	28,754	20,942	14,648	10,438	7,290	5,139	3,281	2,160	1,213	674	314	152	46	32	587,628
