page,electoral_district,locality,venue_type,entry_raw
1,Unknown,among,Other,"Wes by the Legislature Act, 1908, it is, among"
1,Unknown,enacted that the Governor-General may,Other,"other things, enacted that the Governor-General may"
1,Unknown,and abolish polling-places,Other,"from time to time appoint, alter, and abolish polling-places"
1,Unknown,and do here,Other,"various electoral districts in the said Dominion, and do here"
1,Bay Of Islands,Kawakawa,Council Chambers,"The County Council Chambers, Kawakawa (principal)"
1,Bay Of Islands,Russell,Courthouse,"The Courthouse, Russell"
1,Bay Of Islands,Towai,Public Hall,"The Public Hall, Towai"
1,Bay Of Islands,Tapuhi,Public Hall,"The Public Hall, Tapuhi"
1,Bay Of Islands,Ohacawai,Public Hall,"The Public Hall, Ohacawai"
1,Bay Of Islands,Okaihau,Other,"The Public Hail, Okaihau"
1,Bay Of Islands,Hukerenui,Public School,"The Public School, Hukerenui"
1,Bay Of Islands,Whakapara,Public Hall,"The Public Hall, Whakapara"
1,Bay Of Islands,Hikurangi,Public School,"The Public School, Hikurangi"
1,Bay Of Islands,Kaeo,Public Hall,"The Public Hall, Kaeo"
1,Bay Of Islands,Whangaroa,Courthouse,"The Courthouse, Whangaroa"
1,Bay Of Islands,Mangonui,Courthouse,"The Courthouse, Mangonui"
1,Bay Of Islands,Oruru,Other,"The Peria Hal), Oruru"
1,Bay Of Islands,Fairburn’s,Public School,"The Public School, Fairburn’s"
1,Bay Of Islands,Awanui,Public Hall,"The Public Hall, Awanui"
1,Bay Of Islands,Kaitaia,Library,"The Public Library, Kaitaia"
1,Bay Of Islands,Ahipara,Courthouse,"The Courthouse, Ahipara"
1,Bay Of Islands,Hohoura,Public Hall,"The Public Hall, Hohoura"
1,Bay Of Islands,Waihopo,Other,"The Foresters’ Hall, Waihopo"
1,Bay Of Islands,Kohukohu,Courthouse,"The Courthouse, Kohukohu"
1,Bay Of Islands,Rawene,Courthouse,"The Courthouse, Rawene"
1,Bay Of Islands,Taheke,Public Hall,"The Public Hall, Taheke"
1,Bay Of Islands,Broadwood,Public Hall,"The Public Hall, Broadwood"
1,Bay Of Islands,Omapere,Public Hall,"The Public Hall, Omapere"
1,Bay Of Islands,Waimamaku,Public Hall,"The Public Hall, Waimamaku"
1,Bay Of Islands,Whangape,Other,"The Company’s Office, Whangape"
1,Bay Of Islands,Herekino,Public Hall,"The Public Hall, Herekino"
1,Marsden,Whangarei,Town Hall,"The Town Hall, Whangarei (principal)"
1,Marsden,Kamo,Public School,"The Public School, Kamo"
1,Marsden,Kiripaka,Public School,"The Public School, Kiripaka"
1,Marsden,Whareora,Public Hall,"The Public Hall, Whareora"
1,Marsden,Parua Bay,Public Hall,"The Public Hall, Parua Bay"
1,Marsden,Onerahi,Public Hall,"The Public Hall, Onerahi"
1,Marsden,Mangapai,Public School,"The Public School, Mangapai"
1,Marsden,Otaika,Public School,"The Public School, Otaika"
1,Marsden,Maunu,Public School,"The Public School, Maunu"
1,Marsden,Kara,School,"The Publhc School, Kara"
1,Marsden,Poroti,Public School,"The Public School, Poroti"
1,Marsden,Waikiekie,Public School,"The Public School, Waikiekie"
1,Marsden,Mareretu,Public School,"The Public School, Mareretu"
1,Marsden,Ruakaka,Public Hall,"The Public Hall, Ruakaka"
1,Marsden,Waipu,Courthouse,"The Courthouse, Waipu"
1,Marsden,Mangawai,Public Hall,"The Public Hall, Mangawai"
1,Marsden,Te Arai,Public School,"The Public School, Te Arai"
1,Marsden,Pakiri,Public School,"The Public School, Pakiri"
2,Marsden,Leigh,Public Hall,"The Public Hall, Leigh"
2,Marsden,Whangateau,Public Hall,"The Public Hall, Whangateau"
2,Marsden,Matakana,Public School,"The Public School, Matakana"
2,Marsden,Kaiwaka,Public School,"The Public School, Kaiwaka"
2,Marsden,Wellsford,Public Hall,"The Public Hall, Wellsford"
2,Marsden,Warkworth,Town Hall,"The Town Hall, Warkworth"
2,Marsden,Puhoi,Town Hall,"The Town Hall, Puhoi"
2,Kaipara,Dargaville,Courthouse,"The Courthouse, Dargaville (principal)"
2,Kaipara,Aranga,Public School,"The Public School, Aranga"
2,Kaipara,Arapohue,Public Hall,"The Public Hall, Arapohue"
2,Kaipara,Aratapu,Public Hall,"The Public Hall, Aratapu"
2,Kaipara,Hoanga,Public Hall,"The Public Hall, Hoanga"
2,Kaipara,Hukatere,Public Hall,"The Public Hall, Hukatere"
2,Kaipara,Kaihu,Public Hall,"The Public Hall, Kaihu"
2,Kaipara,Kaipara Flats,Library,"The Library, Kaipara Flats"
2,Kaipara,Kaukapakapa,Public Hall,"The Public Hall, Kaukapakapa"
2,Kaipara,Kumeu,Public Hall,"The Public Hall, Kumeu"
2,Kaipara,Maropui,Other,"The Gumshed, Maropui"
2,Kaipara,Matakohe No. 1,Public Hall,"The Public Hall, Matakohe No. 1"
2,Kaipara,Naumai,Public School,"The Public School, Naumai"
2,Kaipara,Onetea,Public School,"The Public School, Onetea"
2,Kaipara,Pahi,Public Hall,"The Public Hall, Pahi"
2,Kaipara,Paparoa,Public Hall,"The Public Hall, Paparoa"
