Borough,Latitude_South ,Longitude_East
Akaroa,-43.80467,172.966667
Alexandra,-45.24917,169.37972
Arrowtown,-44.9425,168.83583
Ashburton,-43.90556,171.74556
Auckland,-36.86667,174.76667
Balclutha,-46.233,169.75
Birkenhead,-36.80749,174.723051
Blenheim,-41.514,173.96
Bluff,-46.6,168.333
Brunner,-42.4325,171.32278
Cambridge,-37.87822,175.4402
Carterton,-41.025,175.5275
Christchurch,-43.55,172.6667
Cromwell,-45.045944,169.19556
Dannevirke,-40.20611,176.09944
Dargaville,-35.93833,173.87167
Devonport,-36.831667,174.796278
Dunedin,-45.87416,170.50361
Eastbourne,-41.3,174.9
Eketahuna,-40.647,175.704
Eltham,-39.42972,174.29917
Featherston,-41.117,175.317
Feilding,-40.216667,175.566667
Foxton,-40.47167,175.28583
Geraldine,-44.09028,171.24333
Gisborne,-38.6625,178.017778
Gore,-46.09917,168.94639
Green Island,-45.90278,170.43056
Greymouth,-42.45,171.2075
Greytown,-41.08,175.461
Hamilton,-37.783,175.283
Hampden,-45.32778,170.81667
Hastings,-39.6381,176.84918
Hawera,-39.59167,174.28333
Hokitika,-42.71667,170.96667
Inglewood,-39.15824,174.1802
Invercargill,-46.4132,168.3538
Invercargill South,-46.425,168.35
Kaiapoi,-43.37832,172.64013
Kaitangata,-46.275,169.85
Kumara,-42.63111,171.18694
Lawrence,-45.913,169.689
Levin,-40.63333,175.275
Lower Hutt,-41.21667,174.91667
Lyttelton,-43.526945,172.632377
Marton,-40.06917,175.37833
Masterton,-40.95972,175.6575
Mataura,-46.183,168.867
Milton,-46.12083,169.96944
Morrinsville,-37.65,175.517
Mosgiel,-45.875,170.347
Motueka,-41.12333,173.01472
Mount Albert,-36.884,174.716
Mount Eden,-36.88158,174.76204
Napier,-39.4926,176.91233
Naseby,-45.016667,170.133333
Nelson,-41.27078,173.28404
New Brighton,-43.50962726,172.7303742
New Plymouth,-39.055626,174.075226
Newmarket,-36.869862,174.777578
Ngaruawahia,-37.66738,175.15554
Northcote,-36.805,174.744
Oamaru,-45.09746,170.96911
Ohakune,-39.41861,175.39944
Onehunga,-36.9223,174.7838
Opotiki,-38.00915,177.28706
Otahuhu,-36.9382,174.84019
Otaki,-40.75833,175.15
Paeroa,-37.36667,175.66667
Pahiatua,-40.45333,175.84083
Palmerston,-45.484026,170.715265
Palmerston North,-40.35636,175.61113
Patea,-39.75722,174.47667
Petone,-41.22166578,174.8734632
Picton,-41.29067,174.00801
Port Chalmers,-45.8178,170.6188
Pukekohe,-37.2,174.95
Queenstown,-45.03023,168.66271
Rangiora,-43.30437,172.58356
Riccarton,-43.52998,172.59744
Richmond,-41.3333,173.183
Riverton,-46.35,168.01667
Ross,-42.89583,170.81417
Rotorua,-38.13874,176.24516
Roxburgh,-45.53905,169.3123
Runanga,-42.4020632,171.2465516
Shannon,-40.5472,175.4107
St. Kilda,-45.9048,170.5009
Stratford,-39.33708,174.28382
Sumner,-43.57144,172.76447
Taihape,-39.6777,175.7988055
Takapuna,-36.787,174.772
Tapanui,-45.94332,169.2605276
Taumarunui,-38.8833,175.2666
Tauranga,-37.68611,176.16667
Te Aroha,-37.533,175.717
Te Awamutu,-38.00822,175.3302
Te Kuiti,-38.332983,175.163456
Temuka,-44.2453,171.27786
Thames,-37.138389,175.5405
Timaru,-44.39672,171.25364
Waihi,-37.3833,175.833
Waikouaiti,-45.59444,170.67222
Waimate,-44.72836,171.05009
Waipawa,-39.9416,176.58963
Waipukurau,-39.9917,176.5583
Wairoa,-39.03517,177.41803
Waitara,-39.00158,174.23836
Wanganui,-39.9333,175.05
Wellington,-41.28664,174.77557
West Harbour,-36.8094,174.6418
Westport,-41.75262,171.6037
Whakatane,-37.9585,176.985
Whangarei,-35.73167,174.32391
Winton,-46.15,168.33333
Woodville,-40.3371,175.8667
Woolston,-43.55,172.683333
