Name,Province,latitude,longitude
Akaroa,Canterbury,-43.526945,172.632377
Akitio,Wellington,-40.6,176.417
Amuri,Canterbury,-42.50480809,173.0221142
Ashburton,Canterbury,-43.89834,171.73011
Ashley,Canterbury,-43.3034,172.5914
Awakino,Auckland,-38.65,174.633
Awatere,Marlborough,-41.88419888,173.6366844
Bay of Islands,Auckland,-35.2,174.166667
Bruce,Otago,-46.116667,169.966667
Buller,Westland,-41.813,171.793
Castlepoint,Wellington,-40.9,176.21667
Cheviot,Canterbury,-42.81212,173.2736762
Clifton,Taranaki,-38.995833,174.233056
Clutha,Otago,-46.233333,169.75
Collingwood,Nelson,-40.677222,172.682778
Cook,Hawkes.Bay,-38.6623,178.0176
Coromandel,Auckland,-36.761287,175.4981278
Dannevirke,Wellington,-40.205303,176.100311
East Taupo,Auckland,-38.68333,176.08333
Eden,Auckland,-36.88158,174.76204
Egmont,Taranaki,-39.453736,173.854185
Eketahuna,Wellington,-40.6461889,175.7041691
Ellesmere,Canterbury,-43.8,172.416667
Eltham,Taranaki,-39.429722,174.299167
Eyre,Canterbury,-43.3049,172.5967
Featherston,Wellington,-41.11687066,175.3257958
Fiord,Southland,-45.4,167.2
Franklin,Auckland,-37.201744,174.90514
Geraldine,Canterbury,-44.09061,171.24458
Grey,Westland,-42.546,171.606
Halswell,Canterbury,-43.583,172.567
Hauraki Plains,Auckland,-37.279927,174.492897
Hawera,Taranaki,-39.59167,174.28333
Hawke's Bay,Hawkes.Bay,-39.483,176.917
Heathcote,Canterbury,-43.583,172.716638
Hobson,Auckland,-35.9396,173.8726
Hokianga,Auckland,-35.5258,173.3786
Horowhenua,Wellington,-40.57733,175.38071
Hutt,Wellington,-41.209164,174.908051
Inangahua,Westland,-41.85724663,171.9298009
Inglewood,Taranaki,-39.1499994,174.1999992
Kaikoura,Canterbury,-42.41667,173.68333
Kairanga,Wellington,-40.34807006,175.5318268
Kaitieke,Taranaki,-39.10051591,175.2629136
Kawhia,Auckland,-38.06504443,174.8200746
Kiwitea,Wellington,-40.10857,175.71552
Kowai,Canterbury,-43.2097,172.6956
Lake,Southland,-44.83281,168.50304
Levels,Canterbury,-44.29873,171.2225
Mackenzie,Canterbury,-44.1,170.8289
Makara,Wellington,-41.2512123,174.7136094
Malvern,Canterbury,-43.4884,172.11462
Manawatu,Wellington,-39.7273356,175.4375574
Maniototo,Otago,-45.12086448,170.0292969
Manukau,Auckland,-36.99282,174.87986
Marlborough,Marlborough,-41.514,173.96
Masterton,Wellington,-40.9666628,175.6499974
Matakaoa,Hawkes.Bay,-37.55696585,178.2815937
Matamata,Auckland,-37.8106,175.76237
Mauriceville,Wellington,-40.7749023,175.7017963
Mongonui,Auckland,-34.9940621,173.5289181
Mount Herbert,Canterbury,-43.68959,172.74196
Murchison,Nelson,-41.800178,172.3336836
Ohinemuri,Auckland,-37.379448,175.669424
Ohura,Auckland,-38.8439123,174.9816397
Opotiki,Hawkes.Bay,-38.00915,177.28706
Oroua,Wellington,-40.166667,175.583333
Otamatea,Auckland,-36.09833,174.23944
Oxford,Canterbury,-43.29609879,172.1886163
Pahiatua,Wellington,-40.4596526,175.8349216
Paparua,Canterbury,-43.529,172.458173
Patangata,Hawkes.Bay,-39.917,176.717
Patea,Taranaki,-39.7547982,174.4728191
Peninsula,Otago,-45.8583,170.65
Piako,Auckland,-37.68545,175.67254
Pohangina,Wellington,-40.16666,175.7999968
Raglan,Auckland,-37.79931138,174.8783946
Rangiora,Canterbury,-43.30437,172.58356
Rangitikei,Wellington,-39.66667,175.75
Rodney,Auckland,-36.539,174.528
Rotorua,Auckland,-38.16667,176.33333
Selwyn,Canterbury,-43.64884427,172.2322075
Sounds,Marlborough,-41.1417,174.0894
Southland,Southland,-46.413056,168.3475
Springs,Canterbury,-43.633,172.417
Stratford,Taranaki,-39.3370781,174.2838238
Taieri,Otago,-45.887,170.2335
Takaka,Nelson,-40.85085138,172.8070275
Taranaki,Taranaki,-39.3,174.133333
Tauranga,Auckland,-37.68611,176.16667
Tawera,Canterbury,-43.3371994,171.9269209
Thames,Auckland,-37.13633279,175.5358312
Tuapeka,Otago,-45.913,169.688
Uawa,Hawkes.Bay,-38.371667,178.296917
Vincent,Otago,-45.52,169.46
Waiapu,Hawkes.Bay,-38.055833,178.305278
Waihemo,Otago,-45.383,170.633
Waikato,Auckland,-37.6190862,175.023346
Waikohu,Hawkes.Bay,-38.466667,177.866667
Waikouaiti,Otago,-45.60014881,170.4716171
Waimairi,Canterbury,-43.482,172.719
Waimarino,Taranaki,-39.4,175.3
Waimate,Canterbury,-44.7328091,171.0471354
Waimate West,Taranaki,-39.5513,174.1281
Waimea,Nelson,-41.33333,173.183333
Waipa,Auckland,-37.986,175.421
Waipara,Canterbury,-43.0666664,172.749997
Waipawa,Hawkes.Bay,-39.93989024,176.5908838
Waipukurau,Hawkes.Bay,-39.99629318,176.5539761
Wairarapa South,Wellington,-41.356,175.372
Wairewa,Canterbury,-43.805,172.7407
Wairoa,Hawkes.Bay,-39.03333,177.36667
Waitaki,Otago,-44.926,170.635
Waitemata,Auckland,-36.75,174.67
Waitomo,Auckland,-38.2615305,175.1145451
Waitotara,Taranaki,-39.805833,174.734444
Wallace,Southland,-45.85,167.78
Wanganui,Wellington,-39.9333,175.05
Weber,Wellington,-40.4,176.317
West Taupo,Auckland,-38.92,175.75
Westland,Westland,-43.431,170.155
Whakatane,Hawkes.Bay,-37.95855,176.98545
Whangamomona,Taranaki,-39.14524461,174.7387759
Whangarei,Auckland,-35.73167,174.32391
Whangaroa,Auckland,-35.05205502,173.7434618
