id,name
15164,Ahikōuka
15189,Ahitītī
55599,Ahu-a-Tūranga Stream
15236,Akakāhia Stream
55703,Akatārere
55712,Akatārere Historic Reserve
15244,Akatārere Point
15252,Ākina
58634,Ākiri
15253,Ākitio
61551,Ākitio
15254,Ākitio River
15255,Ākura
15374,Āmia Stream
60552,Āniwaniwa
7527,Āniwaniwa Falls
61062,Ao-ata-te-pō
60776,Aopōuri
15543,Āpiti
15544,Āpiti
15545,Āpiti Bay
139,Āpiti Saddle
7585,Āpiti Scenic Reserve
15548,Āpiti Stream
56589,Ārai Terraces
15600,Arapārera
15601,Arapārera River
61532,Āria
58484,Āria
207,Ātaahua Gorge
61755,Ātiamuri
15818,Ātiamuri
15819,Ātiu Creek
216,Ātiu or Middle Island
58524,Auahitōtara Kāinga
55574,Auahitōtara Pā
55025,Aupōuri Forest
7302,Avon River/Ōtakaro
15889,Awahōhonu Creek
55026,Awahōhonu Forest
15890,Awahōhonu Stream
15941,Awangārara Stream
58810,Awapākura
16025,Āwhitu
57351,Āwhitu
16026,Āwhitu Central
59304,Āwhitu Point
7518,Baring Head/Ōrua-pouanui
16282,Bay of Many Coves / Miritū Bay
16557,Big Ōmaha
513,Blumine Island / Ōruawairua
7738,Burwood (Takahē Rearing Site) Scientific Reserve
58399,Calypso Bay / Ōtamarau Bay
58025,Cape Kidnappers / Te Kauwae-a-Māui
766,Cape Kōamaru
55640,Cape Palliser / Mātakitaki-a-Kupe
770,Cape Terāwhiti
55337,Clutha River / Kōau Branch
7310,Colac Bay/Ōraka
7309,Colac Bay/Ōraka
14210,East Ngātoro Knoll
20163,East Tākaka
7894,East Tākaka Recreation Reserve
20164,East Tāmaki
20165,East Tāmaki Heights
20167,East Wānaka Creek
20249,Eketāhuna
7320,Franz Josef Glacier/Kā Roimata o Hine Hukatere
7322,Gillespies Point/Kōhaihai
7998,Goose Bay–Ōmihi Recreation Reserve
7999,Goose Bay–Ōmihi Scenic Reserve
7326,Grey River/Māwheranui
61678,Hākinikini
22092,Hāmama
22122,Hāmua
3726,Hamutīnui
22126,Hamutīnui Stream
22165,Hāparangi
22163,Hāpara Stream
58756,Hapopo kākāpō
22197,Hāpuatuna Bay
22200,Hāpuka Island
22202,Hāpuka Rock
22204,Hāpuku Reef
22205,Hāpuku River
8042,Hāpuku Scenic Reserve
1899,Hātea River
54635,Haukōpua Point
56646,Haukōpuapua Scenic Reserve
55031,Haupātōtō Bush
22383,Haupōuri Stream
22384,Haupōuri Stream
22385,Haupōuri Stream
54538,Hauraki Gulf / Tīkapa Moana
61233,Hautūterangi
58045,Hāwea / Bligh Sound
10090,Hāwea Conservation Park
1917,Hāwea Flat
1918,Hāwea Island
1920,Hāwea River
14473,Hāwea Rock
22445,Hāwea Stream
22447,Hāwera
22450,Hāwera
22448,Hāwera
22449,Hāwera
22452,Hāwera Stream
22451,Hāwera Stream
14475,Hāwini Rocks
1978,Herekōpare Island / Te Marama
22718,Hīkaka
22726,Hīkoekoeā Bay
61236,Hikukoekoeā
22757,Hikutāmomimomi Stream
59403,Hikutū Rock
22791,Hīnakitaka Stream
22796,Hīnau Flats
60247,Hine Kōareare
54616,Hinemoatū / Howard River
55531,Hinetāpeka Seamount
58728,Hinewaikārara
58612,Hinewaikārara
22834,Hiruhārama
22836,Hītapa Bay
22837,Hītaua Bay
22841,Hīwera
54944,Hōhonu Forest
22910,Hōkurī Creek
7337,Hollyford River/Whakatipu Kā Tuka
14495,Hōngaio Rock
22988,Hōnui Stream
22987,Hōnui Stream
23050,Horahora Kākahu Island
23149,Hōteo North
23150,Hōteo River
10095,Hōuto Forest
54946,Hōuto Forest
7201,Hue tē Taka Peninsula
55749,Hūhārua
23295,Hūkerenui
10096,Hūkerenui Forest
23362,Hūnua
23363,Hūnua Falls
23365,Hūnua Stream
2177,Inainatū / Pile Bay
23528,Inland Kaikōura Range
23655,Iwitea Pā
58829,Kā Ara-a-Haereroa
23972,Kahikatea Pā
58838,Kāhuikākāpō
58770,Kāhuikākāpō
23991,Kāhuitara
23992,Kāhuitara
54407,Kahukurī
58425,Kahurānaki
2310,Kahurānaki
61059,Kā Huruhuru-o-koekoeā
59816,Kaiārahi
24032,Kaiārahi Creek
24049,Kaiāwhā Stream
54948,Kaihū Forest
10099,Kaihū Forest
24069,Kaihū River
8180,Kaihū Scenic Reserve
54408,Kaikai Pā
7342,Kaikaitāhuna Bay
54532,Kaikaitāhuna Stream
55485,Kaikākā
7343,Kaikākahi Bay
58741,Kaikākāpō
58743,Kaikākāpō
58742,Kaikākāpō
24095,Kaikereū
24119,Kaikōura
24118,Kaikōura
2331,Kaikōura Bay
14516,Kaikōura Canyon
24121,Kaikōura Creek
24122,Kaikōura Island / Selwyn Island
24123,Kaikōura Peninsula
2332,Kaikōura Railway Station
24124,Kaikōura Stream
24128,Kaikūmera Bay
61601,Kaimātaotao
24172,Kaipākirikiri Bay
24173,Kaipākirikiri Point
24188,Kaipātiki Creek
24200,Kaipō Lagoon
24204,Kaipō Stream
24205,Kaipō Stream
24211,Kaipōwhata Creek
58722,Kairākau
24220,Kairākau Beach
56592,Kairūri Peak
60418,Kākā
24368,Kākā
24371,Kākā Creek
24374,Kākā Hill
24385,Kākaho Bay
24386,Kākaho Point
55021,Kākahu Forest
24396,Kākahu Stream
24375,Kākā Island
61240,Kākāmōria
61740,Kā Kamu-a-Hakitekura
24399,Kākānui
24414,Kākānui Stream
24413,Kākānui Stream
24412,Kākānui Stream
56593,Kākā Nunatak
24418,Kākāpō Bay
24434,Kākāpōnui Stream
56594,Kākāpō Nunatak
24422,Kākāpō Peak
24425,Kākāpō River
24426,Kākāpō Saddle
24427,Kākāpō Spur
10103,Kākāpōtahi Ecological Area
54951,Kākāpōtahi Forest
24436,Kākāpōtahi River / Little Waitaha River
58817,Kā Kārehu-o-te-ahi-o-Tamatea
24448,Kākāriki
24445,Kākāriki
24444,Kākāriki
24450,Kākāriki Creek
24452,Kākāriki Stream
8205,Kākā Scenic Reserve
61241,Kākātarahae
60779,Kākaunui
61681,Kākaunui
56595,Kakī Ponds
58319,Kā Mauka-tokoweka
61796,Kā Mauka Whakatipu
58323,Kāmoanahaehae
54777,Kānuka Hills
58682,Kā Onehuka
58606,Kā One-o-Pukerehe
60427,Kā Pākihi-whakatekateka-o-Waitaha
24509,Kāparanui Stream
58320,Kā Poupou-a-Rakihouia
60402,Kā Poupou-a-Te-Rakihouia
58660,Kā Pukehore
60305,Kā Pukemāeroero
58824,Kā Puketai
59768,Kā Pūtahi
61238,Kapūterangi
24594,Karakatūwhero River
24606,Karamū
2393,Karamū Stream
58179,Karanga Tūī
58860,Kā Rā-o-Takitimu
60550,Karāpiro
14524,Kāretu Seavalleys
2400,Kārewa / Gannet Island
55579,Kārewarewa
61505,Karihipōtae
60403,Karitāne
14211,Karitāne Canyon
14212,Karitāne Channel
24694,Karitūwhenua Stream
60307,Karu-hāpuku
58830,Katiapā
57855,Kāti Hāwea
2416,Kātiki
58139,Kātiki Beach
2417,Kātiki Point
55440,Kātiki Point Historic Reserve
8241,Kātiki Point Wildlife Management Reserve
2418,Kātiki Railway Station
24734,Katipō Creek
57841,Kāti Wairaki
61087,Kā Tū-waewae-o-Tū
24748,Kauaeparāoa Stream / Te Paki Stream
2421,Kaumātua Ridge
54931,Kauri Point Birkenhead / Te Mātā-rae-o-Mana
2424,Kauri Point Pōnui
24800,Kauritūtahi Creek
24801,Kauritūtahi Island
24820,Kāwaimanga Stream
24847,Kawatī Point
24854,Kawau Pārua Inlet
55231,Kawehītiki Point
60360,Kā Whata-Tū-o-Rakihouia
24875,Kawhātau River
8262,Kawhātau Scenic Reserve
59222,Kāwhia Bay
2443,Kāwhia Harbour
14213,Kekerengū Bank
61767,Kerepēhi
24963,Kererū
24966,Kererūhuahua
24967,Kererūrukaipō
55036,Kererūtahi Forest
24969,Keretū
25024,Kihitū Pā
60888,Kimiākau
25227,Kōaro Stream
25228,Kōau Stream
25236,Kōhaihai Bluff
25237,Kōhaihai River
25235,Kōhai Stream
58623,Kōhaka Takahea
58662,Kōhakaweka
55587,Kōhaonui
59145,Kōhatu
55706,Kōhatupapā / Ranfurly Bay
25244,Kōhatu Point
25254,Kōheke
25255,Kōheke Stream
25262,Kōherurahi Point
25263,Kohetetū Stream
58033,Kōhinerākau
58032,Kohinurākau
25277,Kohinurākau Range
25265,Kōhī Point
8299,Kōhī Point Scenic Reserve
25293,Kohunui Māori Settlement
25294,Kohupātiki
25302,Kōhuru Creek
25315,Kōkako
25322,Kōkakonui Stream
25319,Kōkako Stream
60920,Kōkakotaea
25326,Kōkakowhāia Stream
25330,Kokipō
25333,Kōkōariki
25348,Kōkopu Creek
59992,Kōkopunui
25355,Kōkōreke Stream
60295,Kōkōtane
25357,Kōkota / The Sandspit
58465,Kōkōwai Stream
25360,Kōkōwhai Bay / Turners Bay
7220,Kōmarupeka Creek
25375,Kōmataoneone
61086,Ko-mate-kōhuru
25393,Kōnini
25401,Kōpae Stream
25409,Kōpakiraho Stream
2550,Kōpeka Island
60970,Kōpū
25431,Kōpua
25433,Kōpua
25430,Kōpua
57365,Kōpuanui
25438,Kōpuapounamu River
25439,Kōpuapounamu Stream
25441,Kōpuaranga
25442,Kōpuaranga River
25443,Kōpuaroa
25444,Kōpuaroa Pā
25446,Kōpuaroa Stream
25445,Kōpuaroa Stream
25449,Kōpuawhara Disaster 1938
25450,Kōpuawhara Stream
25456,Kōpukanui
25462,Kōpuni Stream
25461,Kōpuni Stream
60410,Kōpūtai
25474,Kōpūwaiū Stream
25510,Korongatā Stream
60967,Kororāreka
2568,Kororāreka Bay
25519,Kororāreka Point
8318,Kororāreka Point Scenic Reserve
25531,Kōtaipapa Point
25537,Kōtare Range
25558,Kotipū Stream
25559,Kōtiro Point
25563,Kōtoitoi Bay
25568,Kōtorengaru Stream
25567,Kōtore Stream
58652,Kōtuku
25576,Kōtuku Point
8324,Kōtuku Point Scenic Reserve
25578,Kōtukutuku
58688,Kōtukutuku
54907,Kōtukutuku Bay
7347,Kōtukutuku Bay
25579,Kōtukutuku Inlet
54908,Kōtukutuku Stream
25582,Kōtukutuku Stream
60144,Kōtukuwhakaoka
60145,Kōtukuwhakaoka
58799,Kōura
25596,Kōurarau Dam
25597,Kōurarau Stream
25603,Kōurawhero Stream
54953,Kōwai Forest
8328,Kōwai River Government Purpose Reserve
25614,Kōwaro Stream
60594,Kōwhai
25617,Kōwhai Beach
25621,Kōwhai Creek
55705,Kōwhairoa Peninsula
14544,Kōwhai Seavalleys
