Population.,
Auckland,
Auckland City,"64,951"
    Birkenhead Borough,"2,116"
    Northcote Borough,"1,651"
    Takapuna Borough,"2,756"
    Devonport Borough,"7,613"
    Newmarket Borough,"2,863"
    Mount Eden Borough,"12,555"
    Mount Albert Borough,"9,654"
    Onehunga Borough,"5,913"
    Otahuhu Borough,"2,328"
    New Lynn Town District,"1,041"
    Ellerslie Town District,"1,363"
    Remainder of metropolitan area,"18,908"
                Total,"133,712"
Wellington.,
Wellington City,"73,305"
    Miramar Borough,"2,158"
    Karori Borough,"1,647"
    Onslow Borough,"2,191"
    Petone Borough,"7,115"
    Lower Hutt Borough,"4,893"
    Eastbourne Borough,952
    Johnsonville Town District,886
    Remainder of metropolitan area,"2,088"
                Total,"95,235"
Christchurch.,
Christchurch City,"54,925"
    Riccarton Borough,"2,890"
    Spreydon Borough,"4,289"
    Woolston Borough,"3,990"
    New Brighton Borough,"2,310"
    Sumner Borough,"2,287"
    Lyttelton Borough,"3,766"
    Remainder of metropolitan area,"18,276"
                Total,"92,733"
Dunedin.,
Dunedin City,"55,256"
    St. Kilda Borough,"5,520"
    Green Island Borough,"1,841"
    West Harbour Borough,"1,631"
    Port Chalmers Borough,"2,615"
    Remainder of metropolitan area,"1,853"
                Total,"68,716"
