Centre.,County in which situated.,Population
Abbotsford,Taieri,145
Adamsville,Masterton,195
Addington,Waimairi,284
Addison's,Buller,104
Ahaura,Grey,167
Akaaka,Franklin,202
Akatarawa,Hutt,136
Akitio,Akitio,133
Albany,Waitemata,240
Albury,Mackenzie,282
Alford Forest,Ashburton,262
Alfredton,Eketahuna,240
Alfriston,Manukau,192
Allandale,Mackenzie,103
Allanton,Taieri,216
Allenton,Ashburton,"1,113"
Alma,Waitaki,180
Alton,Patea,331
Anama,Ashburton,121
Annan,Amuri,141
Annat,Malvern,178
Aokautere,Kairanga,200
Aongatete,Tauranga,104
Aorangi,Oroua,122
Aoroa,Hobson,282
Aparima,Wallace,231
Apiti,Pohangina,449
Appleby,Waimea,275
Arahura,Westland,119
Aramoho,Waitotara,146
Aranga,Hokianga,136
Arapohue,Hobson,182
Ararata,Hawera,155
Ararimu,Franklin,120
Aratapu,Hobson,384
Aratoro,Waitomo,109
Ardgowan,Waitaki,367
Ardmore,Manukau,199
Argyll,Waipawa,228
Aria,Waitomo,225
Arthur's Pass,Tawera,222
Arundel,Geraldine,103
Ashhurst,Oroua,498
Ashley,Ashley,304
Ashley- Clinton,Waipawa,135
Atawhai,Waimea,123
Athol,Southland,182
Auckland Hospital,Edon,594
Auroa,Waimate West,371
Avondale,Edon,"*2,670"
Avonside,Heathcote,585
Awahuri,Manawatu,401
Awakeri,Whakatane,105
Awamangu,Bruce,117
Awamoa,Waitaki,176
Awamoko,Waitaki,176
Awanui,Mongonui,187
Awatoto,Hawke's Bay,261
Awatuna,Egmont,228
Awhitu,Franklin,153
Aylesbury,Malvern,106
Bainham,Collingwood,165
Balcairn,Kowai,202
Balclutha North,Bruce,208
Balfour,Southland,449
Ballance,Pahiatua,211
Bannookburn,Vincent,146
Barry's Bay,Akaroa,105
Bayswater,Wallace,102
Beaconsfield,Kiwitea,253
Beaumont,Tuapeka,245
Belfast,Waimairi,"1,057"
Belfield,Geraldine,100
Belgrove,Waimea,184
Bell Block,Taranaki,263
Belmont,Hutt,201
Belvedere,Wairarapa South,235
Benhar,Bruce,172
Bennett's,Oxford,197
Berwick,Taieri,192
Bexley,Heathcote,415
Bideford,Masterton,140
Birchfield,Buller,132
Birchwood,Wallace,217
Blackball,Grey,863
Black's Point,Inangahua,239
Blackwater,Inangahua,108
Blue Cliffs,Waimate,132
Blue Spur,Tuapeka,100
Bombay,Franklin,394
Bonny Glen,Rangitikei,149
Braigh,Whangarei,105
Brighton,Taieri,245
Brightwater,Waimea,499
Broadwood,Hokianga,164
Bromley,Heathcote,823
Brookside,Ellesmere,220
Brown's,Southland,264
Brunswick,Waitotara,198
Bruntwood,Waikato,155
Brydone,Southland,203
Buckland,Franklin,444
Bunnythorpe,Kairanga,614
Burke's Pass,Mackenzie,109
Burnett'8 Face,Buller,526
Burnham,Paparua,331
Burwood,Waimairi,665
Cabbage Bay,Coromandel,160
Calico Lino,Rangitikei,176
Cambrian,Maniototo,110
Cameron's,Grey,120
Cannington,Waimate,125
Canvastown,Marlborough,262
Cape Foulwind,Buller,187
Cape Runaway,Waiapu,101
Capleston,Inangahua,121
Cardiff,Stratford,316
Cardrona,Lake,111
Carew,Ashburton,154
Carrington,Wairarapa South,130
Cashmere,Heathcote,970
Cave,Levels,187
Chamberlain,Mackenzie,132
Charlton,Southland,317
Chatton,Southland,116
Cheltenham,Oroua,119
Chertsey,Ashburton,365
Cheviot,Cheviot,192
Chiselhurst,Eltham,100
Christchurch Hospital,Waimairi,354
Churchill,Raglan,102
Clandeboye,Geraldine,304
Clarendon,Bruce,122
Clareville,Wairarapa South,339
Clarks ville,Bruce,130
Clarkville,Eyre,204
Claudelands,Waikato,277
Clevedon,Manukau,539
Clifden,Wallace,163
Clifton,Takaka,105
Clive,Hawke's Bay,572
Clyde,Vincent,370
Clydevale,Clutha,238
Coal Creek,Tuapeka,179
Coalgate,Malvern,197
Cobden,Grey,"1,016"
Colac Bay,Wallace,178
Collingwood,Collingwood,213
Collingwood,Southland,296
Colyton,Pohangina,109
Conical Hill,Clutha,105
Coromandel,Coromandel,677
Crofton,Rangitikei,156
Cronadun,Inangahua,154
Crookston,Tuapeka,202
Cross Creek,Featherston,110
Croydon Bush,Southland,186
Crushington,Inangahua,122
Culverden,Amuri,246
Cust,Rangiora,387
Dairy Flat,Waitemata,106
Dalefield,Wairarapa South,225
Dallington,Waimairi,270
Darfield,Malvern,316
Day's Bay,Hutt,308
Deep Creek,Marlborough,397
Denniston,Grey,702
Dillmanstown,Westland,143
Dipton,Southland,486
Domett,Cheviot,166
Dorie,Ashburton,134
Douglas,Stratford,181
Douglas,Waimate,119
Dovedale,Waimea,115
Doyleston,Ellesmere,403
Driving Creek,Coromandel,169
Drummond,Wallace,443
Drury,Franklin,391
Dunback,Waihemo,345
Dunsandel,Ellesmere,443
Duntroon,Waitaki,353
Durham Road,Taranaki,244
Duvauchelle's Bay,Akaroa,183
Dyerville,Featherston,148
Ealing,Ashburton,129
Earnscleugh,Vincent,306
East Tamaki,Manukau,340
Egmont Village,Taranaki,211
Eiffelton,Ashburton,186
Elgin,Ashburton,118
Ellesmere,Springs,179
Elsthorpe,Patangata,157
Elston,Ohinemuri,105
Enfield,Waitaki,289
Epsom,Eden,"3,168"
Epuni Hamlet,Hutt,227
Eskdale,Hawke's Bay,132
Esk Valley,Waimate,105
Ettrick,Tuapeka,153
Eureka,Waikato,248
Evans Bay,Tuapeka,158
Eveline,Waitaki,295
Eyreton,Eyre,140
Fairfax,Wallace,154
Fairfield,Horowhenua,162
Fairfield,Ashburton,210
Fairfield,Taieri,261
Fairhall Valley,Marlborough,112
Fairlie,Mackenzie,640
Fair view,Levels,151
Farndon,Hawke's Bay,136
Farnham,Marlborough,145
Favona,Manukau,143
Fencourt,Waikato,303
Fendalton,Waimairi,"1,796"
Fernside,Rangiora,315
Five Rivers,Southland,125
Flat Creek,Marlborough,143
Fordell,Wanganui,315
Fortification,Southland,132
Fortrose,Southland,190
Foxhill,Waimea,164
Frankton,Waipa,172
Frasertown,Wairoa,318
Gabriel's Gully,Tuapeka,104
