Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,Auckland,Ahuroa Nos 1 (7) and 2 (9),1,16,,,
,,Aka Aka,3A,53,,,
,,Albany,3A,39,,,
,,Albertland North (14) and Hoteo North (20),2,34,,,
,,Alexandra,3B,85,,,
,,Alfriston,3A,39,,,
,,Amiona,1,12,,,
,,Amodeo Bay Nos. 1 (9) and 2 (8),1,17,,,
,,Aoroa,3A,50,,,
,,Aranga,2,11,,,
,,Arapae,1,14,,,
,,Araparara (10) and Mangakura (9),2,19,,,
,,Arapohue,3A,58,,,
,,Ararimu (11) and Paparimu (12),1,23,,,
,,Ararua,2,30,,,
,,"Aratapu District High School Primary (100), Secondary (23)",4A,123,,,
,,Aratoro,2,21,,,
,,Ardmore,3A,46,,,
,,Aria,2,21,,,
,,Avoca,2,27,,,
,,Avondale (475) and side school (32),7A,507,,,
,,Awakanae,0,6,,,
,,Awakeri,2,19,,,
,,Awanga,,5,,,
,,Awaroa (10) and Matira (8),1,18,,,
,,Awitu Central,2,20,,,
,,Awitu No. 2,1,13,,,
,,Batley,1,14,,,
,,Bayfield,7C,660,,,
,,Belmont,4B,213,,,
,,"Beresford Street, Auckland",7C,587,,,
,,Bickerstaffe,1,19,,,
,,Birkdale,3B,100,,,
,,Bombay,3B,100,,,
,,Bream Tail (5) and Waipu Cove (18),2,23,,,
,,Brighams Creek,2,32,,,
,,Broadwood,2,24,,,
,,Brookby,1,19,,,
,,Brynavon (12) and Whareora (11),1,23,,,
,,Brynderwyn,2,21,,,
,,Buckland,3A,79,,,
,,Cabbage Bay,3A,40,,,
,,Cambridge District High School Primary (310) Secondary (23),5C,333,,,
,,Cambridge Road,1,15,,,
,,Cambridge West,3B,106,,,
,,Cape Colvillw,0,6,,,
,,Churchill,1,18,,,
,,Clevedon,3A,72,,,
,,Coromandel District High School Primary (148) Secondary (17),4B,165,,,
,,Dacre's (19) and Tawharanui (16),2,35,,,
,,Dairy Flat (19) and Fernilea (9),2,28,,,
,,Dargaville,5A,272,,,
,,Devonport,7F,788,,,
,,Dome Valley,3A,29,,,
,,Drury,3A,55,,,
,,East Tamaki,3A,38,,,
,,Edendale,7D,699,,,
,,Ellerslie,6A,409,,,
,,Elstow,3A,29,,,
,,Epsom,7B,563,,,
,,Eureka,3A,47,,,
,,Fariburn's Road,1,19,,,
,,Fernilea (half-time) See under Dairy Flat,,,,,
,,Flat Bush,2,32,,,
,,Frankton,5B,309,,,
,,Glenbervie,2,24,,,
,,Glenbrook,3A,46,,,
,,Glenfield,3A,54,,,
,,Glen Massey,3A,60,,,
,,Glen Murray (12) and Opouatia (17),2,29,,,
,,Goodwood,3A,44,,,
,,Gordon,1,25,,,
,,Gordonton,3A,62,,,
,,Grafton,7C,606,,,
,,Graham's Fern ,3A,21,,,
,,Great Barrier (7) and Katherine Bay (17),2,24,,,
,,Greenhithe (12) and Long Bay (11),2,23,,,
,,Greerton,3A,39,,,
,,Grey Lynn,7D,669,,,
,,Gumtown (11) and Whenuakite (10) ,1,21,,,
,,Hakaru (14) and Tara Road (17),3A,31,,,
,,Hamilton East,6B,504,,,
,,Hamilton West,7D,649,,,
,,Hangatiki,3A,84,,,
,,Harrisville,3A,84,,,
,,Hautapu,3A,57,,,
,,Helena Bay,1,15,,,
,,Helensville,4C,180,,,
,,Henderson,4B,176,,,
,,Henderson Valley,1,17,,,
,,Herekino,3A,45,,,
,,Hikuai,2,22,,,
,,Hikurangi,4B,179,,,
,,Hikutaia,3A,64,,,
,,Hinuera,3A,41,,,
,,Hobsonville,3A,53,,,
,,Honikiwi,2,24,,,
,,Hora Hora,4B,196,,,
,,Hora Hora Rapids,0,8,,,
,,Hore Hore,2,22,,,
,,Horotiu,3A,74,,,
,,Horsham Downs,2,21,,,
,,Hoteo North (half-time) See under Albertland North,,,,,
,,Houhora,2,29,,,
,,Houto (12) and Parakao (11),3A,23,,,
,,Howick,3A,55,,,
,,Huarau,3A,24,,,
,,Huia,1,8,,,
,,Hukatere,2,29,,,
,,Hukerenui South,3A,55,,,
,,Huntly District High School Primary (338) secondary (14),5B,352,,,
,,Hunua,3A,36,,,
,,Ike Ike,0,5,,,
,,Jordan (10) and Miranda (9),2,27,,,
,,Kaeaca (14) and Rira (17),3A,31,,,
,,Kaeo,3A,70,,,
,,Kaiawa (12) and Miranda (9),1,21,,,
,,Kaihere,3A,37,,,
,,Kaihu,3B,75,,,
,,Kaikohe,3A,75,,,
,,Kaimamaku,1,14,,,
,,Kaimanawa,2,25,,,
,,Kaipara Flats,2,28,,,
,,Kaitaia,3A,72,,,
,,Kaitangiweka,2,29,,,
,,Kaiwaka,2,17,,,
,,Kakapuka,2,23,,,
,,Kamo,3B,113,,,
,,Kara (11) and Kokupu (19) ,2,30,,,
,,Karaka ,2,40,,,
,,Karamu ,2,18,,,
,,Karangahake,5A,202,,,
,,Kariaotahi,3A,43,,,
,,Katherine Bay (half-time) see under Great Barrier,,,,,
,,Katikati No.1 ,1,17,,,
,,Katikati No.2,3A,40,,,
,,Katikati No.3,2,21,,,
,,Katui,2,24,,,
,,Kauaeranga Valley,1,15,,,
,,Kaukapakapa,3A,47,,,
,,Kaurihohore,2,14,,,
,,Kauroa,2,8,,,
,,Kawa No.1 (13) and Kawa No.2 (20),1,33,,,
