Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
liv,Canterbury,Adair,1,13,,,
,,Addington,7C,612,,,
,,Ahaura,2,20,,,
,,Akaroa District High School Primary (102) Secondary (12),3B,114,,,
,,Albury,3A,59,,,
,,Alford Forest,2,26,,,
,,Allandale,1,12,,,
,,Allenton (side school) see under Ashburton,,,,,
,,Amberly,3B,90,,,
,,Anama,2,28,,,
,,Annat,3A,39,,,
,,Arahura Road,3A,49,,,
,,Aranui,3A,54,,,
,,Aratika,1,17,,,
,,Arthur's Pass,3A,28,,,
,,Arundel,1,20,,,
,,Ashburton Forks ,1,16,,,
,,Ashburton Main (389) and Allenton (side school) (124),7A,513,,,
,,Ashley,3A,44,,,
,,Ashley Gorge,2,23,,,
,,Ashton,2,24,,,
,,Ashwick Flat,1,8,,,
,,Ataahua,1,17,,,
,,Awatuna,0,9,,,
,,Aylesbury,2,27,,,
,,Balcairn,3A,36,,,
,,Barr Hill,2,20,,,
,,Barry's Bay,2,22,,,
,,Barrytown,1,10,,,
,,Beckenham,4C,242,,,
,,Belfast (106) and side school (90),4B,196,,,
,,Belfield,1,15,,,
,,Big River,0,4,,,
,,Birdling's Flat,1,11,,,
,,Blackball,4B,173,,,
lvi,,Blaketown (side school) see under Greymouth District High School,,,,,
,,Bligh's Road (side school) see under Papanui,,,,,
,,Bluecliffs,2,21,,,
,,Bluespur,1,18,,,
,,Boddytown,1,14,,,
,,Broadfield,2,27,,,
,,Bromley,3B,95,,,
,,Brookside,3A,40,,,
,,Broomfield,2,25,,,
,,Bruce Bay,1,9,,,
,,Burnham,2,31,,,
,,Bushside,1,16,,,
,,Callaghan's ,1,11,,,
,,Cameron's ,3A,38,,,
,,Cannington,1,17,,,
,,Carew,1,16,,,
,,Calrleton,2,21,,,
,,Cashmere,4A,123,,,
,,Cave,2,42,,,
,,Chamberlain,2,17,,,
,,Charing Cross,1,13,,,
,,Chertsey,3a,40,,,
,,Chorlton,1,14,,,
,,Christchurch East (629) And South Belt (93),7E,722,,,
,,Christchurch East Infants,5B,294,,,
,,Christchurch District High School Primary (642) secondary (221),7H,863,,,
,,Clandeboye,3B,81,,,
,,Claremont,3A,31,,,
,,Clarkville,3a,48,,,
,,Cobden,4C,224,,,
,,Cook's River,0,3,,,
,,Cooper's Creek,2,29,,,
,,Courtenay,1,10,,,
,,CrickleWood ,1,10,,,
,,Culverdon,3A,43,,,
,,Cust,3B,83,,,
,,Darfield District High School Primary (30) Secondary (14),3A,44,,,
,,Dobson,2,25,,,
,,Domett,2,26,,,
,,Dorie,2,22,,,
,,Douglas,2,23,,,
,,Doyleston,3A,66,,,
,,Dromore,2,16,,,
,,Dunganville (7) andd Marsden (4),1,11,,,
,,Dunsandel,3A,62,,,
,,Duvauchelle's Bay,3A,36,,,
,,Ealing,1,25,,,
,,Eiffleton,2,26,,,
,,Elgin,1,14,,,
,,Ellesmere,2,28,,,
,,Elmwood,7C,606,,,
,,Esk Valley,1,14,,,
,,Eyreton,2,19,,,
,,Eyreton West,3A,38,,,
,,Fairlie,4B,183,,,
,,Fairton ,3A,56,,,
,,Fairview,3A,38,,,
,,Fendalton,4B,162,,,
,,Fernside,3A,55,,,
,,Four Peaks,1,9,,,
,,French Farm ,1,9,,,
,,Fyvie,1,7,,,
,,Gapes Valley,2,23,,,
,,Gebbie's Valley,2,23,,,
,,Geraldine District High School Primary (209) Secondary (24),5A,233,,,
,,Glen Alton,0,7,,,
,,Glenavy,2,27,,,
,,Glen-iti,3A,37,,,
,,Glen Kowhai,1,16,,,
,,Glenroy,1,21,,,
,,Glentunnel,3B,86,,,
,,Goldsborough,1,14,,,
,,Governor's Bay ,1,21,,,
,,Gray's Corner,1,10,,,
,,Greendale,3A,41,,,
,,Greenpark,3A,46,,,
,,Greenstreet,1,19,,,
,,Greta Valley,2,18,,,
,,Greymouth District High School Primary (468) Secondary (52) Blaketown (side school) (88),7C,608,,,
,,Hakataramea,2,21,,,
,,Hakataramea Valley,2,33,,,
,,Halkett,2,25,,,
,,Halswell,3A,54,,,
,,Hampstead,5C,329,,,
,,Hanmer Plains,3A,42,,,
,,Hannaton ,3A,28,,,
,,Hapuka,2,28,,,
,,Harewood,4A,110,,,
,,Harihari,2,22,,,
,,Hatters,3A,28,,,
,,Hazelburn,2,25,,,
,,Heathcote Valley,4A,128,,,
,,Highbank,3A,69,,,
,,Hilton ,3A,54,,,
,,Hinds,3A,57,,,
,,Hokitika District High School Primary (295) secondary (50),5C,345,,,
,,Homebush ,2,17,,,
,,Hook,3A,46,,,
,,Hook Bush,1,10,,,
,,Hornby,4C,201,,,
,,Hororata,3A,72,,,
,,Horsley Downs,2,32,,,
,,Humphrey's,2,29,,,
,,Hundalee,1,10,,,
,,Hunter,3A,36,,,
,,Huntingdon,1,16,,,
,,Hurunui,1,11,,,
,,Ikawai,2,23,,,
,,Inchbonnie,1,12,,,
,,Irwell,3A,42,,,
,,Jack's Mill,1,21,,,
,,Jackson ,1,11,,,
,,Kaiapoi District High School Primary (385) Secondary (10),6A,395,,,
lx,,Kaiapoi Island,1,14,,,
,,Kaikoura Surburban,3A,67,,,
,,Kaikoura Town District High School Primary (94) secondary (9),3B,103,,,
,,Kakahu Bush,1,14,,,
,,Kanieri,3A,45,,,
