Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
XXXV,Hawkes Bay,Argyll East,1,22,,,
,,Ashley-Clinton,2,25,,,
,,Awariki,1,18,,,
,,Clifton,0,3,,,
,,Clive,4A,157,,,
,,Dannervirke North,5B,341,,,
,,Dannervirke South,5B,286,,,
,,Elsthorpe,3A,42,,,
,,Fernhill,3A,42,,,
,,Flemington,1,12,,,
,,Frasertown,3B,89,,,
,,Gisborne,7E,716,,,
,,Gisborne East,5A,270,,,
,,Gisborne North,5D,411,,,
,,Gisborne West,5C,355,,,
,,Greenmeadows (side school) see under Taradale,,,,,
,,Hastings District High School Primary (761) secondary (59),7F,820,,,
,,Hastings North,5C,370,,,
,,Hastings West,5A,250,,,
,,Hatuma,3A,46,,,
,,Havelock North,4C,225,,,
,,Herbertville,1,7,,,
,,Heretaunga,1,21,,,
,,Hihiroroa,0,4,,,
,,Hinuera,1,19,,,
,,Hopelands,2,20,,,
,,Ihungia,0,7,,,
,,Kaitaratahi,1,11,,,
,,Keruru,1,22,,,
,,Kiritaki,2,45,,,
,,Kumeroa,2,33,,,
,,Kurukuru,1,15,,,
,,Maharahara West,1,14,,,
,,Makaraka,3B,85,,,
,,Makaretu South,1,11,,,
,,Makauri,3B,108,,,
,,Makotuku,3B,79,,,
,,Mangarara,0,6,,,
,,Mangatahi,1,13,,,
,,Mangateretere,3A,69,,,
,,Mangatoro,1,11,,,
,,Maraekako,1,22,,,
,,Maraetotara,2,19,,,
,,Marakeke,2,23,,,
,,Marumaru,2,22,,,
,,Matahiwi,3A,38,,,
,,Matamau,3B,82,,,
,,Matawai,3A,68,,,
,,Meeanee,3A,57,,,
,,Mohaka,3A,74,,,
,,Morere,1,15,,,
,,Motea,1,19,,,
,,Motu,3a,39,,,
,,Motuhora,3a,55,,,
,,Mount Herbert,0,2,,,
,,Murewai,2,29,,,
,,Mutuera,0,12,,,
,,Napier,7C,585,,,
,,Napier North ,4A,100,,,
,,Napier Port,5A,253,,,
,,Napier South,5D,361,,,
,,Napier West,6A,476,,,
,,Ngamoko,2,29,,,
,,Ngapaeruru,1,7,,,
,,Ngatapa,3A,55,,,
,,Ngatarawa,2,24,,,
,,Norsewood,4B,163,,,
,,Nuhaka,2,26,,,
,,Omakere,2,24,,,
,,Ongaonga,3B,87,,,
,,Opapa,3A,42,,,
,,Opoutama,2,19,,,
,,Ormond,3B,84,,,
,,Ormondville,3A,61,,,
,,Otamauri,1,12,,,
,,Otane,3B,101,,,
,,Otoko,2,32,,,
,,Pakipaki,3a,42,,,
,,Pakowhai,3A,44,,,
,,Papatawa,3A,57,,,
,,Patangata,1,9,,,
,,Patoka,1,24,,,
,,Patutahi,4A,130,,,
,,Pehiri,1,9,,,
,,Petane,3A,77,,,
,,Porangahau,3A,45,,,
,,Port Awanui,1,11,,,
,,Pouawa,0,8,,,
,,Puha,3A,46,,,
,,Pukahu,3A,48,,,
,,Puketapu,3A,36,,,
,,Puketitiri,2,22,,,
,,Putorino,1,13,,,
,,Rakauroa,1,21,,,
,,Raumati,2,31,,,
,,Rissington,1,16,,,
,,Ruaroa,3A,40,,,
,,Ruataniwha,3A,50,,,
,,Sherenden,1,14,,,
,,Springhill,2,27,,,
,,Takapau,4A,151,,,
,,Tangatapua,0,2,,,
,,Tangitere,1,15,,,
,,Taradale (237) and Greenmeadows (side school) (53),5B,290,,,
,,Te Arai,3B,89,,,
,,Te Hua,0,3,,,
,,Te Karaka,3B,95,,,
,,Te Pohue,1,18,,,
,,Te Puia Springs,1,11,,,
,,Te Rehunga,3A,73,,,
,,Te Uri,1,10,,,
,,Tikokino,3a,89,,,
,,Tiniroto,1,12,,,
,,Tipapakuku,3A,68,,,
,,Ti-tree Point,1,11,,,
,,Tokomaru Bay ,3B,91,,,
,,Tolaga Bay,4A,140,,,
,,Tutira,1,11,,,
,,Twyford,3a,61,,,
,,Umutaoroa,2,22,,,
,,Waerengaahika,3A,62,,,
,,Waikari,0,5,,,
,,Waikohu,1,17,,,
,,Waimata Valley,1,16,,,
,,Waingake,1,18,,,
,,Waimoko,0,5,,,
,,Waipawa District High School Primary (220) Secondary (40),5B,260,,,
,,Waipiro Bay,3A,58,,,
,,Waipukurau,5B,355,,,
,,Wairoa,5a,355,,,
,,Waitahora,1,11,,,
,,Waitio,0,4,,,
,,Wakarara,2,19,,,
,,Wallingford,1,16,,,
,,Wanstead,1,10,,,
,,Weber,3a,46,,,
,,Whakarau,1,7,,,
,,Wharekopae,1,14,,,
,,Whatatutu,3a,47,,,
,,Whetukura,2,32,,,
,,Wigan,1,12,,,
,,Wimbledon,1,10,,,
,,Woodlands,3A,50,,,
,,Woodville District High School Primary (309) Secondary (31),5C,350,,,
