Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
li,Nelson,Addison's Flat,1,11,,,
,,Anatimo,0,4,,,
,,Appleby,2,36,,,
,,Arapito,1,16,,,
,,Ariki,1,9,,,
,,Awaroa,0,8,,,
,,Bainham,3A,40,,,
,,Birchfield,2,26,,,
,,Black's Point,3B,91,,,
,,Blackwater Upper,2,28,,,
,,Brightwater (59) and River Terrace (side school) (22),3A,81,,,
,,Brooklyn,3B,85,,,
,,Burnett's Face,3A,70,,,
,,Cape Foulwind,3a,41,,,
,,Capleston,2,27,,,
,,Charleston,2,24,,,
,,Churchill,1,12,,,
,,Clifton Terrace,2,28,,,
,,Collingwood,3A,33,,,
,,Cronadun,3A,33,,,
,,Denniston,4A,129,,,
,,Dovedale,2,23,,,
,,Fairdown,1,14,,,
,,Fern Flat,1,13,,,
,,Ferntown,1,13,,,
,,Foxhill,3A,56,,,
,,Glenhope,1,16,,,
,,Glenroy,1,11,,,
,,Globe Hill,3A,26,,,
,,Golden Downs,0,5,,,
,,Gordon,0,11,,,
,,Granity (135) and Hector (side school) (40),4B,175,,,
,,Hamama,1,12,,,
,,Happy Valley,2,26,,,
,,Hillside,1,16,,,
,,Hinekaka,0,7,,,
,,Hope,3A,60,,,
,,Inangahua Junction,1,20,,,
,,Inangahua Landing ,1,19,,,
,,Kaituna,2,23,,,
,,Karamea (81) and Oparara (side school) (11),3B,92,,,
,,Kikiwa,0,6,,,
,,Kiwi,1,18,,,
,,Koreke,1,8,,,
,,Little Grey,3A,39,,,
,,Little Wanganui ,1,18,,,
,,Longford,1,12,,,
,,Long Plain,1,21,,,
,,McLaren's Bay ,0,4,,,
,,Mahana,1,13,,,
,,Matai Valley,0,9,,,
,,Mangarakau,1,7,,,
,,Mangles Valley,0,9,,,
,,Mapua,1,19,,,
,,Marahau,1,17,,,
,,Matariki,1,10,,,
,,Millerton,4A,153,,,
,,"Motueka District High School and Whakarewa (side school) - Motueka Primary (213), Motueka Secondary (31), Whakarewa (side school) (37)",5a,281,,,
,,Motupiko,2,29,,,
,,Motupipi,3A,56,,,
,,"Moutere, Lower",3A,66,,,
,,"Moutere, Upper",3A,51,,,
,,Murchison,3A,60,,,
,,Nelson Boys' (260) Brook Street (side school) (122) and Tasman Street (side school) (157,7B,529,,,
,,Nelson Girls' (223) Hampden Street (side school) (175) and Haven Road (side school) (87),7B,585,,,
,,Neudorf,3A,38,,,
,,Ngatimoti,3A,38,,,
,,Norris's Gully,0,5,,,
,,Nuggety Creek,0,5,,,
,,Oparara (side school ) see under Karamea,,,,,
,,Oparara Beach ,0,7,,,
,,Orinoco,1,10,,,
,,Owen Junction,1,15,,,
,,Pakawau,1,15,,,
,,Pariwhakaho,0,10,,,
,,Pigeon Valley,1,14,,,
,,Pokororo,2,22,,,
,,Progress,1,17,,,
,,Punakaikai,1,12,,,
,,Puponga,3A,26,,,
,,Ranzau,3A,45,,,
,,Redwood's Valley,0,5,,,
,,Reefton District High School Primary (262) secondary (27),5B,289,,,
,,Richmond,4B,201,,,
,,River Terrace (side school) see under Brightwater,,,,,
,,Riwaka,3B,99,,,
,,Rockville (42) and Dall's Creek (side school) (11),3A,53,,,
,,Rocky River,1,18,,,
,,Rotokohu,1,12,,,
,,Seddonville,3A,47,,,
,,Sergeant's Hill,2,22,,,
,,Sherry River,1,18,,,
,,Six-mile,1,10,,,
,,Spring Grove,3A,52,,,
,,Stanley Brook,2,23,,,
,,Stockton,1,14,,,
,,Stoke,3B,90,,,
,,Summerlea,2,17,,,
,,Tadmor,2,31,,,
,,Tahuna,3B,86,,,
,,Takaka Central,2,28,,,
,,Takaka East,2,19,,,
,,Takaka Lower District High School Primary (98) Secondary (14),3B,112,,,
,,Takaka Upper,1,21,,,
,,Tapawera,3A,36,,,
,,Tarakohe,3A,39,,,
,,Tasman,2,29,,,
,,Tauranga Bay,0,7,,,
,,Te Arowhenua,0,4,,,
,,Tophouse,0,6,,,
,,Tuikea,2,16,,,
,,Tutaki,1,11,,,
,,Umere,1,14,,,
,,Uruwhenua,1,9,,,
,,Wai-iti,3A,24,,,
,,Waimangaroa,3A,59,,,
,,Waimea West ,2,18,,,
,,Wairangi,0,3,,,
,,Waitahu,1,9,,,
,,Waiuta,3A,67,,,
,,Wakefield Lower,4A,116,,,
,,Westport District High School Primary (641) secondary (93),7D,734,,,
,,Whangamoa,0,7,,,
,,Will's Road,1,18,,,
,,Woodstock,0,11,,,
