Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
xxiv,Taranaki ,Ackland,1,17,,,
,,Ahiti,1,16,,,
,,Albert,1,15,,,
,,Ararata,2,27,,,
,,Astwood,0,6,,,
,,Aukopae,1,9,,,
,,Auroa,3B,95,,,
,,Awakino,3A,15,,,
,,Awatuna,3A,21,,,
,,Bell Block,3a,73,,,
,,Bird,3A,39,,,
,,Cardiff,3A,37,,,
,,Carrington,3A,36,,,
,,Central (570) and Vogeltown (side school) (45) New Plymouth,7C,615,,,
,,Denbigh,1,12,,,
,,Douglas,3A,46,,,
,,Dudley,1,10,,,
,,Durham,2,27,,,
,,Egmont Villiage,3A,56,,,
,,Eltham,5B,283,,,
,,Finnerty,2,41,,,
,,Fitzroy,4B,188,,,
,,Frankley (94) and Westown (side school) (38),4A,132,,,
,,Fraser Road,2,26,,,
,,Hapurua (6) and Waitewhena (5),1,11,,,
,,Hawera District High School and side school - Primary (652) secondary (27) side school (45,7E,724,,,
,,Herangi,0,4,,,
,,Hillsborough,3A,53,,,
,,Huiakama,3A,40,,,
,,Huiroa,3A,48,,,
,,Hurford,2,32,,,
,,Hurimoana,2,28,,,
,,Ihaia,1,11,,,
,,Inglewood,5A,264,,,
,,Kahui,1,12,,,
,,Kaimata,3A,73,,,
,,Kaimiro,3A,37,,,
,,Kaponga,4A,141,,,
,,Kapuni,3A,77,,,
,,Kent,1,23,,,
,,Kina,1,20,,,
,,Kiore,1,17,,,
,,Kohuratahi,1,6,,,
,,Korito,2,23,,,
,,Koru,2,28,,,
,,Lepperton,3A,59,,,
,,Lincoln,3A,36,,,
,,Mahirakau,2,21,,,
,,Mahoe,3A,50,,,
,,Mahoenui,2,25,,,
,,Makahu,2,20,,,
,,Makaka,1,21,,,
,,Manaia,4A,170,,,
xxvi,,Mangahume,2,23,,,
,,Mangamingi,2,19,,,
,,Mangatoki,3B,89,,,
,,Mangorei Lower,1,14,,,
,,Mangorei Upper,1,24,,,
,,Marakopa,1,14,,,
,,Marco,3A,33,,,
,,Mata,1,23,,,
,,Matapu,1,14,,,
,,Matau (household),0,5,,,
,,Matau,1,14,,,
,,Matiere,3A,59,,,
,,Meremere,2,32,,,
,,Midhurst,3B,103,,,
,,Mimi,2,23,,,
,,Mokau,2,27,,,
,,Mokau River,0,4,,,
,,Mokoia,3A,49,,,
,,Motonui,3A,71,,,
,,Mount Messenger,1,17,,,
,,Muskers,1,17,,,
,,Newall,2,28,,,
,,Ngaere,3B,84,,,
,,Nihoniho,1,20,,,
,,Norfolk,3A,50,,,
,,Normanby,3B,109,,,
,,Oakura,2,35,,,
,,Oaonui,3A,58,,,
,,Oeo,2,28,,,
,,Ohangai,3A,63,,,
,,Ohura,3A,50,,,
,,Okahukura,3A,35,,,
,,Okaiawa,3B,103,,,
,,Okato,3A,75,,,
,,Okau,2,22,,,
,,Okoke,1,9,,,
,,Omata,3A,72,,,
,,Ongarue,3A,40,,,
,,Opunake,3B,84,,,
,,Otakeho,3B,106,,,
,,Otangiwai,3A,36,,,
,,Otunui,1,20,,,
,,Paraketu Valley,1,8,,,
,,Pehu,0,3,,,
,,Pembroke,2,25,,,
,,Pihama,3A,57,,,
,,Piko,1,7,,,
,,Pitone,1,12,,,
,,Pohokura,2,19,,,
,,Pukearuhe,1,18,,,
,,Pukeho,2,27,,,
,,Pukengahu,3A,50,,,
,,Pungarehu,3A,36,,,
,,Puniho,2,36,,,
,,Puniwhakau,2,24,,,
,,Purangi,1,9,,,
,,Radnor,2,19,,,
,,Rahotu,3A,75,,,
,,Ratapiko,3A,42,,,
,,Raupuha,3A,30,,,
,,Rawhitiroa,3A,45,,,
,,Riverlea,3A,53,,,
,,Rotokare,2,18,,,
,,Rowan,2,31,,,
,,Stanley,3A,62,,,
,,Stratford District High School Primary (543) Secondary (160),7D,713,,,
,,Tahora,2,38,,,
,,Tarata,3A,31,,,
,,Tariki,3A,72,,,
,,Tarurutangi,2,26,,,
,,Tataraimaka,3A,45,,,
,,Tatu,1,13,,,
,,Te Kiri,3A,51,,,
,,Te Roti,3A,40,,,
,,Te Wakarae,1,15,,,
,,Tikorangi,3A,65,,,
,,Tokaora,2,38,,,
,,Tokirima Road,2,25,,,
,,Toko,3B,104,,,
,,Tongaporutu,1,12,,,
,,Tuna,2,23,,,
,,Turoto Road,1,10,,,
,,Tututawa,2,23,,,
,,Urenui,3A,70,,,
,,Uruti,2,25,,,
,,Vogeltown (side school) See under Central,,,,,
,,Waiau ,1,15,,,
,,Waingongora,2,18,,,
,,Waiongona,2,19,,,
,,Waitaanga,1,12,,,
,,Waitara,5B,299,,,
,,Waitewhena (half-time) See under Hapurua,2,24,,,
,,Waitui,2,24,,,
,,Warea,3A,45,,,
,,West End,6B,461,,,
,,Westown (Side school) see under Frankley,2,18,,,
,,Whakamara,2,18,,,
,,Whangamomona ,3A,62,,,
,,York,2,41,,,
