Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
xxviii,Wanganui,Alton,3A,59,,,
,,Apiti,3B,83,,,
,,Aramoho,4C,222,,,
,,Aratika,1,19,,,
,,Ashhurst,4A,143,,,
,,Awahou,2,23,,,
,,Awahou South,1,12,,,
,,Awahuri,3A,56,,,
,,Bainesse,3A,39,,,
,,Beaconsfield ,2,26,,,
,,Bluff Road,1,8,,,
,,Brunswick,3A,35,,,
,,Bull's District High School Primary (127) Secondary (12),4A,139,,,
,,Bunnythorpe,3B,114,,,
,,Burnside,1,9,,,
,,"Campbell Street, Palmerston North",7D,672,,,
,,Carnarvon,3A,61,,,
,,Castlecliff,4B,181,,,
,,Cheltenham,3A,63,,,
,,Clydesdale,2,34,,,
,,Coal Creek,1,15,,,
,,"College Street, Pamerston North",7A,543,,,
,,Colyton,3A,45,,,
,,Crofton (87) and side school (57),4A,144,,,
,,Denlair ,1,10,,,
,,Dunolly,3A,38,,,
,,Durie Hill,3B,117,,,
,,Feilding District High School Primary (420) Secondary (60),6B,480,,,
,,Fitzherbert East,3A,37,,,
,,Foxton,5C,372,,,
,,Glen Oroua,3A,48,,,
,,Gonville,6B,521,,,
,,Greatford,1,22,,,
,,Halcombe,3B,96,,,
,,Herrington (side school) See under Umumuri,2,23,,,
,,Hihitahi,2,23,,,
,,Hikimutu,2,32,,,
,,Hinau,1,10,,,
,,Hiwi,0,5,,,
,,Hiwinui,2,23,,,
,,Horopito,3A,61,,,
,,Hukapapa,2,22,,,
,,Hunterville District High School Primary (129) Secondary (14),4A,143,,,
,,Hurleyville,3A,38,,,
,,Kaheke,1,18,,,
,,Kai Iwi,3A,48,,,
,,Kairanga,3A,58,,,
,,Kaitieke,1,14,,,
,,Kaitoke,3A,60,,,
,,Kakahi,4A,116,,,
,,Kakaramea,3A,48,,,
XXXI,,Kakariki,1,18,,,
,,Kakatahi,1,15,,,
,,Karewarewa,1,14,,,
,,Kaukatea,1,20,,,
,,Kawautahi Road,1,8,,,
,,Kawhatau,2,24,,,
,,"Keith Street Infants, Wanganui",5A,219,,,
,,Kelvin Grove,3A,54,,,
,,Kimbolton,3B,109,,,
,,Kiwitea,3A,49,,,
,,Koeke,1,17,,,
,,Kohi,2,22,,,
,,Lacy's Landing,1,10,,,
,,Linton,3B,91,,,
,,Livingstone,1,9,,,
,,Long-acre Valley,1,14,,,
,,Longburn,3B,98,,,
,,"Lytton Street, Feilding",5B,299,,,
,,Main South Road,0,7,,,
,,Makino Road,3A,39,,,
,,Makohau,0,13,,,
,,Makohine Valley,1,14,,,
,,Makotuku,3A,25,,,
,,Mangamahu,1,10,,,
,,Mangaonoho,2,30,,,
,,Mangara,1,15,,,
,,Mangarimu,1,19,,,
,,Mangatiti Landing,0,2,,,
,,Mangaweka,3B,91,,,
,,Mangawhio,1,11,,,
,,Manaoihe,1,11,,,
,,Manunui,4C,216,,,
,,Manutahi,3A,38,,,
,,Marohema,1,11,,,
,,Marton District High School Primary (285) Secondary (26),5B,311,,,
,,Matarawa,1,19,,,
,,Mataroa,3A,46,,,
,,Maxwell,3A,46,,,
,,Moawhanga,1,25,,,
,,Momohaki,1,13,,,
,,Mosston,3B,95,,,
,,Mount Richards Road,1,16,,,
,,Mount View,2,35,,,
,,Moutoa,3A,42,,,
,,Newbury,3A,59,,,
,,Ngamatea,1,12,,,
,,Ngaturi,1,14,,,
,,Ngawaka,2,22,,,
,,Ngutuwera,1,16,,,
,,Nukumaru,1,21,,,
,,Ohakea,3A,52,,,
,,Ohakune,5C,257,,,
,,Ohingaiti,3A,70,,,
,,Ohutu,1,14,,,
,,Okoia,3A,27,,,
,,Omahine,1,15,,,
,,Opaku,2,26,,,
,,Orautoha,2,30,,,
,,Ore Ore,1,9,,,
,,Oroua Downs,3A,66,,,
,,Otairi,1,11,,,
,,Owhakura,2,19,,,
,,Owhango,4A,147,,,
,,Pakihikura,1,21,,,
,,Parawanui,2,37,,,
,,Patea District High School Primary (158) Secondary (15),4B,173,,,
,,Piriaka,3A,41,,,
,,Pohangina,3A,38,,,
,,Pohonui,1,15,,,
,,Pokako,1,21,,,
,,Porewa,1,10,,,
,,Potaka Road,1,13,,,
,,Poukiore,1,12,,,
,,Pukekaha,1,6,,,
,,Pukeokahu,1,15,,,
,,Pukeroa,1,13,,,
,,"Queens Park, Wanganui (308) St Johns Hill (side school) (36)",5C,344,,,
,,Raetihi,4A,150,,,
,,Rangataua,4A,121,,,
,,Rangiotu,3A,67,,,
,,Rangiwahia,3A,45,,,
,,Rapanui,1,18,,,
,,Rata,3A,56,,,
,,Rata-iti,1,13,,,
,,Raukura,2,17,,,
,,Raumai,2,14,,,
,,Raurimu,3A,68,,,
,,Retaruke,0,9,,,
,,Rewa,2,28,,,
,,Riariaki,0,3,,,
,,Rongoiti,1,17,,,
,,Rongotea,4A,26,,,
,,Ruahine,2,20,,,
,,Ruatiti,1,14,,,
,,St John's Hill (side school) see under Queen's Park,,,,,
,,Sanson,3B,72,,,
,,Silverhope,3A,37,,,
,,South Makirikiri,3A,40,,,
,,Spur Road,1,10,,,
,,Stanway,2,33,,,
,,Stoney Creek,3A,62,,,
,,Table Flat,1,16,,,
,,Taihape District High School Primary (296) Secondary (18) and Winiata (side school) (17),5C,331,,,
