Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
XLI,Wellington,Blenheim (533) and Redwoodtown (side school) (47),7A,580,,,
,,Blind River,0,10,,,
,,Brancott,0,2,,,
,,Canvastown,3A,52,,,
,,Carluke,3A,46,,,
,,Deep Creek,3a,42,,,
,,Dillon's Point,1,15,,,
,,Eli Bay,1,8,,,
,,Fabian's Valley,0,4,,,
,,Fairhall,2,78,,,
,,Finnie's Creek,0,7,,,
,,Flat Creek,2,19,,,
,,Four-fathom Bay,0,5,,,
,,French Pass,1,14,,,
,,Grassmere,1,15,,,
,,Grovetown,3A,68,,,
,,Hakahaka,0,1,,,
,,Havelock,3B,79,,,
,,Hillersden,1,17,,,
,,Jordan,0,6,,,
,,Kaituna,1,16,,,
,,Kaiuma,1,13,,,
,,Kakapou Bay,0,3,,,
,,Kererangu,1,8,,,
,,Koromiko,2,23,,,
,,Linkwater,2,17,,,
,,Maori Bay,0,4,,,
,,Marama,1,14,,,
,,Marathon,1,9,,,
,,Marlboroughtown,3A,69,,,
,,Marshlands,2,28,,,
,,Nydia Bay,1,11,,,
,,Ocean Bay,3A,45,,,
,,Okaramio,2,29,,,
,,Omaka,1,16,,,
,,Onamalutu,1,17,,,
,,Opouri Valley,1,11,,,
,,Pelorus Bridge,2,27,,,
,,Rapaura,3A,43,,,
,,Renwick,3A,68,,,
,,Riverlands,2,34,,,
,,Ronga Valley,1,14,,,
,,Saratoga Bay,1,8,,,
,,Sea View,1,12,,,
,,Seddon,3A,63,,,
,,Springlands,4A,148,,,
,,Stephens Island,0,4,,,
,,Te Rou,1,11,,,
,,Titirangi,0,5,,,
,,Tuamarina,3A,61,,,
,,Ugbrooke,1,11,,,
,,Upton Downs,0,1,,,
,,Waikakaho,0,5,,,
,,Wairau Bar,1,14,,,
,,Wairau Pa,1,13,,,
,,Wairau Valley,2,29,,,
,,Waireka,0,5,,,
,,Wantwood,1,11,,,
,,Ward,3A,63,,,
,,Wharanui,1,15,,,
,,Woodbank,1,22,,,
,,Belvedere,3A,60,,,
,,Carrington,2,22,,,
,,Carterton District High Schhol Primary (269) Secondary (40),5C,309,,,
,,Clareville,3A,48,,,
,,Dalefield,3A,43,,,
,,East Taratahi,2,21,,,
,,Longbush,2,23,,,
,,Matarawa,2,34,,,
,,Parkvale,3A,56,,,
,,Ponatahi,1,21,,,
,,Waihakeke,3A,40,,,
,,Horoeka,1,26,,,
,,Waione,2,22,,,
,,Alfredton,2,21,,,
,,Eketahuna District High School Primary (166) Secondary (31),4B,197,,,
,,Hastwell,3A,39,,,
,,Kaiparoro,2,32,,,
,,Mangamahoe,1,12,,,
,,Mangamaire,2,17,,,
,,Mangaone,1,17,,,
,,Newman,3A,36,,,
,,Nireaha,3A,70,,,
,,Putara,1,16,,,
,,Rongokokako,3A,38,,,
,,Rongomai,2,22,,,
xliii,,Saunders Road,1,19,,,
,,Tane,1,17,,,
,,Waihoki Valley ,0,7,,,
,,Cross Creek,3A,37,,,
,,Featherston,4C,244,,,
,,Kahautara,2,31,,,
,,Kaiwaiwai,3A,47,,,
,,Pirinoa,2,33,,,
,,South Featherston,3A,76,,,
,,Tauherenikau,2,34,,,
,,Wairongomai,1,18,,,
,,Bideford,2,21,,,
,,Greytown District High School and side school primary (205) secondary (14) side school (13),5A,232,,,
,,Kaitara,2,17,,,
,,Eastern Hutt,5B,325,,,
,,Epuni,3A,66,,,
,,Hutt District High School Primary (509) secondary (41),7A,550,,,
,,Taita,3B,103,,,
,,Koputaroa (82) and side school (25),3B,107,,,
,,Levin District High School Primary (545) secondary (28),7B,573,,,
,,Manakau,3B,86,,,
,,Muhunoa East,1,16,,,
,,Ohau,3B,111,,,
,,Dyer,2,36,,,
,,Martinborough,4C,225,,,
,,Pukenui,1,11,,,
,,Tablelands,1,9,,,
,,Dreyers Rock,1,14,,,
,,Fernridge,3B,94,,,
,,Gladstone,3A,38,,,
,,Ihuraua,2,23,,,
,,Kopuaranga,2,26,,,
,,Lansdowne,5B,341,,,
,,Mangapakeha,0,9,,,
,,Masterton District High School Primary (617) Secondary (108) side school (149),7H,874,,,
,,Matahiwi,2,22,,,
,,Mauriceville,3A,34,,,
,,Mauriceville West,3A,43,,,
,,Mikimiki,2,21,,,
,,Opaki,2,21,,,
,,Poroporo,1,16,,,
,,Rangitumau,1,19,,,
,,Solway,3A,43,,,
,,Taratahi,2,26,,,
,,Taueru,2,12,,,
,,Te Ore Ore,3A,50,,,
xlv,,Te Wharau,1,9,,,
,,Te Whiti,1,11,,,
,,Waingawa,2,36,,,
,,Whareama,3A,32,,,
,,Berhampore Wellington,7A,518,,,
,,Newtown,7F,805,,,
,,South Wellington,7E,752,,,
,,Otaki,4B,181,,,
,,Reikorangi,2,34,,,
,,Te Horo,3B,91,,,
,,Waihoanga ,2,24,,,
,,Akitio,1,8,,,
,,Ballance,3A,44,,,
,,Hamua,3A,44,,,
,,Hinemoa,0,10,,,
,,Hukanui,3A,45,,,
,,Kaitawa,2,19,,,
,,Kakariki,2,27,,,
xlvi,,Kohiku,0,6,,,
,,Kohinui,1,15,,,
,,Konini,3A,62,,,
,,Korora (14) and Pukehinau (19),2,33,,,
,,Makairo,1,14,,,
,,Makomako,2,23,,,
,,Maku,1,14,,,
,,Makuri,2,29,,,
