school,county_borough,evidence,confidence,locality,town_district,notes
"Ahuroa Nos 1 (7) and 2 (9)",Rodney County,"KG: on Auckland–Whangarei road; railway file: Ahuroa on Waitakere–Whangarei line",Medium,Ahuroa,north of Silverdale,
"Aka Aka",Franklin County,"small_cities: Akaaka, Franklin, 202",High,Aka Aka,near Waiuku,
"Albany",Waitemata County,"small_cities: Albany, Waitemata, 240",High,Albany,,
"Albertland North (14) and Hoteo North (20)",Rodney County,"small_cities: Port Albert, Rodney, 266; Albertland = Port Albert district",Medium,Port Albert,,Hoteo North is half-time under this entry
"Alexandra",Waipa County,"KG: Alexandra was former name of Pirongia; in Waipa County",Medium,Alexandra (Pirongia),,Town renamed Pirongia c.1921
"Alfriston",Manukau County,"small_cities: Alfriston, Manukau, 192",High,Alfriston,,
"Amiona",Unresolved,"Grade 1, 12 students; Maori school; no gazetteer or polling match",Unresolved,,,Possible Bay of Islands area
"Amodeo Bay Nos. 1 (9) and 2 (8)",Coromandel County,"KG: Amodeo Bay on Coromandel Peninsula coast",High,Amodeo Bay,Coromandel Peninsula,
"Aoroa",Hobson County,"small_cities: Aoroa, Hobson, 282",High,Aoroa,Dargaville area,
"Aranga",Hokianga County,"small_cities: Aranga, Hokianga, 136",High,Aranga,,
"Arapae",Bay of Islands County,"KG: probable Bay of Islands area; grade 1, 14 students",Low,Arapae,Bay of Islands,No direct source
"Araparara (10) and Mangakura (9)",Hokianga County,"Post_offices: Araparara-Mititai mail service; Mititai in Hokianga County",Medium,Araparara,,Mangakura is half-time under this school
"Arapohue",Hobson County,"small_cities: Arapohue, Hobson, 182",High,Arapohue,Dargaville area,
"Ararimu (11) and Paparimu (12)",Franklin County,"small_cities: Ararimu, Franklin, 120",High,Ararimu,,Paparimu is half-time
"Ararua",Otamatea County,"Post_offices: Matakohe-Ararua mail service; small_cities: Matakohe, Otamatea",Medium,near Matakohe,,
"Aratapu District High School Primary (100) Secondary (23)",Hobson County,"small_cities: Aratapu, Hobson, 384",High,Aratapu,,
"Aratoro",Waitomo County,"small_cities: Aratoro, Waitomo, 109",High,Aratoro,,
