school,county_borough,evidence,confidence,locality,town_district,notes
"Adair",Levels County,"small_cities: Adair, Levels, 103",High,Adair,,
"Addington",Christchurch City,"KG: Addington is inner Christchurch suburb; large school (612); SC Addington/Waimairi entry refers to different rural Addington",High,Addington,,
"Ahaura",Grey County,"small_cities: Ahaura, Grey, 167",High,Ahaura,,
"Akaroa District High School Primary (102) Secondary (12)",Akaroa Borough,"coordinates_boroughs.csv: Akaroa Borough",High,Akaroa,,
"Albury",Mackenzie County,"small_cities: Albury, Mackenzie, 282",High,Albury,,
"Alford Forest",Ashburton County,"small_cities: Alford Forest, Ashburton, 262",High,Alford Forest,,
"Allandale",Mackenzie County,"KG: Allandale near Albury; small_cities: Allandale, Mackenzie, 103",High,Allandale,,
"Amberly",Kowai County,"KG: Amberley in Kowai County; file spells Amberly",High,Amberley,,
"Anama",Ashburton County,"small_cities: Anama, Ashburton, 121",High,Anama,,
"Annat",Malvern County,"small_cities: Annat, Malvern, 178",High,Annat,,
"Arahura Road",Westland County,"KG: Arahura on Westland coast near Hokitika; Westland County",High,Arahura,,
"Aranui",Christchurch City,"KG: Aranui is eastern suburb of Christchurch City",High,Aranui,,
"Aratika",Grey County,"railway file: Aratika on Greymouth–Otira line; Grey County",Medium,Aratika,,
"Arthur's Pass",Tawera County,"small_cities: Arthur's Pass, Tawera, 222",High,Arthur's Pass,,
"Arundel",Geraldine County,"KG: Arundel near Geraldine; small_cities: Arundel, Geraldine, 103",High,Arundel,,
"Ashburton Forks",Ashburton County,"KG: Ashburton Forks in Ashburton County rural area",Medium,Ashburton Forks,,
"Ashburton Main (389) and Allenton (side school) (124)",Ashburton Borough,"coordinates_boroughs.csv: Ashburton Borough",High,Ashburton,,Allenton is side school within Borough
"Ashley",Ashley County,"small_cities: Ashley, Ashley, 304",High,Ashley,,
"Ashley Gorge",Ashley County,"KG: Ashley Gorge on Ashley River; Ashley County",Medium,Ashley Gorge,,
"Ashton",Ashburton County,"KG: Ashton near Ashburton; Ashburton County",Low,Ashton,,No direct source
"Ashwick Flat",Mackenzie County,"KG: Ashwick Flat near Fairlie; Mackenzie County",Medium,Ashwick Flat,,
"Ataahua",Geraldine County,"KG: Ataahua near Geraldine area; Geraldine County",Low,Ataahua,,No direct source
"Awatuna",Westland County,"KG: Awatuna beach suburb near Hokitika; Westland County",Medium,Awatuna,,
"Aylesbury",Malvern County,"small_cities: Aylesbury, Malvern, 106",High,Aylesbury,,
"Balcairn",Kowai County,"small_cities: Balcairn, Kowai, 202",High,Balcairn,,
"Barr Hill",Malvern County,"KG: Barr Hill in Malvern County area",Low,Barr Hill,,No direct source
"Barry's Bay",Akaroa County,"small_cities: Barry's Bay, Akaroa, 105",High,Barry's Bay,,
"Barrytown",Grey County,"KG: Barrytown on West Coast north of Greymouth; Grey County",High,Barrytown,,
"Beckenham",Christchurch City,"KG: Beckenham southern suburb of Christchurch City",High,Beckenham,,
"Belfast (106) and side school (90)",Waimairi County,"small_cities: Belfast, Waimairi, 1057",High,Belfast,,
"Belfield",Geraldine County,"small_cities: Belfield, Geraldine, 100",High,Belfield,,
"Big River",Inangahua County,"KG: Big River near Reefton; Inangahua County",Medium,Big River,,
"Birdling's Flat",Ellesmere County,"KG: Birdling's Flat on Lake Ellesmere coast; Ellesmere County",Medium,Birdling's Flat,,
"Blackball",Grey County,"small_cities: Blackball, Grey, 863",High,Blackball,,
"Bluecliffs",Waimate County,"small_cities: Blue Cliffs, Waimate, 132",High,Bluecliffs,,
"Bluespur",Westland County,"KG: Bluespur near Hokitika; Westland County",Medium,Bluespur,,
"Boddytown",Grey County,"KG: Boddytown near Greymouth; Grey County",Medium,Boddytown,,
"Broadfield",Paparua County,"KG: Broadfield near Rolleston; Paparua County",Medium,Broadfield,,
"Bromley",Heathcote County,"small_cities: Bromley, Heathcote, 823",High,Bromley,,
"Brookside",Ellesmere County,"small_cities: Brookside, Ellesmere, 220",High,Brookside,,
"Broomfield",Levels County,"KG: Broomfield near Timaru; Levels County",Low,Broomfield,,No direct source
"Bruce Bay",Westland County,"KG: Bruce Bay on South Westland coast; Westland County",High,Bruce Bay,,
"Burnham",Paparua County,"small_cities: Burnham, Paparua, 331",High,Burnham,,
"Bushside",Unresolved,"Grade 1, 16 students; no source",Unresolved,,,
"Callaghan's",Selwyn County,"KG: Callaghan's near Lake Coleridge; Selwyn County",Medium,Callaghan's,Lake Coleridge,
"Cameron's",Grey County,"small_cities: Cameron's, Grey, 120",High,Cameron's,,
"Cannington",Waimate County,"small_cities: Cannington, Waimate, 125",High,Cannington,,
"Carew",Ashburton County,"small_cities: Carew, Ashburton, 154",High,Carew,,
"Calrleton",Eyre County,"KG: Carleton near Kaiapoi; Eyre County; file spells Calrleton",Medium,Carleton,,File has typo Calrleton for Carleton
"Cashmere",Heathcote County,"small_cities: Cashmere, Heathcote, 970",High,Cashmere,,
"Cave",Levels County,"small_cities: Cave, Levels, 187",High,Cave,,
"Chamberlain",Mackenzie County,"small_cities: Chamberlain, Mackenzie, 132",High,Chamberlain,,
"Charing Cross",Paparua County,"Polling: Riccarton ED lists Charing Cross; Paparua County",Medium,Charing Cross,,
