school,county_borough,evidence,confidence,locality,town_district,notes
"Argyll East",Waipawa County,"small_cities: Argyll, Waipawa, 228",High,Argyll,,
"Ashley-Clinton",Waipawa County,"small_cities: Ashley-Clinton, Waipawa, 135",High,Ashley Clinton,,
"Awariki",Wairoa County,"KG: Awariki in Wairoa hinterland; Wairoa County",Low,Awariki,,No direct source
"Clifton",Hawke's Bay County,"KG: Clifton near Cape Kidnappers; Hawke's Bay County",Low,Clifton,,
"Clive",Hawke's Bay County,"small_cities: Clive, Hawke's Bay, 572",High,Clive,,
"Dannervirke North",Dannevirke Borough,"coordinates_boroughs.csv: Dannevirke Borough; file spells Dannervirke",High,Dannevirke,,
"Dannervirke South",Dannevirke Borough,"coordinates_boroughs.csv: Dannevirke Borough; file spells Dannervirke",High,Dannevirke,,
"Elsthorpe",Patangata County,"small_cities: Elsthorpe, Patangata, 157",High,Elsthorpe,,
"Fernhill",Hawke's Bay County,"KG: Fernhill near Hastings; Hawke's Bay County",Medium,Fernhill,,
"Flemington",Waipawa County,"KG: Flemington in Waipawa County area",Low,Flemington,,No direct source
"Frasertown",Wairoa County,"small_cities: Frasertown, Wairoa, 318",High,Frasertown,,
"Gisborne",Gisborne Borough,"coordinates_boroughs.csv: Gisborne Borough",High,Gisborne,,
"Gisborne East",Gisborne Borough,"same area; Gisborne Borough",High,Gisborne,,
"Gisborne North",Gisborne Borough,"same area; Gisborne Borough",High,Gisborne,,
"Gisborne West",Gisborne Borough,"same area; Gisborne Borough",High,Gisborne,,
"Hastings District High School Primary (761) secondary (59)",Hastings Borough,"coordinates_boroughs.csv: Hastings Borough",High,Hastings,,
"Hastings North",Hastings Borough,"same area; Hastings Borough",High,Hastings,,
"Hastings West",Hastings Borough,"same area; Hastings Borough",High,Hastings,,
"Hatuma",Waipawa County,"small_cities: Hatuma, Waipukurau, 336 (Waipawa County area)",Medium,Hatuma,,SC county listed as Waipukurau — area corresponds to Waipawa County
"Havelock North",Hawke's Bay County,"KG: Havelock North near Hastings; Hawke's Bay County; not in CB",High,Havelock North,,
"Herbertville",Patangata County,"small_cities: Herbertville, Patangata, 105",High,Herbertville,,
"Heretaunga",Hawke's Bay County,"KG: Heretaunga plains area near Hastings; Hawke's Bay County",Medium,Heretaunga,,
"Hihiroroa",Unresolved,"Grade 0, 4 students; no source",Unresolved,,,
"Hinuera",Waipawa County,"KG: probable small Hawke's Bay locality; grade 1 — distinct from Matamata Hinuera (Auckland ED)",Low,Hinuera,,No direct source; note Hinuera also in Matamata County (Auckland ED)
"Hopelands",Waipawa County,"KG: Hopelands in Waipawa County area",Low,Hopelands,,No direct source
"Ihungia",Waiapu County,"KG: Ihungia near Ruatoria; Waiapu County",Low,Ihungia,,
"Kaitaratahi",Cook County,"KG: Kaitaratahi near Gisborne; Cook County",Low,Kaitaratahi,,
"Keruru",Cook County,"KG: Keruru in Gisborne hinterland near Tiniroto; Cook County",Low,Keruru,,
"Kiritaki",Woodville County,"small_cities: Kiritaki, Woodville, 188",High,Kiritaki,,
"Kumeroa",Woodville County,"small_cities: Kumeroa, Woodville, 125",High,Kumeroa,,
"Kurukuru",Unresolved,"Grade 1, 15 students; no source",Unresolved,,,
"Maharahara West",Weber County,"KG: Maharahara near Weber/Manawatu area; Weber County",Low,Maharahara,,
"Makaraka",Cook County,"small_cities: Makaraka, Cook, 280",High,Makaraka,,
"Makaretu South",Waipawa County,"small_cities: Makaretu, Waipawa, 268",High,Makaretu,,
"Makauri",Cook County,"small_cities: Makauri, Cook, 184",High,Makauri,,
"Makotuku",Dannevirke County,"small_cities: Makotuku, Dannevirke, 230",High,Makotuku,,
"Mangarara",Unresolved,"Grade 0, 6 students; no source",Unresolved,,,
"Mangatahi",Hawke's Bay County,"KG: Mangatahi near Napier; Hawke's Bay County",Low,Mangatahi,,
"Mangateretere",Hawke's Bay County,"small_cities: Mangateretere, Hawke's Bay, 207",High,Mangateretere,,
"Mangatoro",Unresolved,"Grade 1, 11 students; no source",Unresolved,,,
"Maraekako",Wairoa County,"KG: Maraekako near Wairoa; Wairoa County",Low,Maraekako,,
"Maraetotara",Hawke's Bay County,"small_cities: Maraetotara, Hawke's Bay, 116",High,Maraetotara,,
"Marakeke",Cook County,"KG: Marakeke near Gisborne; Cook County",Low,Marakeke,,
"Marumaru",Cook County,"small_cities: Marumaru, Cook, 222",High,Marumaru,,
"Matahiwi",Dannevirke County,"KG: Matahiwi near Dannevirke; Dannevirke County",Medium,Matahiwi,,SC shows Matahiwi,Masterton — different Wellington ED entry
"Matamau",Dannevirke County,"small_cities: Matamau, Dannevirke, 283",High,Matamau,,
"Matawai",Waikohu County,"small_cities: Matawai, Waikohu, 498",High,Matawai,,
"Meeanee",Hawke's Bay County,"small_cities: Meeanee, Hawke's Bay, 152",High,Meeanee,,
"Mohaka",Wairoa County,"small_cities: Mohaka, Wairoa, 133",High,Mohaka,,
"Morere",Wairoa County,"KG: Morere hot springs near Nuhaka; Wairoa County",Medium,Morere,,
"Motea",Unresolved,"Grade 1, 19 students; no source",Unresolved,,,
"Motu",Waikohu County,"small_cities: Motu, Waikohu, 184",High,Motu,,
"Motuhora",Opotiki County,"small_cities: Motuhora, Opotiki, 106",High,Motuhora,,
"Mount Herbert",Unresolved,"Grade 0, 2 students; too small to place",Unresolved,,,
"Murewai",Cook County,"small_cities: Muriwai, Cook, 157; file spells Murewai",High,Muriwai,,
"Mutuera",Unresolved,"Grade 0, 12 students; no source",Unresolved,,,
"Napier",Napier Borough,"coordinates_boroughs.csv: Napier Borough",High,Napier,,
"Napier North",Napier Borough,"same area; Napier Borough",High,Napier,,
"Napier Port",Napier Borough,"same area; Napier Borough",High,Napier,,
"Napier South",Napier Borough,"same area; Napier Borough",High,Napier,,
"Napier West",Napier Borough,"same area; Napier Borough",High,Napier,,
"Ngamoko",Dannevirke County,"small_cities: Ngamoko, Dannevirke, 110",High,Ngamoko,,
"Ngapaeruru",Unresolved,"Grade 1, 7 students; no source",Unresolved,,,
"Ngatapa",Cook County,"small_cities: Ngatapa, Cook, 322",High,Ngatapa,,
"Ngatarawa",Hawke's Bay County,"KG: Ngatarawa near Hastings; Hawke's Bay County",Medium,Ngatarawa,,
"Norsewood",Waipawa County,"Polling: Waipawa ED lists Norsewood (Public Library)",High,Norsewood,,
"Nuhaka",Wairoa County,"small_cities: Nuhaka, Wairoa, 150",High,Nuhaka,,
