school,county_borough,evidence,confidence,locality,town_district,notes
Addison's Flat,Buller County,Polling: Buller ED (line 764); west of Westport,High,Addison's Flat,Westport area,
Anatimo,Buller County,No direct source; possibly near Maruia River/Murchison area,Low,Maruia area,,
Appleby,Waimea County,Polling: Nelson ED (line 696) and Motueka ED (line 742); Waimea Plains,High,Appleby,Richmond area,
Arapito,Buller County,Postal data: Karamea-Arapito route; near Little Wanganui,High,Arapito,Karamea area,
Ariki,Buller County,Postal data: Sullivan's Bridge-Ariki route; near Little Wanganui,High,Ariki,Little Wanganui area,
Awaroa,Waimea County,Abel Tasman coast; Waimea County coastal area,Medium,Awaroa Bay,Motueka area,
Bainham,Collingwood County,Polling: Motueka ED (line 730); Golden Bay hinterland,High,Bainham,Collingwood area,
Birchfield,Buller County,Polling: Buller ED (line 771); near Westport,High,Birchfield,Westport area,
Black's Point,Inangahua County,Polling: Buller ED (line 766); near Reefton,High,Black's Point,Reefton area,
Blackwater Upper,Inangahua County,Blackwater River is in Inangahua County near Reefton,High,Blackwater,Reefton area,
Brightwater (59) and River Terrace (side school) (22),Waimea County,Polling: Nelson ED (line 693); Waimea Plains,High,Brightwater,Nelson area,
Brooklyn,Waimea County,Polling: Motueka ED (line 728); near Motueka,High,Brooklyn,Motueka area,
Burnett's Face,Buller County,Polling: Buller ED (line 761); near Denniston/Westport,High,Burnett's Face,Westport area,
Cape Foulwind,Buller County,Polling: Buller ED (line 763); coastal Buller County,High,Cape Foulwind,Westport area,
Capleston,Inangahua County,Polling: Buller ED (line 767 Victoria Institute Capleston); near Reefton,High,Capleston,Reefton area,
Charleston,Buller County,Polling: Buller ED (line 773); south of Westport,High,Charleston,Westport area,
Churchill,Buller County,Near Murchison; upper Buller area; no direct source,Low,Murchison area,,
Clifton Terrace,Nelson County,"Polling: Nelson ED (line 705 'Clifton Terrace, Wakapuaka')",High,Wakapuaka,Nelson area,
Collingwood,Collingwood County,Polling: Motueka ED (line 737); county seat of Golden Bay,High,Collingwood,,
Cronadun,Inangahua County,small_cities: Cronadun → Inangahua County (154); corrected from Buller County,High,Cronadun,Westport area,
Denniston,Buller County,Polling: Buller ED (line 760); plateau coalfield near Westport,High,Denniston,Westport area,
Dovedale,Waimea County,Polling: Motueka ED (line 720); upper Motueka/Waimea area,High,Dovedale,Motueka area,
Fairdown,Buller County,Polling: Buller ED (line 768); near Westport,High,Fairdown,Westport area,
Fern Flat,Buller County,"Polling: Buller ED (line 775 'school-teacher's residence, Fern Flat'); near Karamea",High,Fern Flat,Karamea area,
Ferntown,Collingwood County,Postal data: Collingwood-Ferntown route; near Collingwood,High,Ferntown,Collingwood area,
Foxhill,Waimea County,Polling: Motueka ED (line 721); Wairoa/Motueka area,High,Foxhill,Motueka area,
Glenhope,Waimea County,Polling: Motueka ED (line 749); upper Wairoa River valley,Medium,Glenhope,Murchison area,
Glenroy,Waimea County,Likely upper Wairoa/Tapawera area; no direct source,Low,Tapawera area,,
Globe Hill,Inangahua County,Polling: Buller ED (line 809); near Reefton,High,Globe Hill,Reefton area,
Golden Downs,Nelson County,Remote Nelson County forest area north of Wairoa River,Low,Golden Downs,,
Gordon,Buller County,No direct source; possibly Murchison/Buller area,Low,,,
Granity (135) and Hector (side school) (40),Buller County,Polling: Buller ED (line 762); West Coast north of Westport,High,Granity,Westport area,
Hamama,Waimea County,Possibly near Motueka/Marahau area; no direct source,Low,,,
Happy Valley,Nelson County,Polling: Nelson ED (line 708); near Nelson Borough,High,Happy Valley,Nelson area,
Hillside,Nelson County,"Polling: Nelson ED (line 706 'Hillside, Wakapuaka')",High,Wakapuaka,Nelson area,
Hinekaka,Collingwood County,Uncertain; possibly Golden Bay area,Low,,,
Hope,Waimea County,Polling: Nelson ED (line 694); Waimea County village near Richmond,High,Hope,Richmond area,
Inangahua Junction,Inangahua County,Polling: Buller ED (line 765); near county centre,High,Inangahua Junction,,
Inangahua Landing,Inangahua County,Polling: Buller ED (line 779 O'Regan's House); near Inangahua Junction,High,Inangahua Landing,,
Kaituna,Waimea County,Near Mapua on Waimea Plains; Waimea County,Medium,Kaituna,Richmond area,
Karamea (81) and Oparara (side school) (11),Buller County,Polling: Motueka ED (line 735); West Coast near Kahurangi,High,Karamea,,
Kikiwa,Waimea County,Upper Motueka River area; Waimea County,Medium,Kikiwa,Motueka hinterland,
Kiwi,Waimea County,Possibly upper Wairoa/Waimea area; no direct source,Low,,,
Koreke,Collingwood County,Possibly Golden Bay area; no direct source,Low,,,
Little Grey,Inangahua County,Little Grey River near Reefton; Inangahua County,High,Little Grey,Reefton area,
