school,county_borough,evidence,confidence,locality,town_district,notes
Airedale,Clutha County,No direct source; small locality; likely Clutha area,Low,,,
Akatore,Clutha County,Coastal south Otago near Balclutha; Clutha County,High,Akatore coast,,
Akatore Coast,Clutha County,Coastal south Otago; Clutha County,High,Akatore coast,,
Albany Street,Dunedin Borough,Dunedin North ED (line 1221); city school,High,Dunedin,,
Alexandra District High School,Alexandra Borough,Polling: Otago Central ED (line 1167 Town Hall); incorporated borough,High,Alexandra,,
Allanton,Taieri County,Polling: Chalmers ED (line 1284); Taieri Plain,High,Allanton,,
Anderson's Bay,Dunedin Borough,Polling: Chalmers ED (line 1262); inner harbour suburb,High,Anderson's Bay,Dunedin,
Ardgowan,Waitaki County,Polling: Waitaki ED (line 1117); near Oamaru,High,Ardgowan,Oamaru area,
Arthur Street,Dunedin Borough,Dunedin West ED (line 1230); city school,High,Dunedin,,
Arthurton,Clutha County,Polling: Otago Central ED (line 1260 as 'Otaria/Arthurton'); near Clinton railway,High,Arthurton,,
Awamangu,Bruce County,small_cities: Awamangu → Bruce County (117); corrected from Waitaki County,High,,,
Awamoko,Waitaki County,Near Oamaru inland; Waitaki County,Medium,Oamaru area,,
Balclutha District High School,Balclutha Borough,Polling: Wakatipu ED (line 1408 Courthouse Campbelltown=Balclutha); incorporated borough,High,Balclutha,,
Bald Hill,Vincent County,Polling: Otago Central ED (line 1168 'Bald Hill Flat'); near Alexandra,High,Bald Hill Flat,Alexandra area,
Bannockburn,Vincent County,Polling: Wakatipu ED (line 1298); near Cromwell on Clutha,High,Bannockburn,Cromwell area,
Barewood,Maniototo County,Polling: Otago Central ED (line 1214 'Barewood Reefs'); Strath Taieri area,High,Barewood,Middlemarch area,
Beaumont,Tuapeka County,Polling: Otago Central ED (line 1174); near Lawrence on Clutha River,High,Beaumont,Lawrence area,
Bendigo,Lake County,Near Tarras/Cromwell gold area; Lake County,Medium,Tarras area,,
Benhar,Bruce County,Near Milton; Bruce County (famous pottery works),High,Benhar,Milton area,
Berwen,Clutha County,Very small; no direct source; possibly Clutha area,Low,,,
Berwick,Taieri County,small_cities: Berwick → Taieri County (192); corrected from Maniototo County,High,Middlemarch area,,
