school,county_borough,evidence,confidence,locality,town_district,notes
Alton,Patea County,small_cities.csv: Alton → Patea County,High,Alton,Patea area,
Apiti,Pohangina County,small_cities.csv: Apiti → Pohangina County,High,Apiti,Pohangina Valley,
Aramoho,Waitotara County,small_cities.csv: Aramoho → Waitotara County (146); suburb of Wanganui but outside borough,High,Aramoho,Wanganui suburb,Within Wanganui ED despite being Waitotara County
Aratika,Wanganui County,Maori name on Whanganui River; no direct match found; Wanganui County probable,Low,Aratika,Whanganui River,
Ashhurst,Oroua County,small_cities.csv: Ashhurst → Oroua County (498); Oroua ED (polling line 603),High,Ashhurst,Oroua County,
Awahou,Kiwitea County,Gazetteer: Awahou North locality (Wellington province) at -40.179 175.805; Kiwitea County area,Medium,Awahou,Kiwitea area,
Awahou South,Kiwitea County,Gazetteer: Awahou South locality (Wellington province) at -40.224 175.794; Kiwitea County area,Medium,Awahou South,Kiwitea area,
Awahuri,Manawatu County,small_cities.csv: Awahuri → Manawatu County (401); Oroua ED,High,Awahuri,Manawatu County,
Bainesse,Kiwitea County,small_cities.csv: Bainesse → Kiwitea County (253),High,Bainesse,Kiwitea area,
Beaconsfield ,Kiwitea County,small_cities.csv: Beaconsfield → Kiwitea County,High,Beaconsfield,Kiwitea area,
Bluff Road,Wanganui County,Road school near Wanganui; no direct match; Wanganui County probable,Low,Bluff Road,Wanganui area,
Brunswick,Waitotara County,small_cities.csv: Brunswick → Waitotara County (198),High,Brunswick,Waitotara,
Bull's District High School Primary (127) Secondary (12),Rangitikei County,Rangitikei ED (polling line 610); Bulls not in borough list; Rangitikei County,High,Bulls,,
Bunnythorpe,Kairanga County,small_cities.csv: Bunnythorpe → Kairanga County (614),High,Bunnythorpe,Kairanga,
Burnside,Unresolved,Small Grade 1; locality not identified,Unresolved,,,
Campbell Street Palmerston North,Palmerston North Borough,Palmerston North Borough (coordinates_boroughs.csv); city-centre school,High,Palmerston North,,
Carnarvon,Oroua County,Gazetteer: Carnarvon locality (Wellington province) at -40.290 175.357; Himatangi area; Reed: Carnarvon estate near Himatangi; Oroua County,Medium,Carnarvon,Oroua area,
Castlecliff,Castlecliff Town District,suburban_areas.csv: Castlecliff Town District (pop. 734) — separate from Wanganui Borough,High,Castlecliff,Wanganui,
Cheltenham,Oroua County,small_cities.csv: Cheltenham → Oroua County (119); Oroua ED (polling line 598),High,Cheltenham,Oroua County,
Clydesdale,Unresolved,Not in polls or small_cities; locality not identified,Unresolved,,,
Coal Creek,Rangitikei County,Near Taihape area coal-bearing country; Rangitikei County probable,Low,Coal Creek,Taihape area,
College Street Pamerston North,Palmerston North Borough,Palmerston North Borough; city-centre school,High,Palmerston North,,
Colyton,Pohangina County,small_cities.csv: Colyton → Pohangina County (109); Oroua ED (polling line 602),High,Colyton,Pohangina Valley,
Crofton (87) and side school (57),Rangitikei County,small_cities.csv: Crofton → Rangitikei County (156),High,Crofton,Rangitikei,
Denlair ,Unresolved,Very small Grade 1; locality not identified,Unresolved,,,
Dunolly,Unresolved,Not in polls or small_cities; locality not identified,Unresolved,,,
Durie Hill,Wanganui County,suburban_areas.csv: Wanganui suburban remainder (Durie Hill not listed as separate Town District); outside borough,Medium,Durie Hill,Wanganui suburb,
Feilding District High School Primary (420) Secondary (60),Feilding Borough,coordinates_boroughs.csv confirms borough; Oroua ED principal,High,Feilding,,
Fitzherbert East,Kairanga County,East of Palmerston North (Fitzherbert area); Kairanga County; Palmerston ED adjacent,Medium,Fitzherbert East,Palmerston North area,
Foxton,Foxton Borough,coordinates_boroughs.csv confirms borough,High,Foxton,,
Glen Oroua,Manawatu County,small_cities.csv: Glen Oroua → Manawatu County (200),High,Glen Oroua,Manawatu,
Gonville,Gonville Town District,suburban_areas.csv: Gonville Town District (pop. 2693) — separate from Wanganui Borough,High,Gonville,Wanganui,
Greatford,Rangitikei County,small_cities.csv: Greatford → Rangitikei County (191),High,Greatford,Rangitikei,
Halcombe,Oroua County,Oroua ED (polling line 597); Oroua County,High,Halcombe,Oroua County,
Herrington (side school) See under Umumuri,Wanganui County,See Umumuri entry; same county,High,Herrington,Wanganui County,Side school of Umumuri
Hihitahi,Wanganui County,small_cities.csv: Hihitahi → Wanganui County (279),High,Hihitahi,Wanganui County,
Hikimutu,Kaitieke County,small_cities.csv: Hikimutu → Kaitieke County (100),High,Hikimutu,Kaitieke (Auckland Province),
Hinau,Unresolved,Grade 1; locality not identified,Unresolved,,,
Hiwi,Unresolved,Grade 0; too small to locate,Unresolved,,,
Hiwinui,Kiwitea County,Gazetteer: Hiwinui locality (Wellington province) at -40.271 175.704; Reed: named by Wanganui Education Board; Kiwitea County area,Medium,Hiwinui,Kiwitea area,
Horopito,Waimarino County,small_cities.csv: Horopito → Waimarino County (380); Waimarino ED (polling line 576),High,Horopito,Waimarino,
Hukapapa,Rangitikei County,Near Taihape/upper Rangitikei; Rangitikei County,Low,Hukapapa,Rangitikei area,
Hunterville District High School Primary (129) Secondary (14),Rangitikei County,Rangitikei ED (polling line 611); Hunterville not in borough list,High,Hunterville,,
