school,county_borough,evidence,confidence,locality,town_district,notes
Aparima,Wallace County,"Polling: Wallace ED (line 1377); small_cities: Wallace",High,Aparima village,Riverton area,
Ardlussa,Southland County,"Polling: Wakatipu ED; sheep station in Waikaia Valley area",Medium,Waikaia Valley,,Wakatipu ED ≠ Lake County; station is in Southland County
Arrowtown,Arrowtown Borough,coordinates_boroughs.csv confirms borough,High,Arrowtown,,
Arthur's Point,Lake County,"Polling: Wakatipu ED; near Queenstown",High,Arthur's Point,Queenstown,
Athol,Southland County,"small_cities: Southland, 182",High,Athol,Lumsden area,
Awarua Plains,Southland County,"Polling: Awarua ED (line 1409 ""Woodend, Awarua Plains"")",High,Awarua Plains,Invercargill area,
Balfour,Southland County,"small_cities: Southland, 449; polling Wakatipu ED",High,Balfour,Lumsden–Gore corridor,
Beaumont,Tuapeka County (Otago),"small_cities: Tuapeka, 245; polling Wakatipu ED",High,Beaumont,Tapanui area,School in Southland Ed. District but in Tuapeka County (Otago Province)
Birchwood,Wallace County,"Polling: Wallace ED (line 1386); small_cities: Wallace, 217",High,Birchwood,Riverton area,
Bluff,Bluff Borough,"coordinates_boroughs.csv; polling Awarua ED (""Courthouse, Campbelltown"" = Bluff)",High,Bluff,,Campbelltown is the historical name for Bluff
Brown's,Southland County,"Polling: Awarua ED (line 1431); small_cities: Southland, 264",High,Brown's,Invercargill area,
Brydone,Southland County,"small_cities: Southland, 203",High,Brydone,Winton area,
Cainard,Unresolved,"AJHR 1919: opened 1918 as Grade 0 household school alongside Nine-mile, Lynwood, Mount Alfred; no gazetteer match",Unresolved,,,One of four household schools opened 1918; possible Lake or Southland County
Cardrona,Lake County,"small_cities: Lake, 111; polling Wakatipu ED",High,Cardrona,Cromwell area,
Caroline,Wallace County,Polling: Wallace ED (line 1393),High,Caroline,Tuatapere area,
Charlton,Southland County,"small_cities: Southland, 317",High,Charlton,Winton area,
Chatton North,Southland County,"small_cities: Chatton, Southland, 116",High,Chatton,Gore area,
Clifden,Wallace County,"Polling: Wallace ED (line 1392); small_cities: Wallace, 163",High,Clifden,Tuatapere area,
Clifton,Southland County,"LINZ gazetteer: Southland suburb at -46.452775, 168.36592; ~4.5km south of Invercargill centre",Medium,Clifton,South of Invercargill,Suburb of Invercargill but outside Borough boundary in 1918
Colae Bay,Wallace County,"Polling: Wallace ED (line 1367); small_cities: Wallace, 178",High,Colac Bay,Riverton area,Original CSV spells as "Colae Bay" (OCR error for Colac Bay)
Crown Terrace,Lake County,Polling: Wakatipu ED (line 1330),High,Crown Terrace,Arrowtown area,
Croydon,Southland County,"small_cities: Croydon Bush, Southland, 186; polling Wakatipu ED",High,Croydon Bush,Gore area,
Daere,Southland County,Dacre near Winton in Southland County; no direct source but well-known Southland locality,Medium,Dacre,Winton area,Original CSV spells as "Daere" (OCR/transcription error for Dacre)
Dipton,Southland County,"small_cities: Southland, 486; despite appearing in Wallace ED polling, county boundary places it in Southland",Medium,Dipton,Winton–Nightcaps road,Polling in Wallace ED but small_cities confirms Southland County
Drummond,Wallace County,"Polling: Wallace ED (line 1366); small_cities: Wallace, 443",High,Drummond,Otautau area,
Eastern Bush,Wallace County,Polling: Wallace ED (line 1385),High,Eastern Bush,Riverton area,
East Gore,Gore Borough,coordinates_boroughs.csv,High,East Gore,Gore,
