flag,source_district,school,school_cleaned,my_county,confidence,matched_sc_name,sc_counties,match_ratio
MISMATCH,Auckland,Avondale (475) and side school (32),Avondale,Eden County,High,Avondale,Edon,1.0
MISMATCH,Auckland,Belmont,Belmont,Waitemata County,High,Belmont,Hutt,1.0
MISMATCH,Auckland,Maketu,Maketu,Tauranga County,High,makaretu,Waipawa,0.857
MISMATCH,Auckland,Mataitai,Mataitai,Franklin County,High,matakitaki,Murchison,0.889
MISMATCH,Auckland,Meadowbank,Meadowbank,Eden County,High,Meadowbank,Waitaki,1.0
MISMATCH,Auckland,Oruru,Oruru,Mongonui County,High,ruru,Grey,0.889
MISMATCH,Auckland,Pakaraka,Pakaraka,Bay of Islands County,High,makaraka,Cook,0.875
MISMATCH,Auckland,Purerua,Purerua,Bay of Islands County,High,puerua,Clutha,0.923
MISMATCH,Auckland,Rangiaohia,Rangiaohia,Waipa County,High,rangiwahia,Kiwitea,0.9
MISMATCH,Auckland,Waiheke Central,Waiheke,Waitemata County,High,waihakeke,Wairarapa South,0.875
MISMATCH,Auckland,Waimate,Waimate,Bay of Islands County,High,waimata,Cook,0.857
MISMATCH,Auckland,Waiuku,Waiuku,Franklin County,High,waipuku,Stratford,0.923
MISMATCH,Auckland,Whakamarama,Whakamarama,Tauranga County,High,whakamara,Hawera,0.9
MISMATCH,Canterbury,Redcliffs,Redcliffs,Heathcote County,High,redcliffe,Waimato,0.889
MISMATCH,Canterbury,Waihaorunga,Waihaorunga,Waimate County,High,Waihaorunga,Waimato,1.0
MISMATCH,Canterbury,Waiho,Waiho,Westland County,High,waihou,Piako,0.909
MISMATCH,Canterbury,Waitahu,Waitahu,Inangahua County,High,waitihu,Horowhenua,0.857
MISMATCH,HawkesBay,Ngamoko,Ngamoko,Dannevirke County,High,Ngamoko,Dannivirke,1.0
MISMATCH,HawkesBay,Waimata Valley,Waimata Valley,Cook County,High,waikaka valley,Southland,0.857
MISMATCH,Nelson,Ariki,Ariki,Buller County,High,tariki,Taranaki,0.909
MISMATCH,Nelson,Charleston,Charleston,Buller County,High,charlton,Southland,0.889
MISMATCH,Nelson,Denniston,Denniston,Buller County,High,Denniston,Grey,1.0
MISMATCH,Nelson,Hillside,Hillside,Nelson County,High,Hillside,Waikato,1.0
MISMATCH,Nelson,Tahuna,Tahuna,Nelson County,High,Tahuna,Ohinemuri,1.0
MISMATCH,Nelson,Waitahu,Waitahu,Inangahua County,High,waitihu,Horowhenua,0.857
MISMATCH,Nelson,Whangamoa,Whangamoa,Nelson County,High,whangaroa,Whangaroa,0.889
MISMATCH,Otago,Barewood,Barewood,Maniototo County,High,harewood,Waimairi,0.875
MISMATCH,Otago,Clinton,Clinton,Clutha County,High,linton,Kairanga,0.923
MISMATCH,Otago,Kakapuaka,Kakapuaka,Clutha County,High,wakapuaka,Waimea,0.889
MISMATCH,Otago,Makarora,Makarora,Lake County,High,makara,Makara,0.857
MISMATCH,Otago,Waitahuna,Waitahuna,Tuapeka County,High,waituna,Waimate | Southland,0.875
