source_district,school,school_cleaned,my_county,confidence
Auckland,Ahuroa Nos 1 (7) and 2 (9),Ahuroa Nos 1 and 2,Rodney County,Medium
Auckland,Albertland North (14) and Hoteo North (20),Albertland North and Hoteo North,Rodney County,Medium
Auckland,Alexandra,Alexandra,Waipa County,Medium
Auckland,Amodeo Bay Nos. 1 (9) and 2 (8),Amodeo Bay Nos. 1 and 2,Coromandel County,High
Auckland,Arapae,Arapae,Bay of Islands County,Low
Auckland,Araparara (10) and Mangakura (9),Araparara and Mangakura,Hokianga County,Medium
Auckland,Ararimu (11) and Paparimu (12),Ararimu and Paparimu,Franklin County,High
Auckland,Ararua,Ararua,Otamatea County,Medium
Auckland,Avoca,Avoca,Ohinemuri County,Low
Auckland,Awaroa (10) and Matira (8),Awaroa and Matira,Bay of Islands County,Low
Auckland,Awitu No. 2,Awitu No. 2,Franklin County,High
Auckland,Bickerstaffe,Bickerstaffe,Otamatea County,Medium
Auckland,Birkdale,Birkdale,Waitemata County,High
Auckland,Bream Tail (5) and Waipu Cove (18),Bream Tail and Waipu Cove,Whangarei County,High
Auckland,Brighams Creek,Brighams Creek,Rodney County,Medium
Auckland,Brookby,Brookby,Manukau County,Medium
Auckland,Brynavon (12) and Whareora (11),Brynavon and Whareora,Whangarei County,High
Auckland,Brynderwyn,Brynderwyn,Otamatea County,Medium
Auckland,Cambridge Road,Cambridge Road,Waipa County,Medium
Auckland,Cambridge West,Cambridge West,Waipa County,Medium
Auckland,Cape Colvillw,Cape Colvillw,Coromandel County,High
Auckland,Dacre's (19) and Tawharanui (16),Dacres and Tawharanui,Rodney County,High
Auckland,Dairy Flat (19) and Fernilea (9),Dairy Flat and Fernilea,Waitemata County,High
Auckland,Dome Valley,Dome Valley,Rodney County,Medium
Auckland,Edendale,Edendale,Eden County,Medium
Auckland,Fariburn's Road,Fariburns Road,Mongonui County,Medium
Auckland,Flat Bush,Flat Bush,Manukau County,Medium
Auckland,Glenbervie,Glenbervie,Whangarei County,Medium
Auckland,Glen Murray (12) and Opouatia (17),Glen Murray and Opouatia,Raglan County,High
Auckland,Graham's Fern,Grahams Fern,Thames County,Low
Auckland,Great Barrier (7) and Katherine Bay (17),Great Barrier and Katherine Bay,Waitemata County,High
Auckland,Greenhithe (12) and Long Bay (11),Greenhithe and Long Bay,Waitemata County,High
Auckland,Gumtown (11) and Whenuakite (10),Gumtown and Whenuakite,Thames County,High
Auckland,Hakaru (14) and Tara Road (17),Hakaru and Tara Road,Otamatea County,Medium
Auckland,Helena Bay,Helena Bay,Whangarei County,High
Auckland,Helensville,Helensville,Rodney County,High
Auckland,Henderson Valley,Henderson Valley,Waitemata County,High
Auckland,Hikurangi,Hikurangi,Whangarei County,High
Auckland,Hora Hora,Hora Hora,Waikato County,Medium
Auckland,Hora Hora Rapids,Hora Hora Rapids,Waikato County,Low
Auckland,Houhora,Houhora,Mongonui County,High
Auckland,Houto (12) and Parakao (11),Houto and Parakao,Hobson County,Medium
Auckland,Huarau,Huarau,Hobson County,Low
Auckland,Huia,Huia,Eden County,Medium
Auckland,Hukerenui South,Hukerenui South,Whangarei County,High
Auckland,Huntly District High School Primary (338) secondary (14),Huntly,Waikato County,High
Auckland,Jordan (10) and Miranda (9),Jordan and Miranda,Franklin County,Medium
Auckland,Kaeaca (14) and Rira (17),Kaeaca and Rira,Waitomo County,Medium
Auckland,Kaiawa (12) and Miranda (9),Kaiawa and Miranda,Franklin County,Medium
Auckland,Kaihere,Kaihere,Waikato County,Medium
Auckland,Kaimanawa,Kaimanawa,East Taupo County,Low
