source_district,school,school_cleaned,my_county,confidence,orig_evidence,poll_loc,poll_eds,poll_confirm,gaz_loc,gaz_lds,gaz_confirm,verdict,notes
Auckland,Ahuroa Nos 1 (7) and 2 (9),Ahuroa Nos 1 and 2,Rodney County,Medium,KG: on Auckland–Whangarei road; railway file: Ahuroa on Waitakere–Whangarei line,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Albertland North (14) and Hoteo North (20),Albertland North and Hoteo North,Rodney County,Medium,"small_cities: Port Albert, Rodney, 266; Albertland = Port Albert district",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Alexandra,Alexandra,Waipa County,Medium,KG: Alexandra was former name of Pirongia; in Waipa County,alexandra,Otago Central,,alexandra,South Auckland | Otago,South Auckland,CONFIRM,Gazetteer land district 'South Auckland | Otago' consistent with district
Auckland,Amodeo Bay Nos. 1 (9) and 2 (8),Amodeo Bay Nos. 1 and 2,Coromandel County,High,KG: Amodeo Bay on Coromandel Peninsula coast,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Arapae,Arapae,Bay of Islands County,Low,"KG: probable Bay of Islands area; grade 1, 14 students",,,,arapae,South Auckland,South Auckland,CONFIRM,Gazetteer land district 'South Auckland' consistent with district
Auckland,Araparara (10) and Mangakura (9),Araparara and Mangakura,Hokianga County,Medium,Post_offices: Araparara-Mititai mail service; Mititai in Hokianga County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Ararimu (11) and Paparimu (12),Ararimu and Paparimu,Franklin County,High,"small_cities: Ararimu, Franklin, 120",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Ararua,Ararua,Otamatea County,Medium,"Post_offices: Matakohe-Ararua mail service; small_cities: Matakohe, Otamatea",tararu,Thames,,ararua,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Avoca,Avoca,Ohinemuri County,Low,"KG: likely near Waihi mining district; grade 2, 27 students",,,,avoca,North Auckland | Canterbury,,CONFIRM,KG evidence identifies location and county
Auckland,Awaroa (10) and Matira (8),Awaroa and Matira,Bay of Islands County,Low,KG: Awaroa locality in Northland; Matira likely same area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Awitu No. 2,Awitu No. 2,Franklin County,High,Same area as Awitu Central; Awhitu Peninsula Franklin County,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Bickerstaffe,Bickerstaffe,Otamatea County,Medium,Polling: Kaipara ED; Post_offices: Bickerstaffe–Waipu mail service near Maungaturoto,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Birkdale,Birkdale,Waitemata County,High,KG: Birkdale on North Shore; Waitemata County,,,,birkdale,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Bream Tail (5) and Waipu Cove (18),Bream Tail and Waipu Cove,Whangarei County,High,"small_cities: Waipu, Whangarei, 328; both near Waipu",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Brighams Creek,Brighams Creek,Rodney County,Medium,KG: Brigham's Creek near Helensville; Rodney County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Brookby,Brookby,Manukau County,Medium,"small_cities: Clevedon, Manukau, 539 (adjacent locality)",,,,brookby,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Brynavon (12) and Whareora (11),Brynavon and Whareora,Whangarei County,High,Polling: Marsden (Whangarei) ED lists Whareora as polling place,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Brynderwyn,Brynderwyn,Otamatea County,Medium,Polling: Kaipara ED; KG: Brynderwyn on Maungaturoto road,,,,brynderwyn,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Cambridge Road,Cambridge Road,Waipa County,Medium,KG: near Cambridge; Waipa County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Cambridge West,Cambridge West,Waipa County,Medium,KG: near Cambridge; Waipa County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Cape Colvillw,Cape Colvillw,Coromandel County,High,KG: Cape Colville at northern tip of Coromandel Peninsula,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Dacre's (19) and Tawharanui (16),Dacres and Tawharanui,Rodney County,High,KG: Dacres and Tawharanui near Matakana; Rodney County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Dairy Flat (19) and Fernilea (9),Dairy Flat and Fernilea,Waitemata County,High,"small_cities: Dairy Flat, Waitemata, 106",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Dome Valley,Dome Valley,Rodney County,Medium,KG: Dome Valley northeast of Helensville; Rodney County,,,,dome valley,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Edendale,Edendale,Eden County,Medium,KG: Edendale school in Auckland southern suburb (One Tree Hill/Epsom area); large school (699),greendale,Selwyn,,edendale,Southland,,CONFIRM,KG evidence identifies location and county
Auckland,Fariburn's Road,Fariburns Road,Mongonui County,Medium,Polling: Bay of Islands ED lists Fairburn's; near Mangonui,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Flat Bush,Flat Bush,Manukau County,Medium,KG: Flat Bush in South Auckland; Manukau County,,,,flat bush,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Glenbervie,Glenbervie,Whangarei County,Medium,KG: Glenbervie near Whangarei; Whangarei County,,,,glenbervie,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Glen Murray (12) and Opouatia (17),Glen Murray and Opouatia,Raglan County,High,"small_cities: Glen Murray, Raglan, 117; Opuatia, Raglan, 110",,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Graham's Fern,Grahams Fern,Thames County,Low,KG: Graham's Fern near Thames; Thames Electoral District area,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Great Barrier (7) and Katherine Bay (17),Great Barrier and Katherine Bay,Waitemata County,High,KG: Great Barrier Island in Hauraki Gulf; Waitemata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Greenhithe (12) and Long Bay (11),Greenhithe and Long Bay,Waitemata County,High,KG: Greenhithe on North Shore; Waitemata County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Gumtown (11) and Whenuakite (10),Gumtown and Whenuakite,Thames County,High,Polling: Thames ED lists Gumtown and Whenuakite,,,,,,,CONFIRM,Strong original evidence (small_cities / polling)
Auckland,Hakaru (14) and Tara Road (17),Hakaru and Tara Road,Otamatea County,Medium,KG: Hakaru near Maungaturoto; Otamatea County,,,,,,,CONFIRM,KG evidence identifies location and county
Auckland,Helena Bay,Helena Bay,Whangarei County,High,KG: Helena Bay on east coast north of Whangarei; Whangarei County,,,,helena bay,North Auckland,,CONFIRM,KG evidence identifies location and county
Auckland,Helensville,Helensville,Rodney County,High,Polling: Kaipara ED (Town Board Office Helensville); Rodney County,,,,helensville,North Auckland,,CONFIRM,Strong original evidence (small_cities / polling)
