index,geo_unit,Name,Province,latitude,longitude
0,CT00001,Akaroa,Canterbury,-43.526945,172.632377
1,CT00002,Akitio,Wellington,-40.6,176.417
2,CT00003,Amuri,Canterbury,-42.50480809,173.0221142
3,CT00004,Ashburton,Canterbury,-43.89834,171.73011
4,CT00005,Ashley,Canterbury,-43.3034,172.5914
5,CT00006,Awakino,Auckland,-38.65,174.633
6,CT00007,Awatere,Marlborough,-41.88419888,173.6366844
7,CT00008,Bay of Islands,Auckland,-35.2,174.166667
8,CT00009,Bruce,Otago,-46.116667,169.966667
9,CT00010,Buller,Westland,-41.813,171.793
10,CT00011,Castlepoint,Wellington,-40.9,176.21667
11,CT00012,Cheviot,Canterbury,-42.81212,173.2736762
12,CT00013,Clifton,Taranaki,-38.995833,174.233056
13,CT00014,Clutha,Otago,-46.233333,169.75
14,CT00015,Collingwood,Nelson,-40.677222,172.682778
15,CT00016,Cook,Hawkes.Bay,-38.6623,178.0176
16,CT00017,Coromandel,Auckland,-36.761287,175.4981278
17,CT00018,Dannevirke,Wellington,-40.205303,176.100311
18,CT00019,East Taupo,Auckland,-38.68333,176.08333
19,CT00020,Eden,Auckland,-36.88158,174.76204
20,CT00021,Egmont,Taranaki,-39.453736,173.854185
21,CT00022,Eketahuna,Wellington,-40.6461889,175.7041691
22,CT00023,Ellesmere,Canterbury,-43.8,172.416667
23,CT00024,Eltham,Taranaki,-39.429722,174.299167
24,CT00025,Eyre,Canterbury,-43.3049,172.5967
25,CT00026,Featherston,Wellington,-41.11687066,175.3257958
26,CT00027,Fiord,Southland,-45.4,167.2
27,CT00028,Franklin,Auckland,-37.201744,174.90514
28,CT00029,Geraldine,Canterbury,-44.09061,171.24458
29,CT00030,Grey,Westland,-42.546,171.606
30,CT00031,Halswell,Canterbury,-43.583,172.567
31,CT00032,Hauraki Plains,Auckland,-37.279927,174.492897
32,CT00033,Hawera,Taranaki,-39.59167,174.28333
33,CT00034,Hawke's Bay,Hawkes.Bay,-39.483,176.917
34,CT00035,Heathcote,Canterbury,-43.583,172.716638
35,CT00036,Hobson,Auckland,-35.9396,173.8726
36,CT00037,Hokianga,Auckland,-35.5258,173.3786
37,CT00038,Horowhenua,Wellington,-40.57733,175.38071
38,CT00039,Hutt,Wellington,-41.209164,174.908051
39,CT00040,Inangahua,Westland,-41.85724663,171.9298009
40,CT00041,Inglewood,Taranaki,-39.1499994,174.1999992
41,CT00042,Kaikoura,Canterbury,-42.41667,173.68333
42,CT00043,Kairanga,Wellington,-40.34807006,175.5318268
43,CT00044,Kaitieke,Taranaki,-39.10051591,175.2629136
44,CT00045,Kawhia,Auckland,-38.06504443,174.8200746
45,CT00046,Kiwitea,Wellington,-40.10857,175.71552
46,CT00047,Kowai,Canterbury,-43.2097,172.6956
47,CT00048,Lake,Southland,-44.83281,168.50304
48,CT00049,Levels,Canterbury,-44.29873,171.2225
49,CT00050,Mackenzie,Canterbury,-44.1,170.8289
50,CT00051,Makara,Wellington,-41.2512123,174.7136094
51,CT00052,Malvern,Canterbury,-43.4884,172.11462
52,CT00053,Manawatu,Wellington,-39.7273356,175.4375574
53,CT00054,Maniototo,Otago,-45.12086448,170.0292969
54,CT00055,Manukau,Auckland,-36.99282,174.87986
55,CT00056,Marlborough,Marlborough,-41.514,173.96
56,CT00057,Masterton,Wellington,-40.9666628,175.6499974
57,CT00058,Matakaoa,Hawkes.Bay,-37.55696585,178.2815937
58,CT00059,Matamata,Auckland,-37.8106,175.76237
59,CT00060,Mauriceville,Wellington,-40.7749023,175.7017963
60,CT00061,Mongonui,Auckland,-34.9940621,173.5289181
61,CT00062,Mount Herbert,Canterbury,-43.68959,172.74196
62,CT00063,Murchison,Nelson,-41.800178,172.3336836
63,CT00064,Ohinemuri,Auckland,-37.379448,175.669424
64,CT00065,Ohura,Auckland,-38.8439123,174.9816397
65,CT00066,Opotiki,Hawkes.Bay,-38.00915,177.28706
66,CT00067,Oroua,Wellington,-40.166667,175.583333
67,CT00068,Otamatea,Auckland,-36.09833,174.23944
68,CT00069,Oxford,Canterbury,-43.29609879,172.1886163
69,CT00070,Pahiatua,Wellington,-40.4596526,175.8349216
70,CT00071,Paparua,Canterbury,-43.529,172.458173
71,CT00072,Patangata,Hawkes.Bay,-39.917,176.717
72,CT00073,Patea,Taranaki,-39.7547982,174.4728191
73,CT00074,Peninsula,Otago,-45.8583,170.65
74,CT00075,Piako,Auckland,-37.68545,175.67254
75,CT00076,Pohangina,Wellington,-40.16666,175.7999968
76,CT00077,Raglan,Auckland,-37.79931138,174.8783946
77,CT00078,Rangiora,Canterbury,-43.30437,172.58356
