geo_unit,s1_c0,s2_c0,s2_c1,s3_c0,s3_c1,s3_c2,s4_c0,s4_c1,s4_c2,s4_c3,s5_c0,s5_c1,s5_c2,s5_c3,s5_c4,s6_c0,s6_c1,s6_c2,s6_c3,s6_c4,s6_c5,s7_c0,s7_c1,s7_c2,s7_c3,s7_c4,s7_c5,s7_c6,s8_c0,s8_c1,s8_c2,s8_c3,s8_c4,s8_c5,s8_c6,s8_c7,s9_c0,s9_c1,s9_c2,s9_c3,s9_c4,s9_c5,s9_c6,s9_c7,s9_c8,s10_c0,s10_c1,s10_c2,s10_c3,s10_c4,s10_c5,s10_c6,s10_c7,s10_c8,s10_c9,s11p_c0,s11p_c1,s11p_c2,s11p_c3,s11p_c4,s11p_c5,s11p_c6,s11p_c7,s11p_c8,s11p_c9,s11p_c10
CT00001,29,33,10,36,11,11,37,11,11,9,32,9,10,7,5,24,7,7,5,4,3,16,5,5,4,3,2,1,10,3,3,2,2,1,1,1,6,2,2,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00002,19,22,6,24,7,7,25,7,7,6,21,6,6,5,4,16,5,5,4,3,2,11,3,3,2,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
CT00003,34,39,11,42,12,13,44,13,13,10,38,11,11,9,6,28,8,8,6,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00004,191,217,64,237,70,70,246,73,73,58,212,63,63,50,36,156,46,47,37,27,19,105,31,31,25,18,13,9,67,20,20,16,11,8,6,4,40,12,12,9,7,5,3,2,2,23,7,7,5,4,3,2,1,1,1,23,7,7,5,4,3,2,1,1,1,1
CT00005,13,14,4,16,5,5,16,5,5,4,14,4,4,3,2,10,3,3,2,2,1,7,2,2,2,1,1,1,4,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CT00006,12,14,4,15,5,5,16,5,5,4,14,4,4,3,2,10,3,3,2,2,1,7,2,2,2,1,1,1,4,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CT00007,26,30,9,33,10,10,34,10,10,8,29,9,9,7,5,22,6,6,5,4,3,15,4,4,3,2,2,1,9,3,3,2,2,1,1,1,5,2,2,1,1,1,0,0,0,3,1,1,1,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
CT00008,69,78,23,85,25,25,88,26,26,21,76,23,23,18,13,56,17,17,13,10,7,38,11,11,9,6,4,3,24,7,7,6,4,3,2,1,14,4,4,3,2,2,1,1,1,8,2,2,2,1,1,1,0,0,0,8,2,2,2,1,1,1,0,0,0,0
CT00009,78,89,26,97,29,29,101,30,30,24,87,26,26,20,15,64,19,19,15,11,8,43,13,13,10,7,5,4,27,8,8,6,5,3,2,2,16,5,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,2,1,1,1,0,0,0
CT00010,89,102,30,111,33,33,115,34,34,27,99,29,30,23,17,73,22,22,17,12,9,49,15,15,11,8,6,4,31,9,9,7,5,4,3,2,19,5,6,4,3,2,2,1,1,11,3,3,3,2,1,1,1,0,0,11,3,3,2,2,1,1,1,0,0,0
CT00011,9,10,3,11,3,3,11,3,3,3,10,3,3,2,2,7,2,2,2,1,1,5,1,1,1,1,1,0,3,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CT00012,20,23,7,25,7,7,26,8,8,6,22,7,7,5,4,16,5,5,4,3,2,11,3,3,3,2,1,1,7,2,2,2,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
CT00013,34,39,11,42,12,13,44,13,13,10,38,11,11,9,6,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00014,118,134,40,146,43,44,152,45,45,36,131,39,39,31,22,97,29,29,23,16,12,65,19,19,15,11,8,6,41,12,12,10,7,5,4,2,24,7,7,6,4,3,2,1,1,14,4,4,3,2,2,1,1,1,0,14,4,4,3,2,2,1,1,1,0,1
CT00015,17,20,6,21,6,6,22,7,7,5,19,6,6,4,3,14,4,4,3,2,2,9,3,3,2,2,1,1,6,2,2,1,1,1,1,0,4,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
CT00016,101,115,34,125,37,37,130,38,39,30,112,33,33,26,19,83,24,25,19,14,10,55,16,17,13,9,7,5,35,10,10,8,6,4,3,2,21,6,6,5,4,2,2,1,1,12,4,4,3,2,1,1,1,1,0,12,4,4,3,2,1,1,1,0,0,0
CT00017,34,39,11,42,12,13,44,13,13,10,38,11,11,9,6,28,8,8,7,5,3,19,6,6,4,3,2,2,12,4,4,3,2,1,1,1,7,2,2,2,1,1,1,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
CT00018,73,84,25,91,27,27,95,28,28,22,82,24,24,19,14,60,18,18,14,10,7,40,12,12,9,7,5,3,26,8,8,6,4,3,2,2,15,4,5,4,3,2,1,1,1,9,3,3,2,2,1,1,1,0,0,9,3,3,2,1,1,1,1,0,0,0
CT00019,12,14,4,15,4,5,16,5,5,4,14,4,4,3,2,10,3,3,2,2,1,7,2,2,2,1,1,1,4,1,1,1,1,1,0,0,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
