index,geo_unit,Name,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,CT00001,Akaroa,-43.526945,172.632377,21,20,20,21,20,19,18,19,18,18,17,15,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CT00002,Akitio,-40.6,176.417,17,17,16,16,15,15,15,15,14,14,13,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CT00003,Amuri,-42.50480809,173.0221142,32,31,30,31,31,28,28,28,27,27,25,23,23,22,22,22,22,21,20,20,20,20,19,19,19,20,20,20,20,20,21,21,20,20,20,20,20,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CT00004,Ashburton,-43.89834,171.73011,148,142,140,143,143,131,129,131,125,124,116,108,105,104,104,104,104,96,91,92,92,92,90,90,90,91,91,94,95,95,95,95,93,94,94,94,94,84,85,85,84,84,67,68,68,68,68,56,56,56,56,56,38,38,38,38,38,32,32,33,33,33,27,27,27,27,27,19,19,19,19,19,15,15,16,16,16,10,10,10,10,10,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4,CT00005,Ashley,-43.3034,172.5914,11,10,10,11,10,10,9,10,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CT00006,Awakino,-38.65,174.633,13,13,12,13,12,12,12,11,11,11,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CT00007,Awatere,-41.88419888,173.6366844,24,24,22,23,22,23,22,21,19,20,19,17,17,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,13,13,13,13,13,10,10,10,10,10,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CT00008,Bay of Islands,-35.2,174.166667,58,59,55,58,54,55,53,50,48,48,46,43,42,39,39,39,39,39,36,36,36,36,35,35,35,35,35,37,37,37,37,37,38,38,38,38,38,33,34,34,33,33,26,26,26,26,26,21,21,21,21,21,14,15,15,15,15,11,11,11,11,11,8,8,8,8,8,5,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CT00009,Bruce,-46.116667,169.966667,55,54,53,50,56,52,51,52,49,50,49,47,47,42,42,42,42,39,35,35,35,35,33,33,33,33,33,34,34,34,34,34,37,37,37,37,37,35,36,36,35,35,30,30,30,30,30,25,26,26,25,25,18,18,18,18,18,14,15,15,15,15,13,13,13,13,13,10,10,10,10,10,7,7,8,8,8,6,6,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9,CT00010,Buller,-41.813,171.793,59,66,58,61,73,61,61,56,72,57,57,58,47,43,43,43,43,46,45,45,45,45,35,35,36,36,36,44,44,44,44,44,43,44,44,44,44,47,47,47,47,47,39,39,39,39,39,29,29,29,29,29,20,20,20,20,20,14,14,14,14,14,15,15,15,15,15,10,10,10,10,10,14,14,14,14,14,12,11,11,11,11,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
10,CT00011,Castlepoint,-40.9,176.21667,8,9,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CT00012,Cheviot,-42.81212,173.2736762,16,16,15,16,16,15,14,14,14,14,13,12,12,11,11,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CT00013,Clifton,-38.995833,174.233056,30,31,29,28,29,27,27,27,26,25,24,22,23,21,21,21,21,20,19,19,19,19,17,18,18,18,18,18,19,19,19,19,18,18,18,18,18,15,15,15,15,15,12,12,12,12,12,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CT00014,Clutha,-46.233333,169.75,83,81,81,76,85,79,77,80,75,76,75,72,71,64,64,64,64,59,52,53,53,53,50,50,50,51,51,51,51,51,52,52,56,56,56,56,56,54,54,54,54,54,45,46,46,46,46,38,39,39,39,39,27,27,27,27,27,22,22,22,22,22,20,20,20,20,20,14,15,15,15,15,11,11,11,11,11,9,8,8,8,8,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
14,CT00015,Collingwood,-40.677222,172.682778,14,15,15,14,14,15,13,14,13,13,13,12,11,10,10,10,10,9,8,9,9,9,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CT00016,Cook,-38.6623,178.0176,78,75,76,67,64,66,60,59,56,67,52,39,50,55,55,55,55,50,46,46,46,46,49,49,49,49,49,46,47,47,47,47,48,48,48,48,48,44,44,44,44,44,31,31,31,31,31,30,30,30,30,30,22,22,22,22,22,16,16,16,16,16,13,13,13,13,13,10,10,10,10,10,8,8,9,9,9,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
16,CT00017,Coromandel,-36.761287,175.4981278,28,28,26,28,26,26,25,23,23,22,21,20,20,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,16,16,16,16,16,12,12,12,12,12,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CT00018,Dannevirke,-40.205303,176.100311,55,55,52,52,49,49,49,47,44,46,43,39,39,37,38,38,38,37,33,34,34,34,32,33,33,33,33,35,36,35,36,36,35,36,36,36,36,33,33,33,33,33,25,25,25,25,25,19,20,20,20,20,14,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CT00019,East Taupo,-38.68333,176.08333,12,12,12,12,11,11,11,10,10,10,9,9,9,8,8,8,8,8,7,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CT00020,Eden,-36.88158,174.76204,167,167,158,166,155,157,150,141,136,136,130,122,120,111,111,112,112,110,103,103,103,103,100,100,100,101,101,105,106,106,107,107,107,108,108,108,108,95,96,96,95,95,74,74,74,74,74,59,59,59,59,59,41,41,41,41,41,32,32,32,32,32,24,24,24,24,24,16,16,16,16,16,12,12,12,13,13,9,8,8,8,8,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
20,CT00021,Egmont,-39.453736,173.854185,43,45,42,40,42,39,39,39,37,37,34,31,32,30,31,31,31,28,27,27,27,27,25,25,25,25,25,26,27,27,27,27,25,25,25,25,25,22,22,22,22,22,17,17,17,17,17,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,5,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CT00022,Eketahuna,-40.6461889,175.7041691,28,29,27,27,26,25,25,25,23,24,22,21,20,19,20,20,20,19,17,17,17,17,17,17,17,17,17,18,18,18,19,19,18,19,19,19,19,17,17,17,17,17,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
