geo_unit,name,hospital,latitude,longitude,n_beds_1913,patients_remaining_1_jan_1918,admissions_1918,discharge_recovered,discharge_relieved,discharge_unrelieved,deaths_in_hospital_1918,patients_remaining_31_dec_1918
BR00005,Auckland,Auckland,-36.866,174.768,319,397,5531,3141,1691,109,579,408
BR00055,Napier,Napier,-39.49,176.912,144,158,1356,949,241,50,131,143
BR00015,Dannevirke,Dannevirke,-40.209,176.099,43,33,556,430,54,8,61,36
BR00109,Wanganui,Wanganui,-39.934,175.05,84,114,1668,1296,205,50,126,105
BR00072,Palmerston North,Palmerston North,-40.356,175.611,83,62,1527,1242,66,78,129,74
BR00047,Masterton,Masterton,-40.948,175.657,46,27,668,432,132,12,74,45
BR00030,Greytown,Greytown,-41.081,175.459,35,10,243,164,57,0,10,22
BR00110,Wellington,Wellington,-41.306,174.775,354,357,4638,3607,586,87,379,336
BR00075,Picton,Picton,-41.292,174.004,30,8,240,202,22,1,11,12
BR00057,Nelson,Nelson,-41.27,173.284,80,62,855,677,93,33,67,47
BR00013,Christchurch,Christchurch,-43.53,172.62,242,228,4439,2493,1208,262,521,183
BR00045,Lyttelton,Lyttelton Casualty Ward,-43.602,172.72,4,99,58,23,1,17,0,0
BR00013,Christchurch,Burwood Fever Hospital,-43.493,172.706,NA,28,261,265,0,0,4,20
BR00013,Christchurch,Cashmere Hills Sanatorium,-43.573,172.639,209,65,46,34,4,3,5,65
BR00013,Christchurch,Coronation Hospital for Consumptives,-43.573,172.639,62,50,44,0,0,0,0,44
BR00101,Timaru,Timaru,-44.396,171.251,93,63,934,568,282,15,80,52
BR00101,Timaru,Timaru Infectious Diseases,-44.396,171.251,22,1,39,32,0,0,0,8
BR00063,Oamaru,Oamaru,-45.097,170.97,NA,33,467,347,57,10,63,23
BR00076,Port Chalmers,Port Chalmers,-45.817,170.62,10,0,36,24,5,2,3,2
BR00018,Dunedin,Dunedin,-45.85,170.525,234,10,124,115,4,9,1,5
BR00018,Dunedin,Logan Point Fever Hospital,-45.866,170.51,NA,256,3933,1488,1808,190,497,206
BR00040,Kaitangata,Kaitangata,-46.281,169.847,10,0,29,24,4,0,1,0
BR00014,Cromwell,Cromwell,-45.038,169.2,12,2,132,85,35,2,5,7
BR00037,Invercargill,Kew Infectious Diseases,-46.413,168.353,12,46,305,323,4,1,3,20
BR00027,Gore,Seddon Memorial,-46.098,168.943,NA,16,210,150,28,4,25,19
BR00082,Riverton,Wallace and Fiord,-46.351,168.018,40,19,430,314,55,3,49,28
BR00001,Akaroa,Akaroa,-43.804,172.968,8,1,52,41,4,0,8,0
BR00093,Tapanui,Tapanui,-45.953,169.267,7,3,87,28,44,3,11,4
BR00037,Invercargill,Southland,-46.413,168.353,84,96,1673,1317,159,35,180,78
CT00061,Mongonui,Mangonui,-35.114,173.263,17,11,117,87,17,7,11,6
CT00008,Bay of Islands,Bay of Islands,-35.383,174.067,11,9,240,184,37,4,23,1
CT00037,Hokianga,Hokianga,-35.407,173.506,NA,21,246,206,32,0,9,20
CT00036,Hobson,Northern Wairoa,-35.934,173.882,18,12,286,209,45,8,28,8
CT00068,Otamatea,Otamatea,-36.104,174.228,NA,1,30,20,5,2,4,0
CT00124,Whangarei,Whangarei,-35.725,174.323,44,22,762,547,135,6,67,29
CT00098,Waikato,Waikato,-37.787,175.279,120,103,2102,1532,294,67,168,144
CT00098,Waikato,Cambridge Sanatorium,-37.891,175.468,NA,64,251,0,206,40,7,62
CT00044,Kaitieke,Taumarunui,-38.881,175.262,7,23,392,315,37,4,46,13
CT00064,Ohinemuri,Waihi,-37.392,175.842,59,33,420,301,83,7,38,24
CT00092,Thames,Thames,-37.138,175.541,71,46,879,649,155,4,88,29
CT00017,Coromandel,Coromandel,-36.761,175.497,24,6,70,46,17,1,6,6
CT00017,Coromandel,Mercury Bay,-36.833,175.7,10,1,39,32,1,1,5,1
CT00090,Tauranga,Tauranga,-37.687,176.165,6,6,147,114,16,3,12,8
CT00090,Tauranga,Te Puke,-37.783,176.325,NA,0,74,64,4,1,3,2
CT00066,Opotiki,Opotiki,-38.007,177.287,NA,6,164,128,22,3,9,8
CT00096,Waiapu,Waiapu,-38.008,178.226,8,4,55,50,3,0,2,4
CT00016,Cook,Cook,-38.666,178.018,70,96,1301,931,291,17,92,66
CT00112,Wairoa,Wairoa,-39.039,177.424,18,19,312,247,28,1,31,24
CT00108,Waipawa,Waipawa,-39.943,176.589,32,27,517,394,78,9,44,19
CT00089,Taranaki,Taranaki,-39.055,174.074,75,72,1688,1316,184,30,164,66
CT00086,Stratford,Stratford,-39.342,174.284,22,21,350,276,48,1,35,11
CT00033,Hawera,Hawera,-39.593,174.283,39,33,695,542,101,1,54,30
CT00073,Patea,Patea,-39.758,174.484,27,6,351,267,30,8,32,20
CT00079,Rangitikei,Taihape,-39.676,175.799,11,8,203,157,21,3,21,9
CT00038,Horowhenua,Otaki,-40.759,175.151,18,12,191,139,19,11,32,2
CT00038,Horowhenua,Otaki Sanatorium,-40.759,175.151,34,26,46,22,18,17,2,13
CT00056,Marlborough,Wairau,-41.512,173.957,42,23,582,490,33,16,48,18
CT00083,Sounds,Havelock,-41.279,173.767,7,0,85,76,7,0,2,0
CT00042,Kaikoura,Kaikoura,-42.401,173.682,10,7,149,96,43,7,7,3
CT00004,Ashburton,Ashburton,-43.903,171.752,43,14,363,289,34,4,34,16
CT00103,Waimate,Waimate,-44.732,171.048,39,23,328,222,64,5,30,30
CT00093,Tuapeka,Tuapeka,-45.913,169.682,17,7,87,49,29,6,6,4
CT00054,Maniototo,Maniototo,-45.129,170.099,20,6,115,73,28,1,11,8
CT00095,Vincent,Dunstan,-45.186,169.315,10,7,74,40,21,2,15,3
CT00048,Lake,Wakatipu,-45.021,168.739,NA,6,65,37,12,10,6,6
CT00121,Westland,Westland,-42.718,170.966,50,37,259,175,44,0,53,24
CT00030,Grey,Grey River,-42.45,171.21,86,70,555,357,68,62,83,55
CT00010,Buller,Denniston,-41.738,171.803,6,0,67,28,14,1,13,11
CT00010,Buller,Westport,-41.752,171.603,33,36,320,278,35,1,25,17
CT00040,Inangahua,Reefton,-42.116,171.86,38,36,247,164,52,0,24,43
CT00040,Inangahua,Waiuta Nurses' Home,-42.318,171.898,NA,1,62,59,3,0,1,0
CT00121,Westland,Otira,-42.824,171.56,6,0,31,15,16,0,0,0
CT00070,Pahiatua,Pahiatua,-40.452,175.841,19,12,185,125,43,6,13,10
CT00100,Waikouaiti,Palmerston Sanatorium,-45.484,170.717,46,46,102,55,49,12,3,29
