geo_unit,school,name,latitude,longitude,grade_1918,average_attendance_1918,gender,StatutoryLowAge,StatutoryHighAge,number_staff,SchoolCapacity
BR00018,Albany Street,Dunedin,-45.87416,170.50361,7,621,Mixed,5,12,14,690
BR00002,Alexandra District High School,Alexandra,-45.24917,169.37972,4,183,Mixed,5,18,4,203
BR00018,Anderson's Bay,Dunedin,-45.87416,170.50361,5,271,Mixed,5,12,11,301
BR00018,Arthur Street,Dunedin,-45.87416,170.50361,7,515,Mixed,5,12,18,572
BR00006,Balclutha District High School,Balclutha,-46.233,169.75,6,418,Mixed,5,18,15,464
BR00018,Caversham,Dunedin,-45.87416,170.50361,7,635,Mixed,5,12,11,706
BR00018,Concord,Dunedin,-45.87416,170.50361,4,125,Mixed,5,12,6,139
BR00014,Cromwell,Cromwell,-45.045944,169.19556,4,131,Mixed,5,12,6,146
BR00018,Forbury,Dunedin,-45.87416,170.50361,7,675,Mixed,5,12,11,750
BR00018,George Street,Dunedin,-45.87416,170.50361,7,605,Mixed,5,12,16,672
BR00028,Green Island,Green Island,-45.90278,170.43056,5,327,Mixed,5,12,7,363
BR00018,High Street,Dunedin,-45.87416,170.50361,7,531,Mixed,5,12,13,590
BR00018,Kaikorai,Dunedin,-45.87416,170.50361,7,577,Mixed,5,12,18,641
BR00040,Kaitangata,Kaitangata,-46.275,169.85,5,357,Mixed,5,12,10,397
BR00018,Kensington,Dunedin,-45.87416,170.50361,5,385,Mixed,5,12,7,428
BR00042,Lawrence District High School,Lawrence,-45.913,169.689,4,166,Mixed,5,18,4,184
BR00018,Leith Valley,Dunedin,-45.87416,170.50361,3,51,Mixed,5,12,3,57
BR00018,Macandrew Road,Dunedin,-45.87416,170.50361,7,622,Mixed,5,12,15,691
BR00018,Maori Hill,Dunedin,-45.87416,170.50361,5,355,Mixed,5,12,11,394
BR00018,Moray Place,Dunedin,-45.87416,170.50361,5,313,Mixed,5,12,11,348
BR00018,Mornington,Dunedin,-45.87416,170.50361,7,538,Mixed,5,12,10,598
BR00051,Mosgiel District High School,Mosgiel,-45.875,170.347,5,341,Mixed,5,18,11,379
BR00018,Musselburgh,Dunedin,-45.87416,170.50361,7,596,Mixed,5,12,12,662
BR00056,Naseby,Naseby,-45.016667,170.133333,3,97,Mixed,5,12,2,108
BR00018,North-east Valley,Dunedin,-45.87416,170.50361,7,653,Mixed,5,12,16,726
BR00063,Oamaru Middle,Oamaru,-45.09746,170.96911,4,159,Mixed,5,12,5,177
BR00063,Oamaru North,Oamaru,-45.09746,170.96911,NA,470,Mixed,5,12,NA,522
BR00063,Oamaru South,Oamaru,-45.09746,170.96911,5,413,Mixed,5,12,8,459
BR00071,Palmerston District High School,Palmerston,-45.484026,170.715265,5,249,Mixed,5,18,10,277
BR00018,Pine Hill,Dunedin,-45.87416,170.50361,3,40,Mixed,5,12,3,44
BR00076,Port Chalmers District High School,Port Chalmers,-45.8178,170.6188,6,472,Mixed,5,18,10,524
BR00085,Roxburgh,Roxburgh,-45.53905,169.3123,4,148,Mixed,5,12,4,164
BR00018,St. Clair,Dunedin,-45.87416,170.50361,5,321,Mixed,5,12,11,357
BR00093,Tapanui District High School,Tapanui,-45.94332,169.2605276,4,188,Mixed,5,18,5,209
BR00049,Tokamairiro District High School,Milton,-46.12083,169.96944,5,244,Mixed,5,18,12,271
BR00018,Wakari,Dunedin,-45.87416,170.50361,4,170,Mixed,5,12,5,189
CT00014,Airedale,Clutha,-46.233333,169.75,2,24,Mixed,5,12,1,27
CT00014,Akatore,Clutha,-46.233333,169.75,1,13,Mixed,5,12,1,14
CT00014,Akatore Coast,Clutha,-46.233333,169.75,1,10,Mixed,5,12,1,11
CT00087,Allanton,Taieri,-45.887,170.2335,3,32,Mixed,5,12,2,36
CT00113,Ardgowan,Waitaki,-44.926,170.635,1,22,Mixed,5,12,1,24
CT00014,Arthurton,Clutha,-46.233333,169.75,1,13,Mixed,5,12,1,14
CT00009,Awamangu,Bruce,-46.116667,169.966667,2,19,Mixed,5,12,1,21
CT00113,Awamoko,Waitaki,-44.926,170.635,3,62,Mixed,5,12,2,69
CT00095,Bald Hill,Vincent,-45.52,169.46,1,12,Mixed,5,12,1,13
CT00095,Bannockburn,Vincent,-45.52,169.46,3,37,Mixed,5,12,2,41
CT00054,Barewood,Maniototo,-45.12086448,170.0292969,1,13,Mixed,5,12,1,14
CT00093,Beaumont,Tuapeka,-45.913,169.688,3,57,Mixed,5,12,2,63
CT00048,Bendigo,Lake,-44.83281,168.50304,1,21,Mixed,5,12,1,23
CT00009,Benhar,Bruce,-46.116667,169.966667,3,51,Mixed,5,12,2,57
CT00050,Berwen,Mackenzie,-44.1,170.8289,0,4,Mixed,5,12,1,4
CT00087,Berwick,Taieri,-45.887,170.2335,2,25,Mixed,5,12,1,28
CT00009,Blacks,Bruce,-46.116667,169.966667,3,41,Mixed,5,12,2,46
CT00054,Blackstone,Maniototo,-45.12086448,170.0292969,1,9,Mixed,5,12,1,10
CT00113,Bluespur,Waitaki,-44.926,170.635,2,20,Mixed,5,12,1,22
CT00087,Brighton,Taieri,-45.887,170.2335,3,36,Mixed,5,12,3,40
CT00074,Broad Bay,Peninsula,-45.8583,170.65,1,15,Mixed,5,12,1,17
CT00054,Cambrians,Maniototo,-45.12086448,170.0292969,2,25,Mixed,5,12,1,28
CT00014,Chaslands,Clutha,-46.233333,169.75,1,9,Mixed,5,12,1,10
CT00095,Chatto Creek,Vincent,-45.52,169.46,1,11,Mixed,5,12,1,12
CT00093,Clark's Flat,Tuapeka,-45.913,169.688,1,21,Mixed,5,12,1,23
CT00014,Clinton,Clutha,-46.233333,169.75,3,83,Mixed,5,12,2,92
CT00095,Clyde,Vincent,-45.52,169.46,3,85,Mixed,5,12,3,94
CT00014,Clydevale,Clutha,-46.233333,169.75,1,21,Mixed,5,12,1,23
CT00093,Coal Creek,Tuapeka,-45.913,169.688,3,36,Mixed,5,12,2,40
CT00014,Conicall Hill,Clutha,-46.233333,169.75,1,17,Mixed,5,12,1,19
CT00093,Crookston,Tuapeka,-45.913,169.688,2,17,Mixed,5,12,1,19
CT00097,Dunback,Waihemo,-45.383,170.633,3,56,Mixed,5,12,3,62
CT00093,Dunrobin,Tuapeka,-45.913,169.688,2,28,Mixed,5,12,1,31
CT00113,Duntroon,Waitaki,-44.926,170.635,3,66,Mixed,5,12,2,73
CT00095,Earnscleugh,Vincent,-45.52,169.46,3,42,Mixed,5,12,2,47
CT00087,East Taieri,Taieri,-45.887,170.2335,3,78,Mixed,5,12,2,87
CT00009,Elderslie,Bruce,-46.116667,169.966667,2,17,Mixed,5,12,1,19
CT00093,Ettrick,Tuapeka,-45.913,169.688,2,31,Mixed,5,12,1,34
CT00100,Evansdale,Waikouaiti,-45.60014881,170.4716171,3,29,Mixed,5,12,2,32
CT00093,Evans Flat,Tuapeka,-45.913,169.688,2,30,Mixed,5,12,1,33
CT00049,Fair View,Levels,-44.29873,171.2225,0,2,Mixed,5,12,1,2
CT00093,Five Forks,Tuapeka,-45.913,169.688,0,14,Mixed,5,12,1,16
CT00087,Flag Swamp,Taieri,-45.887,170.2335,3,48,Mixed,5,12,3,53
CT00095,Galloway,Vincent,-45.52,169.46,2,25,Mixed,5,12,1,28
CT00054,Gimmerburn,Maniototo,-45.12086448,170.0292969,1,5,Mixed,5,12,1,6
CT00014,Glenkenich,Clutha,-46.233333,169.75,1,20,Mixed,5,12,1,22
CT00014,Glenledi,Clutha,-46.233333,169.75,1,7,Mixed,5,12,1,8
CT00014,Glenomaru,Clutha,-46.233333,169.75,3,40,Mixed,5,12,2,44
CT00009,Glenore,Bruce,-46.116667,169.966667,1,18,Mixed,5,12,1,20
CT00014,Goodwood,Clutha,-46.233333,169.75,0,7,Mixed,5,12,1,8
CT00113,Greenfield,Waitaki,-44.926,170.635,1,20,Mixed,5,12,1,22
CT00113,Hampden,Waitaki,-44.926,170.635,3,100,Mixed,5,12,2,111
CT00048,Hawea,Lake,-44.83281,168.50304,3,37,Mixed,5,12,2,41
CT00087,Henley,Taieri,-45.887,170.2335,2,36,Mixed,5,12,1,40
CT00093,Heriot,Tuapeka,-45.913,169.688,3,68,Mixed,5,12,2,76
CT00074,Highcliff,Peninsula,-45.8583,170.65,3,52,Mixed,5,12,3,58
CT00009,Hillend,Bruce,-46.116667,169.966667,1,11,Mixed,5,12,1,12
CT00093,Hill Springs,Tuapeka,-45.913,169.688,0,5,Mixed,5,12,1,6
CT00014,Hinahina,Clutha,-46.233333,169.75,0,6,Mixed,5,12,1,7
CT00054,Hindon Railway,Maniototo,-45.12086448,170.0292969,1,9,Mixed,5,12,1,10
CT00074,Hooper's Inlet,Peninsula,-45.8583,170.65,1,16,Mixed,5,12,1,18
CT00014,Houipapa,Clutha,-46.233333,169.75,2,37,Mixed,5,12,1,41
CT00054,Hyde,Maniototo,-45.12086448,170.0292969,3,39,Mixed,5,12,2,43
CT00054,Ida Valley,Maniototo,-45.12086448,170.0292969,1,18,Mixed,5,12,1,20
CT00113,Incholme,Waitaki,-44.926,170.635,2,32,Mixed,5,12,1,36
CT00113,Inch Valley,Waitaki,-44.926,170.635,1,16,Mixed,5,12,1,18
CT00113,Island Cliffe,Waitaki,-44.926,170.635,2,33,Mixed,5,12,1,37
CT00014,Kahuika,Clutha,-46.233333,169.75,2,18,Mixed,5,12,1,20
