geo_unit,n_male,n_female,industry_code,name
CT00001,1,0,Agricultural,Agricultural_CT00001_0
CT00001,4,0,Agricultural,Agricultural_CT00001_1
CT00001,2,1,Agricultural,Agricultural_CT00001_2
CT00001,1,0,Agricultural,Agricultural_CT00001_3
CT00001,6,1,Agricultural,Agricultural_CT00001_4
CT00001,3,0,Agricultural,Agricultural_CT00001_5
CT00001,3,0,Agricultural,Agricultural_CT00001_6
CT00001,7,1,Agricultural,Agricultural_CT00001_7
CT00001,1,1,Agricultural,Agricultural_CT00001_8
CT00001,6,0,Agricultural,Agricultural_CT00001_9
CT00001,1,0,Agricultural,Agricultural_CT00001_10
CT00001,3,0,Agricultural,Agricultural_CT00001_11
CT00001,4,0,Agricultural,Agricultural_CT00001_12
CT00001,1,0,Agricultural,Agricultural_CT00001_13
CT00001,6,1,Agricultural,Agricultural_CT00001_14
CT00001,3,0,Agricultural,Agricultural_CT00001_15
CT00001,3,1,Agricultural,Agricultural_CT00001_16
CT00001,5,0,Agricultural,Agricultural_CT00001_17
CT00001,3,0,Agricultural,Agricultural_CT00001_18
CT00001,4,0,Agricultural,Agricultural_CT00001_19
CT00001,4,0,Agricultural,Agricultural_CT00001_20
CT00001,1,1,Agricultural,Agricultural_CT00001_21
CT00001,2,2,Agricultural,Agricultural_CT00001_22
CT00001,1,0,Agricultural,Agricultural_CT00001_23
CT00001,6,1,Agricultural,Agricultural_CT00001_24
CT00001,3,0,Agricultural,Agricultural_CT00001_25
CT00001,0,1,Agricultural,Agricultural_CT00001_26
CT00001,2,0,Agricultural,Agricultural_CT00001_27
CT00001,5,0,Agricultural,Agricultural_CT00001_28
CT00001,1,0,Agricultural,Agricultural_CT00001_29
CT00001,4,0,Agricultural,Agricultural_CT00001_30
CT00001,6,0,Agricultural,Agricultural_CT00001_31
CT00001,4,0,Agricultural,Agricultural_CT00001_32
CT00001,3,0,Agricultural,Agricultural_CT00001_33
CT00001,1,3,Agricultural,Agricultural_CT00001_34
CT00001,2,0,Agricultural,Agricultural_CT00001_35
CT00001,3,0,Agricultural,Agricultural_CT00001_36
CT00001,2,0,Agricultural,Agricultural_CT00001_37
CT00001,1,0,Agricultural,Agricultural_CT00001_38
CT00001,5,0,Agricultural,Agricultural_CT00001_39
CT00001,6,0,Agricultural,Agricultural_CT00001_40
CT00001,4,0,Agricultural,Agricultural_CT00001_41
CT00001,3,1,Agricultural,Agricultural_CT00001_42
CT00001,4,0,Agricultural,Agricultural_CT00001_43
CT00001,2,0,Agricultural,Agricultural_CT00001_44
CT00001,5,0,Agricultural,Agricultural_CT00001_45
CT00001,5,0,Agricultural,Agricultural_CT00001_46
CT00001,5,0,Agricultural,Agricultural_CT00001_47
CT00001,2,0,Agricultural,Agricultural_CT00001_48
CT00001,2,0,Agricultural,Agricultural_CT00001_49
CT00001,3,0,Agricultural,Agricultural_CT00001_50
CT00001,1,0,Agricultural,Agricultural_CT00001_51
CT00001,3,0,Agricultural,Agricultural_CT00001_52
CT00001,3,0,Agricultural,Agricultural_CT00001_53
CT00001,3,0,Agricultural,Agricultural_CT00001_54
