geo_unit,n_male,n_female,industry_code,name
CT00001,2,2,Commercial,Commercial_CT00001_0
CT00001,0,1,Commercial,Commercial_CT00001_1
CT00001,0,1,Commercial,Commercial_CT00001_2
CT00001,6,4,Commercial,Commercial_CT00001_3
CT00001,2,1,Commercial,Commercial_CT00001_4
CT00001,3,3,Commercial,Commercial_CT00001_5
CT00001,4,1,Commercial,Commercial_CT00001_6
CT00001,2,1,Commercial,Commercial_CT00001_7
CT00001,1,0,Commercial,Commercial_CT00001_8
CT00001,2,0,Commercial,Commercial_CT00001_9
CT00001,3,3,Commercial,Commercial_CT00001_10
CT00001,1,2,Commercial,Commercial_CT00001_11
CT00001,4,1,Commercial,Commercial_CT00001_12
CT00001,2,1,Commercial,Commercial_CT00001_13
CT00001,7,0,Commercial,Commercial_CT00001_14
CT00001,1,2,Commercial,Commercial_CT00001_15
CT00001,3,2,Commercial,Commercial_CT00001_16
CT00001,6,0,Commercial,Commercial_CT00001_17
CT00001,3,0,Commercial,Commercial_CT00001_18
CT00001,4,0,Commercial,Commercial_CT00001_19
CT00001,2,0,Commercial,Commercial_CT00001_20
CT00001,6,0,Commercial,Commercial_CT00001_21
CT00001,2,0,Commercial,Commercial_CT00001_22
CT00001,3,0,Commercial,Commercial_CT00001_23
CT00001,5,0,Commercial,Commercial_CT00001_24
CT00002,5,2,Commercial,Commercial_CT00002_25
CT00002,1,0,Commercial,Commercial_CT00002_26
CT00002,6,0,Commercial,Commercial_CT00002_27
CT00002,5,0,Commercial,Commercial_CT00002_28
CT00002,5,0,Commercial,Commercial_CT00002_29
CT00002,2,2,Commercial,Commercial_CT00002_30
CT00002,3,0,Commercial,Commercial_CT00002_31
CT00002,4,1,Commercial,Commercial_CT00002_32
CT00002,2,0,Commercial,Commercial_CT00002_33
CT00002,1,1,Commercial,Commercial_CT00002_34
CT00002,0,1,Commercial,Commercial_CT00002_35
CT00002,4,0,Commercial,Commercial_CT00002_36
CT00002,5,4,Commercial,Commercial_CT00002_37
CT00002,4,1,Commercial,Commercial_CT00002_38
CT00002,4,2,Commercial,Commercial_CT00002_39
CT00002,4,0,Commercial,Commercial_CT00002_40
CT00002,3,0,Commercial,Commercial_CT00002_41
CT00003,2,2,Commercial,Commercial_CT00003_42
CT00003,4,0,Commercial,Commercial_CT00003_43
CT00003,3,2,Commercial,Commercial_CT00003_44
CT00003,2,0,Commercial,Commercial_CT00003_45
CT00003,2,1,Commercial,Commercial_CT00003_46
CT00003,5,1,Commercial,Commercial_CT00003_47
CT00003,5,1,Commercial,Commercial_CT00003_48
CT00003,5,0,Commercial,Commercial_CT00003_49
CT00003,5,0,Commercial,Commercial_CT00003_50
CT00003,3,2,Commercial,Commercial_CT00003_51
CT00003,4,1,Commercial,Commercial_CT00003_52
CT00003,4,1,Commercial,Commercial_CT00003_53
CT00003,1,1,Commercial,Commercial_CT00003_54
CT00003,3,0,Commercial,Commercial_CT00003_55
CT00003,2,0,Commercial,Commercial_CT00003_56
CT00003,1,0,Commercial,Commercial_CT00003_57
