geo_unit,n_male,n_female,industry_code,name
CT00001,0,2,Indefinite,Indefinite_CT00001_0
CT00001,1,0,Indefinite,Indefinite_CT00001_1
CT00001,0,1,Indefinite,Indefinite_CT00001_2
CT00001,2,0,Indefinite,Indefinite_CT00001_3
CT00001,2,1,Indefinite,Indefinite_CT00001_4
CT00001,1,0,Indefinite,Indefinite_CT00001_5
CT00001,1,0,Indefinite,Indefinite_CT00001_6
CT00001,2,0,Indefinite,Indefinite_CT00001_7
CT00001,4,0,Indefinite,Indefinite_CT00001_8
CT00001,1,0,Indefinite,Indefinite_CT00001_9
CT00001,2,0,Indefinite,Indefinite_CT00001_10
CT00002,1,1,Indefinite,Indefinite_CT00002_11
CT00002,2,0,Indefinite,Indefinite_CT00002_12
CT00002,2,0,Indefinite,Indefinite_CT00002_13
CT00002,4,0,Indefinite,Indefinite_CT00002_14
CT00002,2,0,Indefinite,Indefinite_CT00002_15
CT00002,1,1,Indefinite,Indefinite_CT00002_16
CT00003,1,0,Indefinite,Indefinite_CT00003_17
CT00003,1,0,Indefinite,Indefinite_CT00003_18
CT00003,1,0,Indefinite,Indefinite_CT00003_19
CT00003,1,0,Indefinite,Indefinite_CT00003_20
CT00003,4,1,Indefinite,Indefinite_CT00003_21
CT00003,1,0,Indefinite,Indefinite_CT00003_22
CT00003,1,0,Indefinite,Indefinite_CT00003_23
CT00003,2,0,Indefinite,Indefinite_CT00003_24
CT00003,3,0,Indefinite,Indefinite_CT00003_25
CT00003,3,0,Indefinite,Indefinite_CT00003_26
CT00003,2,1,Indefinite,Indefinite_CT00003_27
CT00003,4,1,Indefinite,Indefinite_CT00003_28
CT00004,2,1,Indefinite,Indefinite_CT00004_29
CT00004,5,0,Indefinite,Indefinite_CT00004_30
CT00004,1,0,Indefinite,Indefinite_CT00004_31
CT00004,1,1,Indefinite,Indefinite_CT00004_32
CT00004,0,1,Indefinite,Indefinite_CT00004_33
CT00004,2,1,Indefinite,Indefinite_CT00004_34
CT00004,2,0,Indefinite,Indefinite_CT00004_35
CT00004,3,1,Indefinite,Indefinite_CT00004_36
CT00004,3,0,Indefinite,Indefinite_CT00004_37
CT00004,1,0,Indefinite,Indefinite_CT00004_38
CT00004,1,0,Indefinite,Indefinite_CT00004_39
CT00004,1,0,Indefinite,Indefinite_CT00004_40
CT00004,3,0,Indefinite,Indefinite_CT00004_41
CT00004,1,0,Indefinite,Indefinite_CT00004_42
CT00004,1,0,Indefinite,Indefinite_CT00004_43
CT00004,2,0,Indefinite,Indefinite_CT00004_44
CT00004,1,1,Indefinite,Indefinite_CT00004_45
CT00004,0,1,Indefinite,Indefinite_CT00004_46
CT00004,0,1,Indefinite,Indefinite_CT00004_47
CT00004,1,0,Indefinite,Indefinite_CT00004_48
CT00004,1,0,Indefinite,Indefinite_CT00004_49
CT00004,2,0,Indefinite,Indefinite_CT00004_50
CT00004,1,0,Indefinite,Indefinite_CT00004_51
CT00004,2,0,Indefinite,Indefinite_CT00004_52
CT00004,2,1,Indefinite,Indefinite_CT00004_53
CT00004,2,0,Indefinite,Indefinite_CT00004_54
CT00004,3,0,Indefinite,Indefinite_CT00004_55
CT00004,2,1,Indefinite,Indefinite_CT00004_56
CT00004,2,0,Indefinite,Indefinite_CT00004_57
CT00004,3,1,Indefinite,Indefinite_CT00004_58
CT00004,2,1,Indefinite,Indefinite_CT00004_59
CT00004,5,0,Indefinite,Indefinite_CT00004_60
CT00004,2,0,Indefinite,Indefinite_CT00004_61
CT00004,1,0,Indefinite,Indefinite_CT00004_62
CT00004,2,0,Indefinite,Indefinite_CT00004_63
CT00004,2,0,Indefinite,Indefinite_CT00004_64
CT00004,1,0,Indefinite,Indefinite_CT00004_65
CT00004,1,0,Indefinite,Indefinite_CT00004_66
CT00004,2,1,Indefinite,Indefinite_CT00004_67
CT00004,1,0,Indefinite,Indefinite_CT00004_68
CT00004,1,1,Indefinite,Indefinite_CT00004_69
CT00004,2,1,Indefinite,Indefinite_CT00004_70
CT00004,1,0,Indefinite,Indefinite_CT00004_71
CT00004,4,0,Indefinite,Indefinite_CT00004_72
CT00004,5,1,Indefinite,Indefinite_CT00004_73
CT00004,1,0,Indefinite,Indefinite_CT00004_74
CT00004,2,0,Indefinite,Indefinite_CT00004_75
CT00004,1,1,Indefinite,Indefinite_CT00004_76
CT00004,1,0,Indefinite,Indefinite_CT00004_77
CT00004,1,0,Indefinite,Indefinite_CT00004_78
CT00004,1,0,Indefinite,Indefinite_CT00004_79
CT00004,1,0,Indefinite,Indefinite_CT00004_80
CT00004,4,1,Indefinite,Indefinite_CT00004_81
CT00004,1,0,Indefinite,Indefinite_CT00004_82
CT00004,0,1,Indefinite,Indefinite_CT00004_83
CT00004,2,0,Indefinite,Indefinite_CT00004_84
CT00004,1,0,Indefinite,Indefinite_CT00004_85
CT00004,4,1,Indefinite,Indefinite_CT00004_86
CT00004,1,0,Indefinite,Indefinite_CT00004_87
CT00004,1,0,Indefinite,Indefinite_CT00004_88
CT00004,4,0,Indefinite,Indefinite_CT00004_89
CT00004,2,0,Indefinite,Indefinite_CT00004_90
CT00004,0,2,Indefinite,Indefinite_CT00004_91
