geo_unit,n_male,n_female,industry_code,name
CT00001,5,1,Industrial,Industrial_CT00001_0
CT00001,6,1,Industrial,Industrial_CT00001_1
CT00001,10,1,Industrial,Industrial_CT00001_2
CT00001,6,1,Industrial,Industrial_CT00001_3
CT00001,7,0,Industrial,Industrial_CT00001_4
CT00001,8,2,Industrial,Industrial_CT00001_5
CT00001,8,1,Industrial,Industrial_CT00001_6
CT00001,4,0,Industrial,Industrial_CT00001_7
CT00001,10,0,Industrial,Industrial_CT00001_8
CT00001,5,1,Industrial,Industrial_CT00001_9
CT00001,12,0,Industrial,Industrial_CT00001_10
CT00001,10,0,Industrial,Industrial_CT00001_11
CT00001,10,0,Industrial,Industrial_CT00001_12
CT00001,5,1,Industrial,Industrial_CT00001_13
CT00001,9,0,Industrial,Industrial_CT00001_14
CT00001,7,0,Industrial,Industrial_CT00001_15
CT00001,6,1,Industrial,Industrial_CT00001_16
CT00001,5,5,Industrial,Industrial_CT00001_17
CT00001,6,0,Industrial,Industrial_CT00001_18
CT00001,3,4,Industrial,Industrial_CT00001_19
CT00001,3,11,Industrial,Industrial_CT00001_20
CT00002,5,0,Industrial,Industrial_CT00002_21
CT00002,7,2,Industrial,Industrial_CT00002_22
CT00002,9,2,Industrial,Industrial_CT00002_23
CT00002,7,0,Industrial,Industrial_CT00002_24
CT00002,7,1,Industrial,Industrial_CT00002_25
CT00002,5,1,Industrial,Industrial_CT00002_26
CT00002,8,0,Industrial,Industrial_CT00002_27
CT00002,8,0,Industrial,Industrial_CT00002_28
CT00002,6,0,Industrial,Industrial_CT00002_29
CT00002,8,2,Industrial,Industrial_CT00002_30
CT00002,10,1,Industrial,Industrial_CT00002_31
CT00002,12,1,Industrial,Industrial_CT00002_32
CT00002,6,2,Industrial,Industrial_CT00002_33
CT00002,4,1,Industrial,Industrial_CT00002_34
CT00002,4,3,Industrial,Industrial_CT00002_35
CT00002,8,1,Industrial,Industrial_CT00002_36
CT00003,8,1,Industrial,Industrial_CT00003_37
CT00003,9,1,Industrial,Industrial_CT00003_38
CT00003,5,1,Industrial,Industrial_CT00003_39
CT00003,11,0,Industrial,Industrial_CT00003_40
CT00003,5,0,Industrial,Industrial_CT00003_41
CT00003,4,2,Industrial,Industrial_CT00003_42
CT00003,4,0,Industrial,Industrial_CT00003_43
CT00003,7,1,Industrial,Industrial_CT00003_44
CT00003,8,1,Industrial,Industrial_CT00003_45
CT00003,4,2,Industrial,Industrial_CT00003_46
CT00003,6,1,Industrial,Industrial_CT00003_47
CT00003,8,0,Industrial,Industrial_CT00003_48
CT00003,5,1,Industrial,Industrial_CT00003_49
CT00003,7,0,Industrial,Industrial_CT00003_50
CT00003,5,0,Industrial,Industrial_CT00003_51
CT00003,8,1,Industrial,Industrial_CT00003_52
CT00003,15,2,Industrial,Industrial_CT00003_53
CT00003,7,1,Industrial,Industrial_CT00003_54
CT00003,5,1,Industrial,Industrial_CT00003_55
CT00003,8,1,Industrial,Industrial_CT00003_56
CT00003,7,1,Industrial,Industrial_CT00003_57
CT00003,5,2,Industrial,Industrial_CT00003_58
CT00003,11,1,Industrial,Industrial_CT00003_59
CT00003,7,1,Industrial,Industrial_CT00003_60
CT00003,5,0,Industrial,Industrial_CT00003_61
CT00003,12,1,Industrial,Industrial_CT00003_62
CT00003,4,2,Industrial,Industrial_CT00003_63
CT00003,13,0,Industrial,Industrial_CT00003_64
CT00003,10,1,Industrial,Industrial_CT00003_65
CT00003,6,0,Industrial,Industrial_CT00003_66
