geo_unit,n_male,n_female,industry_code,name
CT00001,0,4,Professional,Professional_CT00001_0
CT00001,2,1,Professional,Professional_CT00001_1
CT00001,2,2,Professional,Professional_CT00001_2
CT00001,1,1,Professional,Professional_CT00001_3
CT00001,2,2,Professional,Professional_CT00001_4
CT00001,1,0,Professional,Professional_CT00001_5
CT00001,4,1,Professional,Professional_CT00001_6
CT00001,1,1,Professional,Professional_CT00001_7
CT00001,4,2,Professional,Professional_CT00001_8
CT00001,2,0,Professional,Professional_CT00001_9
CT00001,5,1,Professional,Professional_CT00001_10
CT00001,3,2,Professional,Professional_CT00001_11
CT00001,1,0,Professional,Professional_CT00001_12
CT00001,3,0,Professional,Professional_CT00001_13
CT00001,1,2,Professional,Professional_CT00001_14
CT00001,3,0,Professional,Professional_CT00001_15
CT00001,2,0,Professional,Professional_CT00001_16
CT00001,0,3,Professional,Professional_CT00001_17
CT00001,0,3,Professional,Professional_CT00001_18
CT00001,0,1,Professional,Professional_CT00001_19
CT00002,2,0,Professional,Professional_CT00002_20
CT00002,1,1,Professional,Professional_CT00002_21
CT00002,4,2,Professional,Professional_CT00002_22
CT00002,1,0,Professional,Professional_CT00002_23
CT00002,1,0,Professional,Professional_CT00002_24
CT00002,2,2,Professional,Professional_CT00002_25
CT00002,0,1,Professional,Professional_CT00002_26
CT00002,1,1,Professional,Professional_CT00002_27
CT00002,3,1,Professional,Professional_CT00002_28
CT00002,1,1,Professional,Professional_CT00002_29
CT00002,2,1,Professional,Professional_CT00002_30
CT00002,1,3,Professional,Professional_CT00002_31
CT00002,1,0,Professional,Professional_CT00002_32
CT00002,3,2,Professional,Professional_CT00002_33
CT00002,2,0,Professional,Professional_CT00002_34
CT00002,2,0,Professional,Professional_CT00002_35
CT00002,1,0,Professional,Professional_CT00002_36
CT00002,1,0,Professional,Professional_CT00002_37
CT00003,1,0,Professional,Professional_CT00003_38
CT00003,1,2,Professional,Professional_CT00003_39
CT00003,2,0,Professional,Professional_CT00003_40
CT00003,1,1,Professional,Professional_CT00003_41
CT00003,2,2,Professional,Professional_CT00003_42
CT00003,0,1,Professional,Professional_CT00003_43
CT00003,1,2,Professional,Professional_CT00003_44
CT00003,1,1,Professional,Professional_CT00003_45
CT00003,2,0,Professional,Professional_CT00003_46
CT00003,6,0,Professional,Professional_CT00003_47
CT00003,2,2,Professional,Professional_CT00003_48
CT00003,2,1,Professional,Professional_CT00003_49
CT00003,2,1,Professional,Professional_CT00003_50
CT00003,1,1,Professional,Professional_CT00003_51
CT00003,2,0,Professional,Professional_CT00003_52
CT00003,2,0,Professional,Professional_CT00003_53
CT00003,1,0,Professional,Professional_CT00003_54
CT00003,1,0,Professional,Professional_CT00003_55
CT00003,1,2,Professional,Professional_CT00003_56
CT00003,1,0,Professional,Professional_CT00003_57
CT00003,2,0,Professional,Professional_CT00003_58
CT00003,1,0,Professional,Professional_CT00003_59
CT00003,2,0,Professional,Professional_CT00003_60
CT00003,4,2,Professional,Professional_CT00003_61
CT00003,1,2,Professional,Professional_CT00003_62
CT00003,3,0,Professional,Professional_CT00003_63
CT00003,2,0,Professional,Professional_CT00003_64
CT00003,1,1,Professional,Professional_CT00003_65
CT00003,3,1,Professional,Professional_CT00003_66
CT00003,3,1,Professional,Professional_CT00003_67
CT00003,1,0,Professional,Professional_CT00003_68
CT00003,1,0,Professional,Professional_CT00003_69
CT00004,2,2,Professional,Professional_CT00004_70
CT00004,2,1,Professional,Professional_CT00004_71
CT00004,2,1,Professional,Professional_CT00004_72
CT00004,4,1,Professional,Professional_CT00004_73
CT00004,1,1,Professional,Professional_CT00004_74
CT00004,3,1,Professional,Professional_CT00004_75
CT00004,1,0,Professional,Professional_CT00004_76
CT00004,4,2,Professional,Professional_CT00004_77
CT00004,1,3,Professional,Professional_CT00004_78
CT00004,1,1,Professional,Professional_CT00004_79
CT00004,1,0,Professional,Professional_CT00004_80
CT00004,2,1,Professional,Professional_CT00004_81
CT00004,2,3,Professional,Professional_CT00004_82
CT00004,3,0,Professional,Professional_CT00004_83
CT00004,1,0,Professional,Professional_CT00004_84
CT00004,0,2,Professional,Professional_CT00004_85
CT00004,1,0,Professional,Professional_CT00004_86
CT00004,0,1,Professional,Professional_CT00004_87
CT00004,1,1,Professional,Professional_CT00004_88
CT00004,3,1,Professional,Professional_CT00004_89
CT00004,1,1,Professional,Professional_CT00004_90
CT00004,2,1,Professional,Professional_CT00004_91
CT00004,2,1,Professional,Professional_CT00004_92
CT00004,0,1,Professional,Professional_CT00004_93
CT00004,2,0,Professional,Professional_CT00004_94
CT00004,1,4,Professional,Professional_CT00004_95
CT00004,3,2,Professional,Professional_CT00004_96
CT00004,2,0,Professional,Professional_CT00004_97
CT00004,1,1,Professional,Professional_CT00004_98
CT00004,2,1,Professional,Professional_CT00004_99
CT00004,1,0,Professional,Professional_CT00004_100
CT00004,1,2,Professional,Professional_CT00004_101
CT00004,3,2,Professional,Professional_CT00004_102
CT00004,3,3,Professional,Professional_CT00004_103
CT00004,3,0,Professional,Professional_CT00004_104
CT00004,1,0,Professional,Professional_CT00004_105
CT00004,1,1,Professional,Professional_CT00004_106
CT00004,0,1,Professional,Professional_CT00004_107
CT00004,1,1,Professional,Professional_CT00004_108
CT00004,0,1,Professional,Professional_CT00004_109
CT00004,3,2,Professional,Professional_CT00004_110
CT00004,1,0,Professional,Professional_CT00004_111
CT00004,1,1,Professional,Professional_CT00004_112
CT00004,3,2,Professional,Professional_CT00004_113
CT00004,1,1,Professional,Professional_CT00004_114
CT00004,0,1,Professional,Professional_CT00004_115
CT00004,1,0,Professional,Professional_CT00004_116
CT00004,3,0,Professional,Professional_CT00004_117
CT00004,5,0,Professional,Professional_CT00004_118
CT00004,2,2,Professional,Professional_CT00004_119
CT00004,4,2,Professional,Professional_CT00004_120
CT00004,0,1,Professional,Professional_CT00004_121
CT00004,2,0,Professional,Professional_CT00004_122
CT00004,0,1,Professional,Professional_CT00004_123
CT00004,2,1,Professional,Professional_CT00004_124
CT00004,4,5,Professional,Professional_CT00004_125
CT00004,1,1,Professional,Professional_CT00004_126
CT00004,5,1,Professional,Professional_CT00004_127
CT00004,0,1,Professional,Professional_CT00004_128
CT00004,4,2,Professional,Professional_CT00004_129
CT00004,2,1,Professional,Professional_CT00004_130
CT00004,1,0,Professional,Professional_CT00004_131
CT00004,5,1,Professional,Professional_CT00004_132
CT00004,1,1,Professional,Professional_CT00004_133
CT00004,1,0,Professional,Professional_CT00004_134
CT00004,1,3,Professional,Professional_CT00004_135
CT00004,1,2,Professional,Professional_CT00004_136
CT00004,1,0,Professional,Professional_CT00004_137
CT00004,3,2,Professional,Professional_CT00004_138
CT00004,4,2,Professional,Professional_CT00004_139
CT00004,1,0,Professional,Professional_CT00004_140
CT00004,0,3,Professional,Professional_CT00004_141
CT00004,3,1,Professional,Professional_CT00004_142
CT00004,4,1,Professional,Professional_CT00004_143
CT00004,2,0,Professional,Professional_CT00004_144
CT00004,3,3,Professional,Professional_CT00004_145
CT00004,2,2,Professional,Professional_CT00004_146
CT00004,0,3,Professional,Professional_CT00004_147
CT00004,1,0,Professional,Professional_CT00004_148
