geo_unit,n_male,n_female,industry_code,name
CT00001,5,0,Transport,Transport_CT00001_0
CT00001,3,0,Transport,Transport_CT00001_1
CT00001,5,1,Transport,Transport_CT00001_2
CT00001,5,0,Transport,Transport_CT00001_3
CT00001,8,0,Transport,Transport_CT00001_4
CT00001,4,0,Transport,Transport_CT00001_5
CT00001,8,0,Transport,Transport_CT00001_6
CT00001,4,0,Transport,Transport_CT00001_7
CT00001,2,2,Transport,Transport_CT00001_8
CT00001,5,0,Transport,Transport_CT00001_9
CT00001,3,0,Transport,Transport_CT00001_10
CT00001,3,0,Transport,Transport_CT00001_11
CT00001,3,0,Transport,Transport_CT00001_12
CT00001,2,0,Transport,Transport_CT00001_13
CT00002,1,0,Transport,Transport_CT00002_14
CT00002,4,0,Transport,Transport_CT00002_15
CT00002,7,0,Transport,Transport_CT00002_16
CT00002,2,0,Transport,Transport_CT00002_17
CT00002,3,0,Transport,Transport_CT00002_18
CT00002,3,0,Transport,Transport_CT00002_19
CT00002,6,1,Transport,Transport_CT00002_20
CT00002,14,0,Transport,Transport_CT00002_21
CT00002,7,0,Transport,Transport_CT00002_22
CT00002,0,1,Transport,Transport_CT00002_23
CT00003,11,1,Transport,Transport_CT00003_24
CT00003,8,0,Transport,Transport_CT00003_25
CT00003,4,0,Transport,Transport_CT00003_26
CT00003,7,0,Transport,Transport_CT00003_27
CT00003,3,1,Transport,Transport_CT00003_28
CT00003,5,0,Transport,Transport_CT00003_29
CT00003,3,0,Transport,Transport_CT00003_30
CT00003,7,0,Transport,Transport_CT00003_31
CT00003,7,0,Transport,Transport_CT00003_32
CT00003,1,0,Transport,Transport_CT00003_33
CT00003,1,0,Transport,Transport_CT00003_34
CT00003,5,0,Transport,Transport_CT00003_35
CT00003,6,0,Transport,Transport_CT00003_36
CT00003,4,0,Transport,Transport_CT00003_37
CT00003,2,0,Transport,Transport_CT00003_38
CT00003,6,0,Transport,Transport_CT00003_39
CT00003,7,0,Transport,Transport_CT00003_40
CT00003,4,1,Transport,Transport_CT00003_41
CT00004,6,0,Transport,Transport_CT00004_42
CT00004,5,0,Transport,Transport_CT00004_43
CT00004,7,0,Transport,Transport_CT00004_44
CT00004,8,0,Transport,Transport_CT00004_45
CT00004,4,1,Transport,Transport_CT00004_46
CT00004,5,0,Transport,Transport_CT00004_47
CT00004,7,0,Transport,Transport_CT00004_48
CT00004,7,0,Transport,Transport_CT00004_49
CT00004,4,0,Transport,Transport_CT00004_50
CT00004,5,0,Transport,Transport_CT00004_51
CT00004,3,0,Transport,Transport_CT00004_52
CT00004,6,0,Transport,Transport_CT00004_53
CT00004,2,1,Transport,Transport_CT00004_54
CT00004,5,1,Transport,Transport_CT00004_55
CT00004,6,0,Transport,Transport_CT00004_56
CT00004,1,0,Transport,Transport_CT00004_57
CT00004,3,0,Transport,Transport_CT00004_58
CT00004,1,0,Transport,Transport_CT00004_59
CT00004,7,1,Transport,Transport_CT00004_60
CT00004,4,0,Transport,Transport_CT00004_61
CT00004,8,0,Transport,Transport_CT00004_62
CT00004,7,0,Transport,Transport_CT00004_63
CT00004,5,0,Transport,Transport_CT00004_64
CT00004,1,1,Transport,Transport_CT00004_65
CT00004,5,1,Transport,Transport_CT00004_66
CT00004,5,0,Transport,Transport_CT00004_67
CT00004,3,0,Transport,Transport_CT00004_68
CT00004,2,0,Transport,Transport_CT00004_69
CT00004,6,0,Transport,Transport_CT00004_70
CT00004,3,0,Transport,Transport_CT00004_71
CT00004,7,1,Transport,Transport_CT00004_72
CT00004,4,0,Transport,Transport_CT00004_73
CT00004,1,0,Transport,Transport_CT00004_74
CT00004,5,0,Transport,Transport_CT00004_75
CT00004,4,1,Transport,Transport_CT00004_76
CT00004,3,1,Transport,Transport_CT00004_77
CT00004,4,0,Transport,Transport_CT00004_78
CT00004,2,0,Transport,Transport_CT00004_79
CT00004,5,0,Transport,Transport_CT00004_80
CT00004,3,2,Transport,Transport_CT00004_81
CT00004,6,0,Transport,Transport_CT00004_82
CT00004,8,1,Transport,Transport_CT00004_83
CT00004,5,0,Transport,Transport_CT00004_84
CT00004,8,1,Transport,Transport_CT00004_85
CT00004,8,1,Transport,Transport_CT00004_86
CT00004,7,0,Transport,Transport_CT00004_87
CT00004,3,0,Transport,Transport_CT00004_88
CT00004,3,0,Transport,Transport_CT00004_89
CT00004,5,0,Transport,Transport_CT00004_90
CT00004,4,0,Transport,Transport_CT00004_91
CT00004,7,1,Transport,Transport_CT00004_92
CT00004,4,1,Transport,Transport_CT00004_93
CT00004,3,0,Transport,Transport_CT00004_94
CT00004,7,0,Transport,Transport_CT00004_95
CT00004,5,0,Transport,Transport_CT00004_96
CT00004,9,0,Transport,Transport_CT00004_97
CT00004,9,0,Transport,Transport_CT00004_98
CT00004,7,1,Transport,Transport_CT00004_99
CT00004,4,0,Transport,Transport_CT00004_100
CT00004,2,0,Transport,Transport_CT00004_101
CT00004,3,0,Transport,Transport_CT00004_102
CT00004,5,0,Transport,Transport_CT00004_103
CT00004,2,0,Transport,Transport_CT00004_104
CT00004,7,2,Transport,Transport_CT00004_105
CT00004,4,0,Transport,Transport_CT00004_106
CT00004,2,0,Transport,Transport_CT00004_107
CT00004,5,1,Transport,Transport_CT00004_108
CT00004,7,2,Transport,Transport_CT00004_109
CT00004,7,0,Transport,Transport_CT00004_110
CT00004,5,0,Transport,Transport_CT00004_111
CT00004,4,0,Transport,Transport_CT00004_112
CT00004,3,0,Transport,Transport_CT00004_113
CT00004,5,0,Transport,Transport_CT00004_114
CT00004,2,0,Transport,Transport_CT00004_115
CT00004,3,0,Transport,Transport_CT00004_116
CT00004,4,0,Transport,Transport_CT00004_117
CT00004,3,0,Transport,Transport_CT00004_118
CT00004,7,0,Transport,Transport_CT00004_119
CT00004,4,0,Transport,Transport_CT00004_120
CT00004,6,0,Transport,Transport_CT00004_121
CT00004,5,0,Transport,Transport_CT00004_122
CT00004,3,0,Transport,Transport_CT00004_123
CT00004,7,0,Transport,Transport_CT00004_124
CT00004,5,0,Transport,Transport_CT00004_125
CT00004,5,0,Transport,Transport_CT00004_126
CT00004,1,0,Transport,Transport_CT00004_127
CT00004,4,0,Transport,Transport_CT00004_128
CT00004,7,0,Transport,Transport_CT00004_129
CT00004,4,0,Transport,Transport_CT00004_130
CT00005,1,1,Transport,Transport_CT00005_131
CT00005,7,0,Transport,Transport_CT00005_132
CT00005,4,0,Transport,Transport_CT00005_133
CT00005,7,0,Transport,Transport_CT00005_134
CT00005,3,0,Transport,Transport_CT00005_135
CT00005,5,0,Transport,Transport_CT00005_136
CT00005,4,0,Transport,Transport_CT00005_137
CT00006,3,1,Transport,Transport_CT00006_138
CT00006,6,0,Transport,Transport_CT00006_139
CT00006,8,0,Transport,Transport_CT00006_140
CT00006,2,0,Transport,Transport_CT00006_141
CT00006,4,0,Transport,Transport_CT00006_142
CT00006,5,0,Transport,Transport_CT00006_143
CT00006,3,0,Transport,Transport_CT00006_144
CT00006,3,0,Transport,Transport_CT00006_145
CT00006,2,0,Transport,Transport_CT00006_146
CT00007,5,0,Transport,Transport_CT00007_147
CT00007,3,0,Transport,Transport_CT00007_148
CT00007,2,1,Transport,Transport_CT00007_149
CT00007,4,0,Transport,Transport_CT00007_150
CT00007,5,0,Transport,Transport_CT00007_151
CT00007,7,0,Transport,Transport_CT00007_152
CT00007,4,0,Transport,Transport_CT00007_153
CT00007,6,0,Transport,Transport_CT00007_154
CT00007,1,0,Transport,Transport_CT00007_155
CT00007,7,0,Transport,Transport_CT00007_156
CT00007,5,0,Transport,Transport_CT00007_157
CT00007,4,0,Transport,Transport_CT00007_158
CT00007,2,0,Transport,Transport_CT00007_159
CT00007,1,0,Transport,Transport_CT00007_160
CT00007,5,0,Transport,Transport_CT00007_161
CT00007,4,1,Transport,Transport_CT00007_162
CT00007,0,1,Transport,Transport_CT00007_163
CT00008,3,0,Transport,Transport_CT00008_164
CT00008,7,0,Transport,Transport_CT00008_165
CT00008,4,1,Transport,Transport_CT00008_166
CT00008,1,0,Transport,Transport_CT00008_167
CT00008,4,0,Transport,Transport_CT00008_168
CT00008,5,0,Transport,Transport_CT00008_169
CT00008,2,0,Transport,Transport_CT00008_170
CT00008,4,0,Transport,Transport_CT00008_171
CT00008,5,0,Transport,Transport_CT00008_172
CT00008,6,0,Transport,Transport_CT00008_173
CT00008,2,0,Transport,Transport_CT00008_174
CT00008,7,0,Transport,Transport_CT00008_175
CT00008,4,0,Transport,Transport_CT00008_176
CT00008,4,0,Transport,Transport_CT00008_177
CT00008,2,0,Transport,Transport_CT00008_178
CT00008,9,0,Transport,Transport_CT00008_179
CT00008,3,0,Transport,Transport_CT00008_180
CT00008,5,0,Transport,Transport_CT00008_181
CT00008,1,0,Transport,Transport_CT00008_182
CT00008,3,0,Transport,Transport_CT00008_183
CT00008,4,0,Transport,Transport_CT00008_184
CT00008,1,0,Transport,Transport_CT00008_185
CT00008,8,1,Transport,Transport_CT00008_186
CT00008,8,0,Transport,Transport_CT00008_187
CT00008,4,0,Transport,Transport_CT00008_188
CT00008,3,0,Transport,Transport_CT00008_189
CT00008,4,0,Transport,Transport_CT00008_190
CT00008,1,0,Transport,Transport_CT00008_191
CT00008,2,0,Transport,Transport_CT00008_192
CT00008,2,0,Transport,Transport_CT00008_193
CT00008,11,0,Transport,Transport_CT00008_194
CT00008,4,0,Transport,Transport_CT00008_195
CT00008,3,0,Transport,Transport_CT00008_196
CT00008,3,0,Transport,Transport_CT00008_197
CT00008,4,2,Transport,Transport_CT00008_198
CT00008,6,0,Transport,Transport_CT00008_199
CT00008,3,0,Transport,Transport_CT00008_200
CT00008,5,0,Transport,Transport_CT00008_201
CT00008,5,1,Transport,Transport_CT00008_202
CT00008,0,2,Transport,Transport_CT00008_203
CT00009,6,2,Transport,Transport_CT00009_204
CT00009,4,0,Transport,Transport_CT00009_205
CT00009,7,0,Transport,Transport_CT00009_206
CT00009,2,0,Transport,Transport_CT00009_207
CT00009,4,0,Transport,Transport_CT00009_208
CT00009,4,0,Transport,Transport_CT00009_209
CT00009,4,0,Transport,Transport_CT00009_210
CT00009,5,1,Transport,Transport_CT00009_211
CT00009,3,0,Transport,Transport_CT00009_212
CT00009,6,0,Transport,Transport_CT00009_213
CT00009,6,0,Transport,Transport_CT00009_214
CT00009,4,0,Transport,Transport_CT00009_215
CT00009,5,0,Transport,Transport_CT00009_216
CT00009,4,0,Transport,Transport_CT00009_217
CT00009,2,0,Transport,Transport_CT00009_218
CT00009,5,0,Transport,Transport_CT00009_219
CT00009,5,0,Transport,Transport_CT00009_220
CT00009,8,0,Transport,Transport_CT00009_221
CT00009,5,0,Transport,Transport_CT00009_222
CT00009,5,0,Transport,Transport_CT00009_223
CT00009,2,1,Transport,Transport_CT00009_224
CT00009,2,0,Transport,Transport_CT00009_225
CT00009,5,1,Transport,Transport_CT00009_226
CT00009,5,0,Transport,Transport_CT00009_227
CT00009,3,0,Transport,Transport_CT00009_228
CT00009,6,0,Transport,Transport_CT00009_229
CT00009,6,1,Transport,Transport_CT00009_230
CT00009,4,1,Transport,Transport_CT00009_231
CT00009,4,0,Transport,Transport_CT00009_232
CT00009,7,0,Transport,Transport_CT00009_233
CT00009,6,0,Transport,Transport_CT00009_234
CT00009,4,0,Transport,Transport_CT00009_235
CT00009,1,0,Transport,Transport_CT00009_236
CT00009,6,0,Transport,Transport_CT00009_237
CT00009,7,0,Transport,Transport_CT00009_238
