geo_id,n_male,n_female,industry_code
CT00001,2,2,Commercial
CT00001,0,1,Commercial
CT00001,0,1,Commercial
CT00001,6,4,Commercial
CT00001,2,1,Commercial
CT00001,3,3,Commercial
CT00001,4,1,Commercial
CT00001,2,1,Commercial
CT00001,1,0,Commercial
CT00001,2,0,Commercial
CT00001,3,3,Commercial
CT00001,1,2,Commercial
CT00001,4,1,Commercial
CT00001,2,1,Commercial
CT00001,7,0,Commercial
CT00001,1,2,Commercial
CT00001,3,2,Commercial
CT00001,6,0,Commercial
CT00001,3,0,Commercial
CT00001,4,0,Commercial
CT00001,2,0,Commercial
CT00001,6,0,Commercial
CT00001,2,0,Commercial
CT00001,3,0,Commercial
CT00001,5,0,Commercial
CT00002,5,2,Commercial
CT00002,1,0,Commercial
CT00002,6,0,Commercial
CT00002,5,0,Commercial
CT00002,5,0,Commercial
CT00002,2,2,Commercial
CT00002,3,0,Commercial
CT00002,4,1,Commercial
CT00002,2,0,Commercial
CT00002,1,1,Commercial
CT00002,0,1,Commercial
CT00002,4,0,Commercial
CT00002,5,4,Commercial
CT00002,4,1,Commercial
CT00002,4,2,Commercial
CT00002,4,0,Commercial
CT00002,3,0,Commercial
CT00003,2,2,Commercial
CT00003,4,0,Commercial
CT00003,3,2,Commercial
CT00003,2,0,Commercial
CT00003,2,1,Commercial
CT00003,5,1,Commercial
CT00003,5,1,Commercial
CT00003,5,0,Commercial
CT00003,5,0,Commercial
CT00003,3,2,Commercial
CT00003,4,1,Commercial
CT00003,4,1,Commercial
CT00003,1,1,Commercial
CT00003,3,0,Commercial
CT00003,2,0,Commercial
CT00003,1,0,Commercial
CT00003,3,3,Commercial
CT00003,3,1,Commercial
CT00003,1,0,Commercial
CT00003,1,0,Commercial
CT00003,2,2,Commercial
CT00003,5,1,Commercial
CT00003,5,0,Commercial
CT00003,2,0,Commercial
CT00003,0,1,Commercial
CT00003,6,1,Commercial
CT00003,2,1,Commercial
CT00003,4,0,Commercial
CT00003,1,0,Commercial
CT00003,6,0,Commercial
CT00003,1,0,Commercial
CT00003,6,0,Commercial
CT00003,1,0,Commercial
CT00003,4,0,Commercial
CT00003,6,0,Commercial
CT00003,1,0,Commercial
CT00003,1,0,Commercial
CT00004,5,0,Commercial
CT00004,0,1,Commercial
CT00004,1,2,Commercial
CT00004,4,0,Commercial
CT00004,3,1,Commercial
CT00004,1,1,Commercial
CT00004,4,0,Commercial
CT00004,4,0,Commercial
CT00004,2,1,Commercial
CT00004,4,0,Commercial
CT00004,3,1,Commercial
CT00004,2,3,Commercial
CT00004,6,1,Commercial
CT00004,4,1,Commercial
CT00004,5,1,Commercial
CT00004,5,3,Commercial
CT00004,0,2,Commercial
CT00004,2,0,Commercial
CT00004,2,1,Commercial
CT00004,2,2,Commercial
CT00004,1,0,Commercial
CT00004,4,2,Commercial
CT00004,3,0,Commercial
CT00004,3,0,Commercial
CT00004,2,1,Commercial
CT00004,4,2,Commercial
CT00004,3,4,Commercial
CT00004,1,0,Commercial
CT00004,3,0,Commercial
CT00004,3,2,Commercial
CT00004,2,1,Commercial
CT00004,1,0,Commercial
CT00004,4,1,Commercial
CT00004,2,1,Commercial
CT00004,4,1,Commercial
CT00004,3,2,Commercial
CT00004,1,2,Commercial
CT00004,3,1,Commercial
CT00004,5,0,Commercial
CT00004,2,6,Commercial
CT00004,2,0,Commercial
CT00004,2,0,Commercial
CT00004,3,0,Commercial
CT00004,6,2,Commercial
CT00004,5,1,Commercial
CT00004,3,1,Commercial
CT00004,1,2,Commercial
CT00004,2,1,Commercial
CT00004,2,1,Commercial
CT00004,2,0,Commercial
CT00004,2,1,Commercial
CT00004,7,3,Commercial
CT00004,3,0,Commercial
CT00004,2,2,Commercial
CT00004,5,1,Commercial
CT00004,7,1,Commercial
CT00004,7,1,Commercial
CT00004,2,1,Commercial
CT00004,1,0,Commercial
CT00004,1,0,Commercial
CT00004,1,2,Commercial
CT00004,3,1,Commercial
CT00004,4,1,Commercial
CT00004,5,0,Commercial
CT00004,1,4,Commercial
CT00004,2,1,Commercial
CT00004,5,0,Commercial
CT00004,2,0,Commercial
CT00004,5,0,Commercial
CT00004,1,2,Commercial
CT00004,1,1,Commercial
CT00004,2,0,Commercial
CT00004,2,1,Commercial
