geo_id,n_male,n_female,industry_code
CT00001,0,1,Domestic
CT00001,0,2,Domestic
CT00001,0,2,Domestic
CT00001,0,1,Domestic
CT00001,1,0,Domestic
CT00001,0,2,Domestic
CT00001,1,0,Domestic
CT00001,1,0,Domestic
CT00001,1,0,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,2,0,Domestic
CT00001,1,0,Domestic
CT00001,1,2,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,2,Domestic
CT00001,1,0,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,1,1,Domestic
CT00001,1,0,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,1,2,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,1,0,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,1,0,Domestic
CT00001,0,2,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,1,3,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00001,0,1,Domestic
CT00002,0,1,Domestic
CT00002,0,1,Domestic
CT00002,1,1,Domestic
CT00002,0,3,Domestic
CT00002,1,1,Domestic
CT00002,1,0,Domestic
CT00002,1,0,Domestic
CT00002,0,1,Domestic
CT00002,1,0,Domestic
CT00002,0,1,Domestic
CT00002,1,0,Domestic
CT00002,2,0,Domestic
CT00002,0,1,Domestic
CT00002,1,0,Domestic
CT00002,0,1,Domestic
CT00002,0,1,Domestic
CT00002,1,1,Domestic
CT00002,1,0,Domestic
CT00002,1,2,Domestic
CT00002,0,3,Domestic
CT00002,0,1,Domestic
CT00002,0,2,Domestic
CT00002,0,3,Domestic
CT00002,0,1,Domestic
CT00002,0,2,Domestic
CT00003,0,1,Domestic
CT00003,1,0,Domestic
CT00003,2,0,Domestic
CT00003,0,1,Domestic
CT00003,1,1,Domestic
CT00003,2,0,Domestic
CT00003,0,1,Domestic
CT00003,1,0,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,1,0,Domestic
CT00003,1,0,Domestic
CT00003,1,0,Domestic
CT00003,0,1,Domestic
CT00003,1,0,Domestic
CT00003,0,1,Domestic
CT00003,2,1,Domestic
CT00003,1,1,Domestic
CT00003,0,1,Domestic
CT00003,0,2,Domestic
CT00003,1,0,Domestic
CT00003,1,1,Domestic
CT00003,1,0,Domestic
CT00003,1,0,Domestic
CT00003,0,2,Domestic
CT00003,1,0,Domestic
CT00003,0,2,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,0,2,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,1,0,Domestic
CT00003,0,1,Domestic
CT00003,3,2,Domestic
CT00003,0,2,Domestic
CT00003,0,3,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,0,2,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00003,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,2,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,2,1,Domestic
CT00004,0,2,Domestic
CT00004,1,2,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,2,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,2,2,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,2,0,Domestic
CT00004,0,2,Domestic
CT00004,2,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,4,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,0,Domestic
CT00004,0,3,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,3,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,1,0,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,4,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,2,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,0,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,2,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,1,0,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,2,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,3,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,3,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,2,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,2,1,Domestic
CT00004,0,2,Domestic
CT00004,1,0,Domestic
CT00004,2,4,Domestic
CT00004,0,3,Domestic
CT00004,0,2,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,2,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,1,Domestic
CT00004,0,1,Domestic
CT00004,3,1,Domestic
CT00004,0,1,Domestic
CT00004,0,3,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,2,1,Domestic
CT00004,1,2,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,2,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,2,Domestic
CT00004,0,1,Domestic
CT00004,0,3,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,1,0,Domestic
CT00004,1,3,Domestic
CT00004,0,3,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,1,0,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
CT00004,0,1,Domestic
