geo_id,n_male,n_female,industry_code
CT00001,0,2,Indefinite
CT00001,1,0,Indefinite
CT00001,0,1,Indefinite
CT00001,2,0,Indefinite
CT00001,2,1,Indefinite
CT00001,1,0,Indefinite
CT00001,1,0,Indefinite
CT00001,2,0,Indefinite
CT00001,4,0,Indefinite
CT00001,1,0,Indefinite
CT00001,2,0,Indefinite
CT00002,1,1,Indefinite
CT00002,2,0,Indefinite
CT00002,2,0,Indefinite
CT00002,4,0,Indefinite
CT00002,2,0,Indefinite
CT00002,1,1,Indefinite
CT00003,1,0,Indefinite
CT00003,1,0,Indefinite
CT00003,1,0,Indefinite
CT00003,1,0,Indefinite
CT00003,4,1,Indefinite
CT00003,1,0,Indefinite
CT00003,1,0,Indefinite
CT00003,2,0,Indefinite
CT00003,3,0,Indefinite
CT00003,3,0,Indefinite
CT00003,2,1,Indefinite
CT00003,4,1,Indefinite
CT00004,2,1,Indefinite
CT00004,5,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,1,Indefinite
CT00004,0,1,Indefinite
CT00004,2,1,Indefinite
CT00004,2,0,Indefinite
CT00004,3,1,Indefinite
CT00004,3,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,3,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,2,0,Indefinite
CT00004,1,1,Indefinite
CT00004,0,1,Indefinite
CT00004,0,1,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,2,0,Indefinite
CT00004,1,0,Indefinite
CT00004,2,0,Indefinite
CT00004,2,1,Indefinite
CT00004,2,0,Indefinite
CT00004,3,0,Indefinite
CT00004,2,1,Indefinite
CT00004,2,0,Indefinite
CT00004,3,1,Indefinite
CT00004,2,1,Indefinite
CT00004,5,0,Indefinite
CT00004,2,0,Indefinite
CT00004,1,0,Indefinite
CT00004,2,0,Indefinite
CT00004,2,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,2,1,Indefinite
CT00004,1,0,Indefinite
CT00004,1,1,Indefinite
CT00004,2,1,Indefinite
CT00004,1,0,Indefinite
CT00004,4,0,Indefinite
CT00004,5,1,Indefinite
CT00004,1,0,Indefinite
CT00004,2,0,Indefinite
CT00004,1,1,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,4,1,Indefinite
CT00004,1,0,Indefinite
CT00004,0,1,Indefinite
CT00004,2,0,Indefinite
CT00004,1,0,Indefinite
CT00004,4,1,Indefinite
CT00004,1,0,Indefinite
CT00004,1,0,Indefinite
CT00004,4,0,Indefinite
CT00004,2,0,Indefinite
CT00004,0,2,Indefinite
CT00004,0,3,Indefinite
CT00005,4,0,Indefinite
CT00005,2,0,Indefinite
CT00005,1,0,Indefinite
CT00005,1,1,Indefinite
CT00006,2,0,Indefinite
CT00006,1,0,Indefinite
CT00006,1,0,Indefinite
CT00006,1,0,Indefinite
CT00006,3,0,Indefinite
CT00006,1,1,Indefinite
CT00007,3,0,Indefinite
CT00007,1,0,Indefinite
CT00007,3,1,Indefinite
CT00007,3,1,Indefinite
CT00007,2,0,Indefinite
CT00007,1,0,Indefinite
CT00007,1,1,Indefinite
CT00007,1,0,Indefinite
CT00007,2,0,Indefinite
CT00008,2,0,Indefinite
CT00008,0,2,Indefinite
CT00008,3,1,Indefinite
CT00008,1,0,Indefinite
CT00008,3,0,Indefinite
CT00008,1,0,Indefinite
CT00008,1,0,Indefinite
CT00008,2,0,Indefinite
CT00008,0,1,Indefinite
CT00008,2,0,Indefinite
CT00008,2,0,Indefinite
CT00008,1,0,Indefinite
CT00008,2,0,Indefinite
CT00008,1,0,Indefinite
CT00008,3,1,Indefinite
CT00008,2,0,Indefinite
CT00008,3,0,Indefinite
CT00008,3,0,Indefinite
CT00008,3,1,Indefinite
CT00008,2,0,Indefinite
CT00008,4,0,Indefinite
CT00008,0,1,Indefinite
CT00008,1,1,Indefinite
CT00009,3,1,Indefinite
CT00009,4,0,Indefinite
CT00009,3,0,Indefinite
CT00009,1,0,Indefinite
CT00009,3,0,Indefinite
CT00009,3,0,Indefinite
CT00009,2,1,Indefinite
CT00009,1,0,Indefinite
CT00009,1,0,Indefinite
CT00009,3,0,Indefinite
CT00009,1,0,Indefinite
CT00009,2,0,Indefinite
CT00009,4,0,Indefinite
CT00009,2,1,Indefinite
CT00009,1,1,Indefinite
CT00009,1,1,Indefinite
CT00009,1,1,Indefinite
CT00009,3,0,Indefinite
CT00009,3,0,Indefinite
CT00009,3,0,Indefinite
CT00009,0,4,Indefinite
CT00010,1,0,Indefinite
CT00010,1,0,Indefinite
CT00010,1,0,Indefinite
CT00010,2,1,Indefinite
CT00010,2,0,Indefinite
CT00010,1,0,Indefinite
CT00010,4,0,Indefinite
CT00010,2,0,Indefinite
CT00010,1,3,Indefinite
CT00010,0,1,Indefinite
CT00010,1,0,Indefinite
CT00010,6,0,Indefinite
CT00010,2,1,Indefinite
CT00010,5,1,Indefinite
CT00010,3,0,Indefinite
CT00010,2,0,Indefinite
CT00010,0,1,Indefinite
CT00010,4,0,Indefinite
CT00010,0,1,Indefinite
CT00010,3,0,Indefinite
CT00010,2,0,Indefinite
CT00010,2,1,Indefinite
CT00010,1,0,Indefinite
CT00010,6,0,Indefinite
CT00010,3,0,Indefinite
CT00010,0,1,Indefinite
CT00011,4,0,Indefinite
CT00011,2,0,Indefinite
CT00011,0,1,Indefinite
CT00012,2,0,Indefinite
CT00012,0,1,Indefinite
CT00012,3,0,Indefinite
CT00012,1,0,Indefinite
CT00012,1,0,Indefinite
CT00012,1,0,Indefinite
CT00012,1,0,Indefinite
CT00012,3,1,Indefinite
CT00013,0,1,Indefinite
CT00013,1,0,Indefinite
CT00013,3,0,Indefinite
CT00013,2,0,Indefinite
CT00013,5,0,Indefinite
CT00013,3,1,Indefinite
CT00013,1,0,Indefinite
CT00013,1,0,Indefinite
CT00013,5,1,Indefinite
CT00013,0,1,Indefinite
CT00014,1,0,Indefinite
CT00014,4,0,Indefinite
CT00014,1,0,Indefinite
CT00014,0,1,Indefinite
CT00014,2,0,Indefinite
CT00014,2,0,Indefinite
CT00014,1,0,Indefinite
