geo_id,n_male,n_female,industry_code
CT00001,5,1,Industrial
CT00001,6,1,Industrial
CT00001,10,1,Industrial
CT00001,6,1,Industrial
CT00001,7,0,Industrial
CT00001,8,2,Industrial
CT00001,8,1,Industrial
CT00001,4,0,Industrial
CT00001,10,0,Industrial
CT00001,5,1,Industrial
CT00001,12,0,Industrial
CT00001,10,0,Industrial
CT00001,10,0,Industrial
CT00001,5,1,Industrial
CT00001,9,0,Industrial
CT00001,7,0,Industrial
CT00001,6,1,Industrial
CT00001,5,5,Industrial
CT00001,6,0,Industrial
CT00001,3,4,Industrial
CT00001,3,11,Industrial
CT00002,5,0,Industrial
CT00002,7,2,Industrial
CT00002,9,2,Industrial
CT00002,7,0,Industrial
CT00002,7,1,Industrial
CT00002,5,1,Industrial
CT00002,8,0,Industrial
CT00002,8,0,Industrial
CT00002,6,0,Industrial
CT00002,8,2,Industrial
CT00002,10,1,Industrial
CT00002,12,1,Industrial
CT00002,6,2,Industrial
CT00002,4,1,Industrial
CT00002,4,3,Industrial
CT00002,8,1,Industrial
CT00003,8,1,Industrial
CT00003,9,1,Industrial
CT00003,5,1,Industrial
CT00003,11,0,Industrial
CT00003,5,0,Industrial
CT00003,4,2,Industrial
CT00003,4,0,Industrial
CT00003,7,1,Industrial
CT00003,8,1,Industrial
CT00003,4,2,Industrial
CT00003,6,1,Industrial
CT00003,8,0,Industrial
CT00003,5,1,Industrial
CT00003,7,0,Industrial
CT00003,5,0,Industrial
CT00003,8,1,Industrial
CT00003,15,2,Industrial
CT00003,7,1,Industrial
CT00003,5,1,Industrial
CT00003,8,1,Industrial
CT00003,7,1,Industrial
CT00003,5,2,Industrial
CT00003,11,1,Industrial
CT00003,7,1,Industrial
CT00003,5,0,Industrial
CT00003,12,1,Industrial
CT00003,4,2,Industrial
CT00003,13,0,Industrial
CT00003,10,1,Industrial
CT00003,6,0,Industrial
CT00004,7,1,Industrial
CT00004,7,2,Industrial
CT00004,5,1,Industrial
CT00004,5,2,Industrial
CT00004,4,0,Industrial
CT00004,10,2,Industrial
CT00004,6,4,Industrial
CT00004,7,1,Industrial
CT00004,5,2,Industrial
CT00004,5,1,Industrial
CT00004,5,3,Industrial
CT00004,8,1,Industrial
CT00004,5,1,Industrial
CT00004,6,2,Industrial
CT00004,9,2,Industrial
CT00004,4,1,Industrial
CT00004,8,2,Industrial
CT00004,5,1,Industrial
CT00004,10,0,Industrial
CT00004,4,2,Industrial
CT00004,7,0,Industrial
CT00004,10,1,Industrial
CT00004,7,2,Industrial
CT00004,11,1,Industrial
CT00004,5,1,Industrial
CT00004,9,1,Industrial
CT00004,8,1,Industrial
CT00004,8,0,Industrial
CT00004,5,1,Industrial
CT00004,9,2,Industrial
CT00004,7,2,Industrial
CT00004,4,1,Industrial
CT00004,10,0,Industrial
CT00004,2,2,Industrial
CT00004,5,1,Industrial
CT00004,4,1,Industrial
CT00004,9,2,Industrial
CT00004,9,1,Industrial
CT00004,6,0,Industrial
CT00004,7,1,Industrial
CT00004,5,2,Industrial
CT00004,10,4,Industrial
CT00004,11,2,Industrial
CT00004,8,1,Industrial
CT00004,4,1,Industrial
CT00004,9,1,Industrial
CT00004,6,1,Industrial
CT00004,5,0,Industrial
CT00004,4,1,Industrial
CT00004,8,1,Industrial
CT00004,5,0,Industrial
CT00004,7,2,Industrial
CT00004,3,1,Industrial
CT00004,4,1,Industrial
CT00004,11,1,Industrial
CT00004,2,1,Industrial
CT00004,5,0,Industrial
CT00004,5,0,Industrial
CT00004,7,0,Industrial
CT00004,5,0,Industrial
CT00004,5,0,Industrial
CT00004,7,0,Industrial
CT00004,11,0,Industrial
CT00004,7,0,Industrial
CT00004,4,0,Industrial
CT00004,7,1,Industrial
CT00004,8,1,Industrial
CT00004,4,1,Industrial
CT00004,10,5,Industrial
CT00004,3,4,Industrial
CT00004,7,1,Industrial
CT00004,9,1,Industrial
CT00004,9,1,Industrial
CT00004,5,0,Industrial
CT00004,11,3,Industrial
CT00004,8,0,Industrial
CT00004,5,0,Industrial
CT00004,11,2,Industrial
CT00004,10,2,Industrial
CT00004,5,2,Industrial
CT00004,5,1,Industrial
CT00004,9,1,Industrial
CT00004,10,1,Industrial
CT00004,13,0,Industrial
CT00004,3,1,Industrial
CT00004,6,2,Industrial
CT00004,12,2,Industrial
CT00004,11,0,Industrial
CT00004,6,0,Industrial
CT00004,7,1,Industrial
CT00004,7,0,Industrial
CT00004,4,4,Industrial
CT00004,7,0,Industrial
CT00004,6,0,Industrial
CT00004,12,0,Industrial
CT00004,6,0,Industrial
CT00004,10,0,Industrial
CT00004,6,0,Industrial
CT00004,11,0,Industrial
CT00004,8,1,Industrial
CT00004,13,2,Industrial
CT00004,5,3,Industrial
CT00004,3,0,Industrial
CT00004,7,1,Industrial
CT00004,4,0,Industrial
CT00004,11,1,Industrial
CT00004,5,0,Industrial
CT00004,4,2,Industrial
CT00004,8,1,Industrial
CT00004,3,2,Industrial
CT00004,8,1,Industrial
CT00004,4,1,Industrial
CT00004,4,2,Industrial
CT00004,13,1,Industrial
CT00004,10,0,Industrial
CT00004,8,1,Industrial
CT00004,5,0,Industrial
CT00004,8,1,Industrial
CT00004,8,1,Industrial
CT00004,9,1,Industrial
CT00004,4,1,Industrial
CT00004,6,2,Industrial
CT00004,4,0,Industrial
CT00004,3,1,Industrial
CT00004,9,2,Industrial
CT00004,7,1,Industrial
CT00004,6,0,Industrial
CT00004,7,0,Industrial
CT00004,7,2,Industrial
CT00004,7,0,Industrial
CT00004,10,0,Industrial
CT00004,7,0,Industrial
CT00004,9,3,Industrial
CT00004,6,1,Industrial
CT00004,2,0,Industrial
CT00004,6,0,Industrial
CT00004,9,1,Industrial
CT00004,6,1,Industrial
CT00004,13,1,Industrial
CT00004,7,2,Industrial
CT00004,6,0,Industrial
CT00004,13,1,Industrial
CT00004,7,2,Industrial
CT00004,5,2,Industrial
CT00004,4,3,Industrial
CT00004,3,2,Industrial
CT00004,8,1,Industrial
CT00004,1,7,Industrial
CT00004,0,9,Industrial
CT00004,0,10,Industrial
CT00004,0,3,Industrial
CT00005,6,0,Industrial
CT00005,15,1,Industrial
CT00005,7,0,Industrial
CT00005,8,2,Industrial
CT00005,7,0,Industrial
