geo_id,n_male,n_female,industry_code
CT00001,0,4,Professional
CT00001,2,1,Professional
CT00001,2,2,Professional
CT00001,1,1,Professional
CT00001,2,2,Professional
CT00001,1,0,Professional
CT00001,4,1,Professional
CT00001,1,1,Professional
CT00001,4,2,Professional
CT00001,2,0,Professional
CT00001,5,1,Professional
CT00001,3,2,Professional
CT00001,1,0,Professional
CT00001,3,0,Professional
CT00001,1,2,Professional
CT00001,3,0,Professional
CT00001,2,0,Professional
CT00001,0,3,Professional
CT00001,0,3,Professional
CT00001,0,1,Professional
CT00002,2,0,Professional
CT00002,1,1,Professional
CT00002,4,2,Professional
CT00002,1,0,Professional
CT00002,1,0,Professional
CT00002,2,2,Professional
CT00002,0,1,Professional
CT00002,1,1,Professional
CT00002,3,1,Professional
CT00002,1,1,Professional
CT00002,2,1,Professional
CT00002,1,3,Professional
CT00002,1,0,Professional
CT00002,3,2,Professional
CT00002,2,0,Professional
CT00002,2,0,Professional
CT00002,1,0,Professional
CT00002,1,0,Professional
CT00003,1,0,Professional
CT00003,1,2,Professional
CT00003,2,0,Professional
CT00003,1,1,Professional
CT00003,2,2,Professional
CT00003,0,1,Professional
CT00003,1,2,Professional
CT00003,1,1,Professional
CT00003,2,0,Professional
CT00003,6,0,Professional
CT00003,2,2,Professional
CT00003,2,1,Professional
CT00003,2,1,Professional
CT00003,1,1,Professional
CT00003,2,0,Professional
CT00003,2,0,Professional
CT00003,1,0,Professional
CT00003,1,0,Professional
CT00003,1,2,Professional
CT00003,1,0,Professional
CT00003,2,0,Professional
CT00003,1,0,Professional
CT00003,2,0,Professional
CT00003,4,2,Professional
CT00003,1,2,Professional
CT00003,3,0,Professional
CT00003,2,0,Professional
CT00003,1,1,Professional
CT00003,3,1,Professional
CT00003,3,1,Professional
CT00003,1,0,Professional
CT00003,1,0,Professional
CT00004,2,2,Professional
CT00004,2,1,Professional
CT00004,2,1,Professional
CT00004,4,1,Professional
CT00004,1,1,Professional
CT00004,3,1,Professional
CT00004,1,0,Professional
CT00004,4,2,Professional
CT00004,1,3,Professional
CT00004,1,1,Professional
CT00004,1,0,Professional
CT00004,2,1,Professional
CT00004,2,3,Professional
CT00004,3,0,Professional
CT00004,1,0,Professional
CT00004,0,2,Professional
CT00004,1,0,Professional
CT00004,0,1,Professional
CT00004,1,1,Professional
CT00004,3,1,Professional
CT00004,1,1,Professional
CT00004,2,1,Professional
CT00004,2,1,Professional
CT00004,0,1,Professional
CT00004,2,0,Professional
CT00004,1,4,Professional
CT00004,3,2,Professional
CT00004,2,0,Professional
CT00004,1,1,Professional
CT00004,2,1,Professional
CT00004,1,0,Professional
CT00004,1,2,Professional
CT00004,3,2,Professional
CT00004,3,3,Professional
CT00004,3,0,Professional
CT00004,1,0,Professional
CT00004,1,1,Professional
CT00004,0,1,Professional
CT00004,1,1,Professional
CT00004,0,1,Professional
CT00004,3,2,Professional
CT00004,1,0,Professional
CT00004,1,1,Professional
CT00004,3,2,Professional
CT00004,1,1,Professional
CT00004,0,1,Professional
CT00004,1,0,Professional
CT00004,3,0,Professional
CT00004,5,0,Professional
CT00004,2,2,Professional
CT00004,4,2,Professional
CT00004,0,1,Professional
CT00004,2,0,Professional
CT00004,0,1,Professional
CT00004,2,1,Professional
CT00004,4,5,Professional
CT00004,1,1,Professional
CT00004,5,1,Professional
CT00004,0,1,Professional
CT00004,4,2,Professional
CT00004,2,1,Professional
CT00004,1,0,Professional
CT00004,5,1,Professional
CT00004,1,1,Professional
CT00004,1,0,Professional
CT00004,1,3,Professional
CT00004,1,2,Professional
CT00004,1,0,Professional
CT00004,3,2,Professional
CT00004,4,2,Professional
CT00004,1,0,Professional
CT00004,0,3,Professional
CT00004,3,1,Professional
CT00004,4,1,Professional
CT00004,2,0,Professional
CT00004,3,3,Professional
CT00004,2,2,Professional
CT00004,0,3,Professional
CT00004,1,0,Professional
CT00004,1,0,Professional
CT00004,1,0,Professional
CT00004,0,1,Professional
CT00004,1,1,Professional
CT00004,1,0,Professional
CT00004,1,0,Professional
CT00004,3,1,Professional
CT00004,1,1,Professional
CT00004,2,1,Professional
CT00004,2,0,Professional
CT00004,1,0,Professional
CT00004,1,0,Professional
CT00004,4,0,Professional
CT00004,2,3,Professional
CT00004,2,3,Professional
CT00004,3,0,Professional
CT00004,1,0,Professional
CT00004,1,0,Professional
CT00004,5,1,Professional
CT00004,4,0,Professional
CT00004,3,2,Professional
CT00004,1,0,Professional
CT00004,2,1,Professional
CT00004,2,1,Professional
CT00004,4,2,Professional
CT00004,0,1,Professional
CT00004,0,2,Professional
CT00004,0,2,Professional
CT00004,0,1,Professional
CT00004,3,2,Professional
CT00004,1,3,Professional
CT00004,1,2,Professional
CT00004,0,1,Professional
CT00004,2,2,Professional
CT00004,3,2,Professional
CT00004,1,1,Professional
CT00004,1,2,Professional
CT00004,2,0,Professional
CT00004,2,1,Professional
CT00004,2,1,Professional
CT00004,6,1,Professional
CT00004,1,1,Professional
CT00004,3,0,Professional
CT00004,3,1,Professional
CT00004,1,3,Professional
CT00004,0,1,Professional
CT00004,2,0,Professional
CT00004,4,1,Professional
CT00004,3,2,Professional
CT00004,2,0,Professional
CT00004,3,1,Professional
CT00004,1,0,Professional
CT00004,2,2,Professional
CT00004,2,3,Professional
CT00004,1,0,Professional
CT00004,3,3,Professional
CT00004,0,1,Professional
CT00004,1,0,Professional
CT00004,0,1,Professional
CT00004,2,2,Professional
CT00004,2,2,Professional
CT00004,1,0,Professional
CT00004,3,4,Professional
CT00004,2,0,Professional
CT00004,2,0,Professional
CT00005,2,1,Professional
CT00005,2,1,Professional
CT00005,1,0,Professional
CT00005,2,1,Professional
CT00005,1,4,Professional
