geo_id,n_male,n_female,industry_code
CT00001,5,0,Transport
CT00001,3,0,Transport
CT00001,5,1,Transport
CT00001,5,0,Transport
CT00001,8,0,Transport
CT00001,4,0,Transport
CT00001,8,0,Transport
CT00001,4,0,Transport
CT00001,2,2,Transport
CT00001,5,0,Transport
CT00001,3,0,Transport
CT00001,3,0,Transport
CT00001,3,0,Transport
CT00001,2,0,Transport
CT00002,1,0,Transport
CT00002,4,0,Transport
CT00002,7,0,Transport
CT00002,2,0,Transport
CT00002,3,0,Transport
CT00002,3,0,Transport
CT00002,6,1,Transport
CT00002,14,0,Transport
CT00002,7,0,Transport
CT00002,0,1,Transport
CT00003,11,1,Transport
CT00003,8,0,Transport
CT00003,4,0,Transport
CT00003,7,0,Transport
CT00003,3,1,Transport
CT00003,5,0,Transport
CT00003,3,0,Transport
CT00003,7,0,Transport
CT00003,7,0,Transport
CT00003,1,0,Transport
CT00003,1,0,Transport
CT00003,5,0,Transport
CT00003,6,0,Transport
CT00003,4,0,Transport
CT00003,2,0,Transport
CT00003,6,0,Transport
CT00003,7,0,Transport
CT00003,4,1,Transport
CT00004,6,0,Transport
CT00004,5,0,Transport
CT00004,7,0,Transport
CT00004,8,0,Transport
CT00004,4,1,Transport
CT00004,5,0,Transport
CT00004,7,0,Transport
CT00004,7,0,Transport
CT00004,4,0,Transport
CT00004,5,0,Transport
CT00004,3,0,Transport
CT00004,6,0,Transport
CT00004,2,1,Transport
CT00004,5,1,Transport
CT00004,6,0,Transport
CT00004,1,0,Transport
CT00004,3,0,Transport
CT00004,1,0,Transport
CT00004,7,1,Transport
CT00004,4,0,Transport
CT00004,8,0,Transport
CT00004,7,0,Transport
CT00004,5,0,Transport
CT00004,1,1,Transport
CT00004,5,1,Transport
CT00004,5,0,Transport
CT00004,3,0,Transport
CT00004,2,0,Transport
CT00004,6,0,Transport
CT00004,3,0,Transport
CT00004,7,1,Transport
CT00004,4,0,Transport
CT00004,1,0,Transport
CT00004,5,0,Transport
CT00004,4,1,Transport
CT00004,3,1,Transport
CT00004,4,0,Transport
CT00004,2,0,Transport
CT00004,5,0,Transport
CT00004,3,2,Transport
CT00004,6,0,Transport
CT00004,8,1,Transport
CT00004,5,0,Transport
CT00004,8,1,Transport
CT00004,8,1,Transport
CT00004,7,0,Transport
CT00004,3,0,Transport
CT00004,3,0,Transport
CT00004,5,0,Transport
CT00004,4,0,Transport
CT00004,7,1,Transport
CT00004,4,1,Transport
CT00004,3,0,Transport
CT00004,7,0,Transport
CT00004,5,0,Transport
CT00004,9,0,Transport
CT00004,9,0,Transport
CT00004,7,1,Transport
CT00004,4,0,Transport
CT00004,2,0,Transport
CT00004,3,0,Transport
CT00004,5,0,Transport
CT00004,2,0,Transport
CT00004,7,2,Transport
CT00004,4,0,Transport
CT00004,2,0,Transport
CT00004,5,1,Transport
CT00004,7,2,Transport
CT00004,7,0,Transport
CT00004,5,0,Transport
CT00004,4,0,Transport
CT00004,3,0,Transport
CT00004,5,0,Transport
CT00004,2,0,Transport
CT00004,3,0,Transport
CT00004,4,0,Transport
CT00004,3,0,Transport
CT00004,7,0,Transport
CT00004,4,0,Transport
CT00004,6,0,Transport
CT00004,5,0,Transport
CT00004,3,0,Transport
CT00004,7,0,Transport
CT00004,5,0,Transport
CT00004,5,0,Transport
CT00004,1,0,Transport
CT00004,4,0,Transport
CT00004,7,0,Transport
CT00004,4,0,Transport
CT00005,1,1,Transport
CT00005,7,0,Transport
CT00005,4,0,Transport
CT00005,7,0,Transport
CT00005,3,0,Transport
CT00005,5,0,Transport
CT00005,4,0,Transport
CT00006,3,1,Transport
CT00006,6,0,Transport
CT00006,8,0,Transport
CT00006,2,0,Transport
CT00006,4,0,Transport
CT00006,5,0,Transport
CT00006,3,0,Transport
CT00006,3,0,Transport
CT00006,2,0,Transport
CT00007,5,0,Transport
CT00007,3,0,Transport
CT00007,2,1,Transport
CT00007,4,0,Transport
CT00007,5,0,Transport
CT00007,7,0,Transport
CT00007,4,0,Transport
CT00007,6,0,Transport
CT00007,1,0,Transport
CT00007,7,0,Transport
CT00007,5,0,Transport
CT00007,4,0,Transport
CT00007,2,0,Transport
CT00007,1,0,Transport
CT00007,5,0,Transport
CT00007,4,1,Transport
CT00007,0,1,Transport
CT00008,3,0,Transport
CT00008,7,0,Transport
CT00008,4,1,Transport
CT00008,1,0,Transport
CT00008,4,0,Transport
CT00008,5,0,Transport
CT00008,2,0,Transport
CT00008,4,0,Transport
CT00008,5,0,Transport
CT00008,6,0,Transport
CT00008,2,0,Transport
CT00008,7,0,Transport
CT00008,4,0,Transport
CT00008,4,0,Transport
CT00008,2,0,Transport
CT00008,9,0,Transport
CT00008,3,0,Transport
CT00008,5,0,Transport
